match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_totalContest,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_duelWon,stat_wonContest,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,player_firstName,player_lastName,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_dispossessed,stat_shotOffTarget,stat_outfielderBlock,stat_keyPass,stat_challengeLost,player_sofascoreId,stat_bigChanceCreated,captain,stat_blockedScoringAttempt,stat_hitWoodwork,stat_crossNotClaimed,stat_punches,stat_ownGoals,stat_goals,stat_goalAssist,stat_totalOffside
11406811,home,Lazio,Ivan Provedel,ivan-provedel,I. Provedel,G,94,194,1818,M,308182,EUR,763862400,G,94,94,False,16.0,15.0,3.0,2.0,11.0,11.0,4.0,5.0,1.0,1.0,4.0,3.0,3.0,89.0,21.0,6.6,2.0,0.00109725,0,-0.326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11406811,home,Lazio,Manuel Lazzari,manuel-lazzari,M. Lazzari,D,29,173,753,M,273405,EUR,754531200,D,29,29,False,45.0,37.0,2.0,,6.0,9.0,31.0,38.0,3.0,3.0,3.0,,,90.0,81.0,7.0,15.0,0.0150516,1,,2.0,6.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,0.5908,0.7298,,,,,,,,,,,,,,,,,,,,,
11406811,home,Lazio,Mario Gila Fuentes,mario-gila-fuentes,M. Gila,D,34,183,1766,M,965828,EUR,967507200,D,34,34,False,76.0,69.0,5.0,4.0,34.0,36.0,36.0,41.0,2.0,,8.0,,,90.0,91.0,7.4,8.0,0.0955779,1,,1.0,3.0,,,,6.0,1.0,2.0,1.0,,,,0.0741,,,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,
11406811,home,Lazio,Alessio Romagnoli,alessio-romagnoli,A. Romagnoli,D,13,185,1922,M,227864,EUR,789868800,D,13,13,False,77.0,70.0,3.0,1.0,35.0,37.0,36.0,41.0,6.0,,4.0,,,90.0,88.0,6.8,7.0,0.170705,0,,1.0,6.0,,,,5.0,,1.0,,,2.0,1.0,,,,,1.0,5.0,3.0,,,1.0,,,,,,,,,,,,,
11406811,home,Lazio,Elseid Hysaj,elseid-hysaj,E. Hysaj,D,23,182,1316,M,136322,EUR,760147200,D,23,23,False,66.0,59.0,4.0,2.0,16.0,17.0,45.0,55.0,,,6.0,,,90.0,93.0,6.9,15.0,0.438786,0,,6.0,3.0,,,,1.0,2.0,1.0,1.0,3.0,1.0,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,
11406811,home,Lazio,Matías Vecino,matias-vecino,M. Vecino,M,15,187,1431,M,158615,EUR,682992000,M,5,5,False,63.0,49.0,5.0,1.0,13.0,16.0,36.0,48.0,9.0,,6.0,,,90.0,76.0,7.2,16.0,0.570517,3,,1.0,5.0,,,2.0,1.0,,3.0,2.0,1.0,,3.0,0.2351,0.2522,,,,6.0,2.0,,1.0,,2.0,,,,,,,,,,,,
11406811,home,Lazio,Danilo Cataldi,danilo-cataldi,D. Cataldi,M,32,180,952,M,317301,EUR,776131200,M,32,32,False,43.0,35.0,1.0,1.0,12.0,13.0,23.0,32.0,2.0,,6.0,,,60.0,52.0,6.6,11.0,0.0707597,0,,2.0,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,
11406811,home,Lazio,Luis Alberto,luis-alberto,L. Alberto,M,32,182,1864,M,111416,EUR,717638400,M,10,10,False,54.0,47.0,2.0,1.0,15.0,16.0,35.0,46.0,4.0,2.0,2.0,,,81.0,73.0,7.5,13.0,0.126323,2,,8.0,3.0,2.0,,,,1.0,1.0,1.0,1.0,,1.0,0.0648,,,,3.0,,,,2.0,,4.0,3.0,,,,,,,,,,,
11406811,home,Lazio,Felipe Anderson,felipe-anderson,F. Anderson,M,7,175,6043,M,152276,EUR,734832000,F,7,7,False,24.0,19.0,2.0,1.0,4.0,5.0,16.0,21.0,2.0,,,,,45.0,29.0,7.0,6.0,0.313746,1,,2.0,,,,,,,,,,,2.0,0.0778,,,,1.0,,,,1.0,,2.0,,F_Andersoon,1.0,,,,,,,,,
11406811,home,Lazio,Ciro Immobile,ciro-immobile,C. Immobile,F,36,185,15127,M,45923,EUR,635472000,F,17,17,False,18.0,12.0,,,,2.0,12.0,18.0,1.0,1.0,,,,60.0,26.0,7.2,9.0,0.0360225,3,,2.0,2.0,1.0,,2.0,1.0,,,,1.0,,,0.2149,0.5071,,,,,1.0,,1.0,,1.0,1.0,ciroimmobile17,,True,,,,,,,,
11406811,home,Lazio,Mattia Zaccagni,mattia-zaccagni,M. Zaccagni,M,10,176,4751,M,293581,EUR,803260800,F,20,20,False,41.0,38.0,,,5.0,5.0,33.0,40.0,7.0,9.0,3.0,,,90.0,77.0,7.4,18.0,0.0619195,3,,4.0,11.0,6.0,1.0,,,1.0,,,4.0,4.0,,0.8797,,,,,2.0,1.0,1.0,2.0,,2.0,1.0,,,,1.0,1.0,,,,,,
