match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalCross,stat_aerialLost,stat_duelLost,stat_totalContest,stat_shotOffTarget,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_possessionLostCtrl,stat_expectedGoals,stat_accurateCross,stat_interceptionWon,stat_keyPass,stat_challengeLost,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,player_sofascoreId,captain,stat_dispossessed,stat_unsuccessfulTouch,stat_outfielderBlock,stat_wonContest,stat_totalOffside,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_bigChanceCreated,stat_goals
12117087,home,Fluminense,Fábio,,,fabio,Fábio,G,1,188,4344,M,17785,EUR,339120000,G,1,1,False,7.0,7.0,0.0,7.0,7.0,1.0,1.0,1.0,8.0,1.0,3.0,5.0,1.0,90.0,22.0,7.5,2.724e-05,0,0.201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117087,home,Fluminense,Samuel Xavier,,,xavier-samuel,S. Xavier,D,2,166,1621,M,795773,EUR,644630400,D,2,2,False,55.0,49.0,0.0,24.0,27.0,,4.0,2.0,7.0,,,,,90.0,74.0,6.6,0.0115046,1,,5.0,1.0,25.0,32.0,4.0,3.0,6.0,1.0,1.0,2.0,2.0,2.0,2.0,11.0,0.0159,,,,,,,,,,,,,,,,,
12117087,home,Fluminense,Antônio Carlos,,,antonio-carlos,A. Carlos,D,3,191,278,M,242209,EUR,731462400,D,25,25,False,96.0,88.0,0.0,63.0,66.0,5.0,8.0,7.0,5.0,,,,,90.0,113.0,8.0,0.0373839,1,,10.0,7.0,26.0,31.0,1.0,1.0,2.0,,1.0,2.0,2.0,1.0,1.0,9.0,0.0325,1.0,3.0,3.0,,,,,,,,,,,,,,
12117087,home,Fluminense,Thiago Santos,,,thiago-santos,T. Santos,D,29,181,954,M,378590,EUR,620956800,D,29,29,False,105.0,97.0,0.0,70.0,71.0,1.0,1.0,2.0,8.0,,,,,90.0,111.0,6.7,0.0156367,1,,8.0,3.0,27.0,34.0,,1.0,7.0,,,,,,3.0,8.0,0.0173,,1.0,,3.0,1.0,0.457,,,,,,,,,,,
12117087,home,Fluminense,Marcelo,,,marcelo,Marcelo,D,,174,26297,M,17787,EUR,579398400,D,12,12,False,69.0,59.0,0.0,32.0,36.0,,3.0,,8.0,,,,,86.0,93.0,7.1,0.0301895,1,,4.0,1.0,27.0,35.0,2.0,,6.0,,,2.0,1.0,1.0,2.0,15.0,0.0158,,1.0,1.0,3.0,1.0,0.2847,Marcelo12,True,1.0,,,,,,,,
12117087,home,Fluminense,Gabriel Pires,,,gabriel-pires,G. Pires,M,10,186,398,M,178407,EUR,748310400,M,22,22,False,40.0,31.0,0.0,22.0,27.0,1.0,3.0,,4.0,,,,,45.0,49.0,6.9,0.0157808,1,,2.0,1.0,9.0,13.0,,,4.0,1.0,,2.0,2.0,,2.0,11.0,0.0122,,3.0,,1.0,1.0,0.1985,,,,1.0,,,,,,,
12117087,home,Fluminense,Matheus Martinelli,,,martinelli-matheus,M. Martinelli,M,8,176,4179,M,1067671,EUR,1002240000,M,8,8,False,71.0,64.0,0.0,43.0,45.0,1.0,1.0,,5.0,,,,,77.0,80.0,6.6,0.0178108,0,,5.0,2.0,21.0,27.0,1.0,1.0,5.0,1.0,,,,,1.0,13.0,,,1.0,,1.0,,,,,1.0,3.0,1.0,,,,,,
12117087,home,Fluminense,David Terans,,,david-terans,David Terans,M,80,176,906,M,586662,EUR,776563200,M,80,80,False,31.0,28.0,0.0,12.0,12.0,1.0,5.0,1.0,2.0,,,,,90.0,55.0,6.9,0.173059,1,,1.0,1.0,18.0,25.0,6.0,,3.0,2.0,1.0,2.0,,1.0,,14.0,0.0195,2.0,,1.0,1.0,,,,,1.0,4.0,,1.0,,,,,
12117087,home,Fluminense,Ganso,,,ganso,Ganso,M,10,184,3271,M,116853,EUR,624153600,M,10,10,False,64.0,62.0,0.0,30.0,30.0,,5.0,,3.0,,,,,77.0,77.0,7.5,0.109602,0,,2.0,2.0,34.0,37.0,3.0,1.0,3.0,1.0,,1.0,1.0,3.0,1.0,5.0,,2.0,,3.0,,,,,,1.0,1.0,,1.0,,,,,
12117087,home,Fluminense,Keno,,,keno,Keno,M,11,174,1898,M,787607,EUR,621388800,M,11,11,False,21.0,17.0,0.0,2.0,2.0,1.0,6.0,1.0,2.0,,,,,85.0,40.0,6.6,0.0188295,1,,,,15.0,22.0,3.0,,8.0,9.0,,2.0,1.0,1.0,,14.0,0.0446,,,1.0,1.0,1.0,0.2233,,,,,,2.0,2.0,,,,
