match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalClearance,stat_wasFouled,stat_fouls,stat_aerialLost,stat_aerialWon,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_accurateCross,stat_bigChanceCreated,stat_keyPass,stat_shotOffTarget,stat_penaltyConceded,stat_expectedGoals,stat_totalOffside,player_sofascoreId,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_errorLeadToAShot,stat_blockedScoringAttempt,stat_hitWoodwork,stat_goals
11450130,away,Fenerbahçe,Jayden Oosterwolde,jayden-oosterwolde,J. Oosterwolde,D,24,189.0,3123,M,1048324,EUR,988243200,D,24,24,False,,72.0,64.0,4.0,3.0,21.0,24.0,44.0,50.0,5.0,,,,,90.0,94.0,7.3,13.0,0.693071,0,,Jayden Oosterwolde,,2.0,4.0,5.0,,,,,6.0,1.0,2.0,2.0,3.0,,3.0,1.0,,4.0,1.0,,1.0,,,,,,,,,1.0,,,
11450130,away,Fenerbahçe,Ferdi Kadıoğlu,ferdi-kadioglu,F. Kadıoğlu,D,24,174.0,20994,M,825844,EUR,939254400,D,7,7,False,,67.0,60.0,5.0,3.0,10.0,11.0,50.0,60.0,10.0,,,,,90.0,89.0,8.3,12.0,0.344942,1,,,,4.0,3.0,8.0,,,3.0,3.0,,3.0,2.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,2.0,,,0.0535,,ferdikadioglu,,,,,1.0,,
11450130,away,Fenerbahçe,İsmail Yüksek,ismail-yuksek,İ. Yüksek,M,5,183.0,3147,M,952600,EUR,917308800,M,5,5,False,,40.0,33.0,1.0,,11.0,11.0,22.0,29.0,9.0,,,,,58.0,46.0,6.8,9.0,0.0626265,1,,,,,2.0,1.0,1.0,,1.0,1.0,,,1.0,,,,,,,2.0,,,2.0,,,0.0799,,,,,,,1.0,,
11450130,away,Fenerbahçe,Rade Krunić,rade-krunic,R. Krunić,M,33,184.0,2497,M,155449,EUR,749952000,M,33,33,False,,55.0,48.0,3.0,3.0,11.0,13.0,37.0,43.0,,,,,,90.0,65.0,7.5,9.0,0.181767,2,,,,1.0,2.0,5.0,1.0,,,,,,,1.0,4.0,,2.0,1.0,1.0,1.0,,,2.0,,,0.1163,,,1.0,0.0184,,,1.0,,
11450130,away,Fenerbahçe,İrfan Can Kahveci,irfan-can-kahveci,İ. C. Kahveci,M,71,180.0,4224,M,226986,EUR,805766400,M,17,17,False,,35.0,28.0,5.0,4.0,5.0,6.0,24.0,33.0,4.0,,,,,58.0,49.0,7.1,14.0,0.124183,0,,,,4.0,3.0,6.0,,,1.0,,,2.0,1.0,1.0,2.0,,,2.0,1.0,3.0,1.0,,,,,,,irfankahveci,,,,,,,
11450130,away,Fenerbahçe,Sebastian Szymański,sebastian-szymanski,S. Szymański,M,17,174.0,10874,M,847983,EUR,926294400,M,53,53,False,,49.0,42.0,5.0,3.0,6.0,7.0,37.0,45.0,7.0,,,,,90.0,76.0,7.6,16.0,0.39196,5,,,,3.0,8.0,5.0,2.0,4.0,,,1.0,,2.0,,1.0,,1.0,4.0,4.0,3.0,1.0,,2.0,3.0,,0.3528,,szymanski_11,1.0,0.4113,1.0,,1.0,,
11450130,away,Fenerbahçe,Dušan Tadić,dusan-tadic,D. Tadić,F,10,181.0,12216,M,38560,EUR,595987200,M,10,10,False,,55.0,44.0,2.0,,2.0,4.0,44.0,57.0,5.0,,,,,86.0,80.0,7.4,20.0,0.484419,2,,,,6.0,6.0,4.0,,3.0,,,,2.0,2.0,1.0,1.0,,1.0,1.0,,2.0,2.0,,2.0,2.0,,0.5931,,dusantadic,,,1.0,,,,
11450130,away,Fenerbahçe,Edin Džeko,edin-dzeko,E. Džeko,F,10,193.0,23278,M,14990,EUR,511401600,F,9,9,False,True,35.0,25.0,2.0,1.0,3.0,3.0,22.0,34.0,1.0,,,,,90.0,54.0,8.3,14.0,0.759189,8,,,,2.0,,5.0,,,,,2.0,2.0,,,2.0,,,1.0,1.0,2.0,,2.0,4.0,3.0,,0.4785,,EDzeko,3.0,0.3752,1.0,,2.0,1.0,
11450130,away,Fenerbahçe,Cengiz Ünder,cengiz-under,C. Ünder,F,11,173.0,4739,M,758876,EUR,868838400,F,20,20,True,,18.0,15.0,,,1.0,1.0,15.0,22.0,3.0,,,,,32.0,28.0,7.0,9.0,0.0815121,3,,,,5.0,1.0,,,,,,1.0,,,1.0,,,,,,1.0,1.0,1.0,2.0,2.0,,0.1514,,cengizunder,,,1.0,,1.0,,
11450130,away,Fenerbahçe,Michy Batshuayi,michy-batshuayi,M. Batshuayi,F,22,185.0,6844,M,147745,EUR,749520000,F,23,23,True,,8.0,5.0,,,2.0,2.0,3.0,6.0,1.0,,,,,32.0,15.0,7.1,4.0,0.0185848,5,,,,,1.0,1.0,,,,,,,1.0,,1.0,,,,,1.0,,,1.0,3.0,,1.1669,,mbatshuayi,1.0,0.9969,1.0,,1.0,,1.0
11450130,away,Fenerbahçe,Emre Mor,emre-mor,E. Mor,M,99,169.0,2594,M,826258,EUR,869702400,M,99,99,True,,4.0,4.0,,,,,4.0,4.0,,,,,,12.0,4.0,6.6,,0.0135152,0,,,,,1.0,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,
11450130,away,Fenerbahçe,İrfan Can Eğribayat,irfan-can-egribayat,İ. C. Eğribayat,G,71,193.0,1983,M,594618,EUR,891216000,G,70,70,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11450130,away,Fenerbahçe,Furkan Onur Akyüz,furkan-onur-akyuz,F. O. Akyüz,G,97,,42,M,1216107,EUR,1127260800,G,97,97,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11450130,away,Fenerbahçe,Alexander Djiku,alexander-djiku,A. Djiku,D,6,182.0,4708,M,289977,EUR,776390400,D,6,6,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,alex_djiku,,,,,,,
11450130,away,Fenerbahçe,Lincoln,lincoln,Lincoln,M,18,177.0,846,M,794928,EUR,910396800,M,18,18,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11450130,away,Fenerbahçe,Mert Hakan Yandaş,mert-hakan-yandas,M. H. Yandaş,M,8,174.0,1764,M,856849,EUR,777254400,M,8,8,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11450130,away,Fenerbahçe,Bartuğ Elmaz,bartug-elmaz,B. Elmaz,M,6,179.0,1215,M,997165,EUR,1045612800,M,28,28,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11450130,away,Fenerbahçe,Joshua King,joshua-king,J. King,F,7,180.0,2230,M,100621,EUR,695433600,F,15,15,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
