match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,id,isHome,incidentClass,player_id,player_name,length,playerName,reason,rescinded,injury,confirmed
10408401,FT,0.0,3.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,,
10408401,,0.0,3.0,,90,3.0,,1,,,goal,168426436.0,False,regular,344129.0,José Luis Morales,,,,,,
10408401,,,,,90,0.0,,1,,,injuryTime,,,,,,5.0,,,,,
10408401,,,,,87,,,4,,,card,120671698.0,False,yellow,344129.0,José Luis Morales,,José Luis Morales,Foul,False,,
10408401,,0.0,2.0,,85,,,6,,,goal,168426149.0,False,regular,344129.0,José Luis Morales,,,,,,
10408401,,,,,85,,,6,,,substitution,121639505.0,False,regular,,,,,,,False,
10408401,,,,,78,,,13,,,substitution,121639418.0,True,regular,,,,,,,False,
10408401,,,,,78,,,13,,,substitution,121639417.0,True,regular,,,,,,,False,
10408401,,,,,78,,,13,,,substitution,121639419.0,True,regular,,,,,,,False,
10408401,,,,,72,,,19,,,card,120671618.0,True,yellow,94539.0,Darko Brašanac,,Darko Brašanac,Foul,False,,
10408401,,,,,68,,,23,,,substitution,121639357.0,False,injury,,,,,,,True,
10408401,,,,,64,,,27,,,substitution,121639343.0,True,regular,,,,,,,False,
10408401,,,,,57,,,34,,,card,120671573.0,False,yellow,984624.0,Yéremy Pino,,Yéremy Pino,Foul,False,,
10408401,,,,,47,,,44,,,card,120671545.0,True,yellow,187313.0,Lucas Torró,,Lucas Torró,Foul,False,,
10408401,,,,,46,,,45,,,substitution,121639265.0,False,injury,,,,,,,True,
10408401,,,,,46,,,45,,,substitution,121639264.0,False,regular,,,,,,,False,
10408401,,,,,46,,,45,,,substitution,121639263.0,True,regular,,,,,,,False,
10408401,HT,0.0,1.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,,
10408401,,,,,45,0.0,,1,,,injuryTime,,,,,,3.0,,,,,
10408401,,,,,39,,,7,,,card,120671441.0,True,yellow,844752.0,Nacho Vidal,,Nacho Vidal,Foul,False,,
10408401,,,,,35,,,11,,,substitution,121639112.0,False,injury,,,,,,,True,
10408401,,,,,19,,,27,,,varDecision,16084.0,False,goalAwarded,822470.0,Samuel Chukwueze,,,,,,False
10408401,,0.0,1.0,,14,,,32,,,goal,168423768.0,False,regular,822470.0,Samuel Chukwueze,,,,,,
