match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_totalTackle,stat_unsuccessfulTouch,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_outfielderBlock,stat_interceptionWon,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_totalCross,stat_wonTackle,stat_shotOffTarget,captain,stat_accurateCross,stat_keyPass,stat_totalOffside,stat_goodHighClaim,stat_bigChanceCreated,stat_bigChanceMissed,stat_hitWoodwork
12514181,home,SC Farense,Ricardo Velho,ricardo-velho,R. Velho,G,24,188,499,M,845792,EUR,903571200,G,33,33,False,35.0,15.0,27.0,7.0,0.0,8.0,10.0,7.0,25.0,1.0,1.0,12.0,1.0,5.0,10.0,1.0,1.0,90.0,52.0,8.4,20.0,0.00429198,0,-0.1715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12514181,home,SC Farense,Marco Moreno,marco-moreno,M. Moreno,D,21,190,81,M,997094,EUR,982627200,D,3,3,False,29.0,20.0,14.0,7.0,0.0,15.0,16.0,5.0,13.0,3.0,8.0,,1.0,,,,,90.0,41.0,6.5,10.0,0.00336898,0,,,,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
12514181,home,SC Farense,Claudio Falcão,claudio-falcao,C. Falcão,D,29,187,132,M,845699,EUR,773193600,D,29,29,False,25.0,15.0,8.0,2.0,0.0,13.0,15.0,2.0,10.0,7.0,8.0,3.0,,,,,,90.0,50.0,7.7,13.0,0.00205804,2,,,,2.0,4.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,0.0918,0.5729,,,,,,,,,,,
12514181,home,SC Farense,Lucas Áfrico,lucas-africo,L. Áfrico,D,40,188,120,M,939792,EUR,791942400,D,44,44,False,14.0,11.0,3.0,2.0,0.0,10.0,11.0,1.0,3.0,,1.0,,,,,,,45.0,19.0,6.4,6.0,0.00711248,0,,,,1.0,,3.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
12514181,home,SC Farense,Pastor,pastor,Pastor,D,2,176,138,M,1046354,EUR,951004800,M,28,28,False,21.0,11.0,2.0,,0.0,7.0,11.0,4.0,11.0,6.0,1.0,4.0,,,,,,90.0,51.0,6.9,19.0,0.00864829,0,,,,3.0,,5.0,4.0,,1.0,1.0,2.0,2.0,,,,,1.0,,,,1.0,2.0,,,,,,,,,
12514181,home,SC Farense,Miguel Menino,menino-miguel,M. Menino,M,8,181,78,M,1163100,EUR,1042156800,M,93,93,False,10.0,6.0,1.0,,0.0,4.0,5.0,2.0,6.0,4.0,,3.0,2.0,,,,,59.0,21.0,6.5,8.0,0.00106276,0,,,,1.0,1.0,3.0,1.0,2.0,,1.0,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,
12514181,home,SC Farense,Neto,neto,Neto,M,8,181,91,M,843358,EUR,683769600,M,6,6,False,29.0,17.0,11.0,5.0,0.0,12.0,15.0,5.0,14.0,6.0,5.0,3.0,,,,,,90.0,44.0,7.2,14.0,0.00185619,1,,,,1.0,1.0,4.0,5.0,1.0,1.0,,,,1.0,,1.0,,,2.0,0.0401,0.4522,,2.0,,,,,,,,,
12514181,home,SC Farense,Derick Poloni,derick-poloni,D. Poloni,D,6,173,38,M,892169,EUR,746841600,M,31,31,False,10.0,3.0,4.0,,0.0,2.0,3.0,1.0,7.0,8.0,3.0,1.0,3.0,,,,,90.0,42.0,6.4,12.0,0.00083944,0,,,,1.0,1.0,6.0,3.0,,2.0,1.0,3.0,1.0,,,,,,,,,,1.0,,,,,,,,,
12514181,home,SC Farense,Elves Baldé,elves-balde,E. Baldé,F,21,168,195,M,846040,EUR,938822400,F,7,7,False,7.0,3.0,,,0.0,,3.0,3.0,5.0,5.0,,2.0,2.0,,,,,72.0,20.0,6.8,9.0,0.00737244,1,,,,,1.0,2.0,,2.0,,2.0,2.0,2.0,,,,,,,0.0208,,1.0,,1.0,,,,,,,,
12514181,home,SC Farense,Darío Poveda,dario-poveda,D. Poveda,F,14,188,58,M,836600,EUR,858211200,F,14,14,False,7.0,5.0,1.0,,0.0,3.0,3.0,2.0,4.0,2.0,1.0,2.0,,,,,,59.0,16.0,6.4,6.0,0.00625224,1,,,,3.0,,5.0,2.0,2.0,,,2.0,,,,,,,,0.0824,,,,1.0,,,,,,,,
