match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,captain,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_totalContest,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_keyPass,stat_shotOffTarget,stat_outfielderBlock,stat_unsuccessfulTouch,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_goalAssist,stat_bigChanceCreated,stat_dispossessed,stat_wonContest,stat_goals,stat_totalOffside,stat_errorLeadToAShot
11453052,home,Al-Okhdood,Paulo Vítor,,,paulo-vitor,P. Vítor,G,1,195.0,133,M,861003,EUR,596073600,G,1,1,False,23.0,12.0,20.0,9.0,4.0,5.0,8.0,18.0,1.0,1.0,1.0,6.0,1.0,1.0,3.0,4.0,1.0,90.0,33.0,7.4,11.0,0,,,,,,,,,,,,,,,,,,,,,,,,,
11453052,home,Al-Okhdood,Hussain Al Zabdani,Hussain Al Zabdani,,hussain-al-zabdani,H. A. Zabdani,D,8,183.0,18,M,1521661,EUR,797904000,D,8,8,False,30.0,17.0,6.0,2.0,12.0,18.0,7.0,16.0,4.0,13.0,3.0,4.0,2.0,,,,,90.0,58.0,7.0,17.0,1,True,4.0,2.0,3.0,7.0,1.0,1.0,1.0,1.0,7.0,3.0,2.0,1.0,,,,,,,,,,,,
11453052,home,Al-Okhdood,Saeed Al-Rabiei,,,saeed-al-rabiei,S. Al-Rabiei,D,4,187.0,32,M,954639,EUR,746841600,D,4,4,False,31.0,25.0,10.0,4.0,19.0,20.0,6.0,11.0,3.0,5.0,9.0,4.0,1.0,,,,,90.0,50.0,7.5,7.0,1,,,,1.0,2.0,,,,,1.0,1.0,1.0,,1.0,3.0,1.0,,,,,,,,,
11453052,home,Al-Okhdood,Solomon Kvirkvelia,,,solomon-kvirkvelia,S. Kvirkvelia,D,,196.0,258,M,95636,EUR,697334400,D,5,5,False,26.0,22.0,4.0,2.0,18.0,19.0,4.0,7.0,2.0,2.0,5.0,1.0,,,,,,90.0,35.0,6.7,4.0,0,,,,1.0,1.0,,,,2.0,,,,,,,,,,,,,,,,
11453052,home,Al-Okhdood,Andrei Burcă,,,andrei-burca,A. Burcă,D,33,188.0,560,M,846999,EUR,734832000,D,3,3,False,24.0,19.0,7.0,5.0,10.0,12.0,9.0,12.0,,1.0,8.0,3.0,,,,,,90.0,40.0,7.1,7.0,1,,,,,1.0,1.0,,,,1.0,1.0,,,,1.0,,1.0,1.0,,,,,,,
11453052,home,Al-Okhdood,Hamed Al-Mansour,,,hamed-al-mansour,H. Al-Mansour,D,,172.0,357,M,818578,EUR,737769600,D,20,20,False,14.0,7.0,4.0,2.0,4.0,6.0,5.0,15.0,1.0,4.0,3.0,4.0,1.0,,,,,63.0,39.0,6.5,19.0,0,,7.0,2.0,,5.0,1.0,2.0,,,2.0,1.0,2.0,2.0,,,2.0,,,1.0,1.0,,,,,
11453052,home,Al-Okhdood,Alex Collado,Alex,Collado,alex-collado,A. Collado,M,8,177.0,1606,M,859767,EUR,924739200,M,11,11,False,23.0,18.0,2.0,1.0,9.0,9.0,12.0,18.0,,1.0,,5.0,,,,,,80.0,36.0,7.2,10.0,1,,4.0,3.0,,2.0,,2.0,,1.0,1.0,,,3.0,1.0,,2.0,,,,1.0,,,,,
11453052,home,Al-Okhdood,Juan Pedroza,,,juan-pedroza,J. Pedroza,M,18,176.0,186,M,972585,EUR,923529600,M,18,18,False,35.0,32.0,3.0,1.0,16.0,16.0,16.0,19.0,,4.0,,8.0,1.0,,,,,80.0,44.0,6.8,6.0,0,,,,,5.0,2.0,,,1.0,3.0,,2.0,1.0,,,2.0,,,,,1.0,,,,
11453052,home,Al-Okhdood,Florin Tănase,,,florin-tanase,F. Tănase,M,10,185.0,1396,M,537032,EUR,788745600,M,10,10,False,32.0,26.0,5.0,4.0,10.0,12.0,16.0,20.0,2.0,5.0,2.0,6.0,1.0,,,,,89.0,43.0,7.2,9.0,1,,,,2.0,4.0,1.0,,,,2.0,1.0,,2.0,,,1.0,,1.0,1.0,,1.0,,,,
11453052,home,Al-Okhdood,Saviour Godwin,,,saviour-godwin,S. Godwin,M,77,170.0,248,M,359650,EUR,840672000,M,99,99,False,19.0,14.0,2.0,1.0,2.0,3.0,12.0,19.0,,4.0,1.0,2.0,1.0,,,,,89.0,48.0,6.6,17.0,6,,3.0,,1.0,9.0,2.0,2.0,3.0,,1.0,,3.0,1.0,1.0,,4.0,2.0,2.0,,1.0,3.0,2.0,,,
