match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_lastManTackle,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_aerialWon,stat_duelLost,stat_challengeLost,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_interceptionWon,stat_wasFouled,stat_keyPass,captain,stat_aerialLost,stat_fouls,player_firstName,player_lastName,stat_dispossessed,stat_shotOffTarget,stat_errorLeadToAShot,stat_totalCross,stat_accurateCross,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_totalOffside,stat_errorLeadToAGoal,stat_bigChanceCreated,stat_onTargetScoringAttempt,player_sofascoreId,stat_goals
10382016,home,Sparta Rotterdam,Nick Olij,nick-olij,N. Olij,G,1,185,555,M,227192,EUR,807235200,G,1,1,False,57.0,28.0,45.0,16.0,13.0,16.0,15.0,41.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,4.0,1.0,3.0,90.0,69.0,6.8,30.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382016,home,Sparta Rotterdam,Dirk Abels,dirk-abels,D. Abels,D,2,177,60,M,583606,EUR,866160000,D,2,2,False,32.0,23.0,5.0,,14.0,17.0,9.0,15.0,7.0,1.0,7.0,,1.0,1.0,,,,,90.0,48.0,6.8,9.0,0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,
10382016,home,Sparta Rotterdam,Bart Vriends,bart-vriends,B. Vriends,D,3,188,217,M,41495,EUR,673747200,D,3,3,False,35.0,27.0,5.0,1.0,21.0,25.0,6.0,10.0,3.0,2.0,2.0,,2.0,1.0,,,,,64.0,40.0,6.6,8.0,0,1.0,5.0,1.0,,,,,,,True,3.0,1.0,,,,,,,,,,,,,,,
10382016,home,Sparta Rotterdam,Mike Eerdhuijzen,mike-eerdhuijzen,M. Eerdhuijzen,D,44,194,180,M,947842,EUR,963446400,D,4,4,False,58.0,48.0,3.0,1.0,42.0,44.0,6.0,14.0,7.0,6.0,8.0,,1.0,1.0,,,,,90.0,76.0,6.9,11.0,0,4.0,6.0,1.0,1.0,1.0,1.0,2.0,1.0,,,3.0,1.0,,,1.0,,,,,,,,,,,,
10382016,home,Sparta Rotterdam,Mica Pinto,mica-pinto,Mica,D,5,176,157,M,785815,EUR,739152000,D,5,5,False,50.0,38.0,5.0,2.0,24.0,26.0,14.0,24.0,5.0,2.0,6.0,,2.0,2.0,1.0,,,,90.0,84.0,6.6,14.0,2,1.0,4.0,2.0,2.0,2.0,,3.0,,,,1.0,,,,1.0,2.0,1.0,,,,,,,,,,
10382016,home,Sparta Rotterdam,Arno Verschueren,arno-verschueren,A. Verschueren,M,32,182,168,M,578344,EUR,870652800,M,10,10,False,30.0,21.0,1.0,1.0,7.0,9.0,14.0,21.0,2.0,1.0,5.0,,,,1.0,,,,90.0,43.0,5.9,13.0,0,,11.0,4.0,2.0,1.0,,1.0,1.0,,,3.0,2.0,,,1.0,,,,,,,,,,,,
10382016,home,Sparta Rotterdam,Joshua Kitolano,joshua-kitolano,J. Kitolano,M,8,170,272,M,913584,EUR,984009600,M,6,6,False,24.0,19.0,,,13.0,14.0,7.0,11.0,6.0,,7.0,,3.0,2.0,2.0,,,,90.0,42.0,7.1,8.0,0,,4.0,2.0,,,1.0,4.0,3.0,,,2.0,,,,,,,1.0,1.0,,,,,,,,
10382016,home,Sparta Rotterdam,Younes Namli,younes-namli,Y. Namli,M,9,180,239,M,235538,EUR,772070400,M,8,8,False,35.0,27.0,6.0,2.0,16.0,17.0,12.0,20.0,5.0,,4.0,,1.0,,,,,,80.0,45.0,6.7,9.0,1,,6.0,4.0,1.0,1.0,,1.0,3.0,2.0,,,2.0,,,,1.0,,2.0,1.0,,,,,,,,
10382016,home,Sparta Rotterdam,Vito van Crooij,vito-van-crooij,V. van Crooij,M,32,172,213,M,385708,EUR,822873600,F,7,7,False,15.0,7.0,,,3.0,3.0,5.0,18.0,3.0,1.0,2.0,,,,2.0,,,,90.0,28.0,6.8,17.0,0,3.0,7.0,,1.0,,,,,1.0,,6.0,,,,,,,6.0,1.0,,,,,,,,
10382016,home,Sparta Rotterdam,Tobias Lauritsen,tobias-lauritsen,T. Lauritsen,F,9,192,737,M,796943,EUR,872899200,F,9,9,False,18.0,8.0,1.0,1.0,2.0,4.0,6.0,14.0,13.0,,2.0,,,,1.0,,,,90.0,27.0,7.0,13.0,0,8.0,12.0,,1.0,,,,5.0,1.0,,10.0,,,,1.0,,,,,,,,,,,,
