match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_bigChanceMissed,stat_shotOffTarget,stat_outfielderBlock,stat_totalTackle,stat_unsuccessfulTouch,stat_fouls,stat_totalOffside,stat_expectedGoals,stat_keyPass,stat_challengeLost,stat_interceptionWon,stat_wonTackle,stat_wasFouled,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_clearanceOffLine,stat_expectedGoalsOnTarget,stat_dispossessed,stat_totalContest,stat_goalAssist,stat_wonContest,stat_bigChanceCreated,player_sofascoreId,stat_goals,stat_errorLeadToAShot,stat_goodHighClaim,stat_lastManTackle
11388449,home,PEC Zwolle,Jasper Schendelaar,Jasper,Schendelaar,jasper-schendelaar,J. Schendelaar,G,1,182,179,M,856636,EUR,967852800,G,1,1,False,26.0,18.0,12.0,5.0,16.0,20.0,2.0,6.0,1.0,7.0,1.0,1.0,1.0,1.0,90.0,36.0,6.2,8.0,0.00063135,0,-1.0512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11388449,home,PEC Zwolle,Bram van Polen,,,bram-van-polen,B. v. Polen,D,,179,52,M,17032,EUR,497836800,D,2,2,False,39.0,34.0,8.0,5.0,24.0,25.0,11.0,18.0,2.0,4.0,,,,,90.0,54.0,6.5,10.0,0.117059,1,,True,4.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4117,2.0,,,,,,,,,,,,,,,,,,
11388449,home,PEC Zwolle,Sam Kersten,,,sam-kersten,S. Kersten,D,4,191,83,M,847072,EUR,886118400,D,4,4,False,73.0,64.0,8.0,3.0,49.0,54.0,15.0,19.0,1.0,6.0,,,,,90.0,83.0,6.4,9.0,0.00755433,0,,,,,2.0,1.0,5.0,5.0,,,1.0,3.0,,1.0,,,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,
11388449,home,PEC Zwolle,Thomas Lam,,,thomas-lam,T. Lam,D,3,188,86,M,110934,EUR,756172800,D,13,13,False,78.0,68.0,6.0,2.0,52.0,54.0,16.0,24.0,2.0,4.0,,,,,90.0,92.0,7.2,10.0,0.00969728,2,,,,,2.0,7.0,4.0,8.0,,,2.0,,,2.0,,0.1586,,,1.0,,1.0,1.0,1.0,1.0,0.2209,,,,,,,,,,
11388449,home,PEC Zwolle,Anselmo Garcia McNulty,,,anselmo-garcia-mcnulty,A. G. McNulty,D,4,187,281,M,1005693,EUR,1045612800,D,15,15,False,65.0,57.0,6.0,2.0,37.0,37.0,22.0,31.0,,4.0,,,,,87.0,76.0,6.1,11.0,0.0514957,0,,,3.0,2.0,,3.0,5.0,4.0,,,,1.0,,3.0,,,2.0,1.0,,,,,,,,1.0,,,,,,,,,
11388449,home,PEC Zwolle,Anouar El Azzouzi,,,anouar-el-azzouzi,A. E. Azzouzi,M,8,181,517,M,1021104,EUR,991094400,M,6,6,False,61.0,57.0,2.0,1.0,37.0,38.0,20.0,23.0,3.0,8.0,,,,,67.0,71.0,6.5,6.0,0.0135521,0,,,,,1.0,2.0,4.0,5.0,,,,2.0,,1.0,,,,1.0,,1.0,1.0,,,,,1.0,1.0,,,,,,,,
11388449,home,PEC Zwolle,Davy van den Berg,,,davy-van-den-berg,D. v. d. Berg,M,6,185,272,M,1001468,EUR,949622400,M,11,11,False,51.0,46.0,4.0,2.0,23.0,24.0,23.0,27.0,,4.0,,,,,90.0,61.0,6.5,8.0,0.0788865,1,,,,,,,2.0,2.0,,,,1.0,2.0,2.0,,0.0356,,,1.0,1.0,1.0,,1.0,,,,1.0,,,,,,,,
11388449,home,PEC Zwolle,Younes Namli,,,younes-namli,Y. Namli,M,9,180,239,M,235538,EUR,772070400,M,7,7,False,64.0,57.0,9.0,7.0,24.0,25.0,34.0,44.0,,5.0,,,,,90.0,80.0,7.6,14.0,0.32729,3,,,5.0,1.0,,,2.0,2.0,,2.0,,,1.0,1.0,,0.0811,3.0,,,,,,1.0,,,,3.0,1.0,2.0,2.0,,,,,
11388449,home,PEC Zwolle,Odysseus Velanas,Odysseus,Velanas,odysseus-velanas,O. Velanas,M,18,180,83,M,846003,EUR,897004800,M,18,18,False,14.0,13.0,,,4.0,4.0,9.0,10.0,,,,,,,68.0,19.0,6.2,4.0,0.0136412,1,,,,,1.0,,4.0,,,1.0,,,1.0,1.0,,0.0367,1.0,,,,,,,,,,2.0,,,,,,,,
11388449,home,PEC Zwolle,Eliano Reijnders,,,eliano-reijnders,E. Reijnders,D,2,168,8068,M,960112,EUR,972259200,M,23,23,False,15.0,14.0,,,3.0,3.0,11.0,14.0,1.0,2.0,,,,,67.0,26.0,6.5,5.0,0.00893755,1,,,2.0,,,1.0,3.0,3.0,,,,1.0,,,1.0,0.0334,1.0,1.0,,1.0,1.0,,1.0,,,1.0,1.0,,,,eliano.r,,,,
