match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_totalContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,captain,stat_aerialWon,stat_challengeLost,stat_dispossessed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_wonContest,stat_keyPass,stat_blockedScoringAttempt,stat_totalOffside,stat_bigChanceMissed,stat_goalAssist,player_sofascoreId,stat_outfielderBlock,stat_bigChanceCreated
11453062,home,Damac FC,Mohammed Al-Mahasneh,mohammed-al-mahasneh,M. Al-Mahasneh,G,33,180,55,M,1018709,EUR,862185600,G,33,33,False,20.0,11.0,11.0,2.0,11.0,16.0,4.0,8.0,1.0,2.0,4.0,90.0,31.0,7.1,10.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11453062,home,Damac FC,Alhwsawi Sanousi Mohammed,alhwsawi-sanousi-mohammed,A. S. Mohammed,D,12,172,20,M,1085415,EUR,902707200,D,21,21,False,45.0,35.0,2.0,1.0,18.0,20.0,27.0,2.0,,,,90.0,70.0,6.7,15.0,0,Alhwsawi Sanousi Mohammed,,18.0,2.0,1.0,1.0,3.0,5.0,1.0,3.0,2.0,3.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,
11453062,home,Damac FC,Farouk Chafaï,farouk-chafai,F. Chafaï,D,5,182,329,M,880083,EUR,646099200,D,15,15,False,36.0,32.0,8.0,5.0,18.0,19.0,17.0,6.0,,,,90.0,51.0,7.4,7.0,4,,,14.0,,,1.0,6.0,2.0,,3.0,,1.0,1.0,1.0,,3.0,True,1.0,1.0,1.0,1.0,3.0,1.0,,,,,,,,,
11453062,home,Damac FC,Abdelkader Bedrane,abdelkader-bedrane,A. Bedrane,D,3,185,1163,M,906407,EUR,702172800,D,3,3,False,48.0,39.0,10.0,4.0,31.0,33.0,15.0,8.0,,,,90.0,64.0,6.7,15.0,0,,,8.0,,,2.0,4.0,4.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,,,,,2.0,,,,1.0,,,,,,,,
11453062,home,Damac FC,Dhari Al-Enezi,dhari-al-enezi,D. Al-Enezi,D,20,170,42,M,1214301,EUR,957571200,D,20,20,False,22.0,20.0,1.0,,16.0,17.0,6.0,5.0,,,,68.0,36.0,6.0,8.0,0,Dhari Al-Enezi,,4.0,1.0,,1.0,3.0,,,1.0,,,,3.0,,,,,2.0,,,,,,,,,,,,,
11453062,home,Damac FC,Bader Munshi,bader-munshi,B. Munshi,M,16,178,9,M,1102071,EUR,929836800,M,16,16,False,33.0,30.0,5.0,5.0,16.0,18.0,15.0,8.0,,,,62.0,41.0,7.0,5.0,0,Bader Munshi,,14.0,,,2.0,3.0,5.0,1.0,,,2.0,2.0,1.0,2.0,,,,1.0,,,,,1.0,1.0,,,,,,,
11453062,home,Damac FC,Domagoj Antolić,domagoj-antolic,D. Antolić,M,8,180,103,M,67645,EUR,646704000,M,17,17,False,57.0,51.0,6.0,5.0,28.0,30.0,28.0,3.0,,,,90.0,68.0,6.8,10.0,0,,,23.0,1.0,,,5.0,3.0,1.0,1.0,2.0,2.0,1.0,,1.0,3.0,,,,1.0,,,,,1.0,,,,,,,
11453062,home,Damac FC,Ahmad Zain,ahmad-zain,A. Zain,M,49,177,14,M,818809,EUR,678412800,M,49,49,False,22.0,19.0,3.0,2.0,10.0,11.0,12.0,8.0,,,,63.0,45.0,6.8,13.0,1,,,9.0,1.0,,1.0,5.0,8.0,4.0,1.0,,2.0,2.0,1.0,3.0,,,1.0,,2.0,1.0,,,2.0,,,,,,,,
11453062,home,Damac FC,Nicolae Stanciu,nicolae-stanciu,N. Stanciu,M,8,171,4005,M,108673,EUR,736732800,M,31,31,False,49.0,41.0,13.0,10.0,10.0,11.0,41.0,2.0,,,,90.0,60.0,7.8,15.0,1,,,31.0,3.0,,,3.0,2.0,2.0,1.0,,,,2.0,,,,,2.0,1.0,,1.0,1.0,2.0,4.0,,,,,,,
11453062,home,Damac FC,Georges-Kévin N'Koudou,georges-kevin-nkoudou,G. N'Koudou,M,11,172,2369,M,342909,EUR,792633600,M,10,10,False,40.0,33.0,7.0,5.0,8.0,9.0,35.0,5.0,,,,90.0,63.0,7.1,18.0,3,,,25.0,4.0,,,2.0,4.0,2.0,,1.0,,,4.0,2.0,,,,,2.0,2.0,,,2.0,,1.0,2.0,,,,,
