match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_outfielderBlock,stat_keyPass,stat_bigChanceCreated,stat_totalOffside,stat_shotOffTarget,stat_blockedScoringAttempt,stat_accurateCross,player_firstName,player_lastName,captain,stat_hitWoodwork,stat_bigChanceMissed,stat_lastManTackle,stat_errorLeadToAShot,stat_errorLeadToAGoal
12117328,home,Flamengo,Agustín Rossi,agustin-rossi,A. Rossi,G,1,195,10864,M,AgustinRossi,1140986,EUR,808963200,G,1,1,False,27.0,16.0,14.0,4.0,0.0,15.0,18.0,1.0,9.0,1.0,2.0,1.0,7.0,1.0,2.0,3.0,4.0,1.0,1.0,1.0,90.0,38.0,7.2,11.0,0.00026789,0,0.2503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117328,home,Flamengo,Wesley,wesley-franca,Wesley,D,43,178,26920,M,WesleyFranca03,1134200,EUR,1062806400,D,43,43,False,35.0,32.0,2.0,2.0,0.0,12.0,13.0,20.0,25.0,2.0,12.0,1.0,6.0,,,,,,,,90.0,66.0,7.6,12.0,0.0265674,0,,3.0,3.0,8.0,1.0,2.0,2.0,1.0,4.0,9.0,6.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
12117328,home,Flamengo,Léo Ortiz,leo-ortiz,L. Ortiz,D,3,185,10970,M,leortiz33,869643,EUR,820627200,D,3,3,False,56.0,49.0,9.0,6.0,0.0,32.0,35.0,17.0,21.0,2.0,4.0,6.0,6.0,1.0,,,,,,,90.0,68.0,7.6,7.0,0.0076298,1,,,1.0,2.0,,,,,2.0,1.0,1.0,,1.0,1.0,1.0,0.0767,0.7956,,,,,,,,,,,,,,,
12117328,home,Flamengo,Léo Pereira,leo-pereira,L. Pereira,D,4,189,8450,M,leopereira4,358548,EUR,823046400,D,4,4,False,46.0,40.0,8.0,4.0,0.0,27.0,27.0,13.0,19.0,1.0,1.0,,,,,,,,,,82.0,50.0,6.5,8.0,0.0108981,0,,,1.0,4.0,1.0,,,,,,,2.0,2.0,,,,,1.0,1.0,,,,,,,,,,,,,
12117328,home,Flamengo,Alex Sandro,alex-sandro,A. Sandro,D,26,181,13338,M,alxsndro12,84854,EUR,664848000,D,26,26,False,54.0,47.0,5.0,3.0,1.0,25.0,27.0,22.0,27.0,2.0,7.0,3.0,6.0,2.0,,,,,,,90.0,75.0,7.9,10.0,0.565583,2,,,,3.0,,,,,1.0,3.0,2.0,,3.0,2.0,,0.2521,0.7289,,1.0,1.0,1.0,,,,,,,,,,,
12117328,home,Flamengo,Evertton Araujo,evertton,E. Araujo,M,52,185,4689,M,,1145106,EUR,1046390400,M,52,52,False,41.0,36.0,2.0,1.0,0.0,19.0,20.0,17.0,21.0,1.0,4.0,1.0,7.0,,,,,,,,90.0,59.0,7.0,7.0,0.0225288,3,,,,6.0,3.0,1.0,,,5.0,3.0,2.0,1.0,2.0,1.0,,0.0467,0.0122,,,,,1.0,1.0,,,,,,,,,
12117328,home,Flamengo,Nicolás de la Cruz,nicolas-de-la-cruz,N. de la Cruz,M,18,167,16989,M,nicodelacruz10,877513,EUR,865123200,M,18,18,False,51.0,42.0,2.0,,1.0,19.0,19.0,25.0,35.0,,3.0,1.0,5.0,3.0,,,,,,,75.0,59.0,7.1,11.0,0.505129,0,,3.0,,4.0,1.0,,,,,,,1.0,3.0,,,,,,5.0,,1.0,,,2.0,,,,,,,,
12117328,home,Flamengo,Gerson,gerson,Gerson,M,11,185,29672,M,gerson_santos,611876,EUR,864086400,M,8,8,False,45.0,42.0,6.0,5.0,0.0,14.0,15.0,30.0,33.0,,10.0,1.0,7.0,5.0,,,,,,,90.0,70.0,7.8,10.0,0.341119,1,,3.0,2.0,6.0,1.0,2.0,5.0,4.0,1.0,1.0,1.0,2.0,,,,0.0196,,1.0,2.0,,2.0,,1.0,2.0,,,True,,,,,
12117328,home,Flamengo,Gonzalo Plata,gonzalo-plata,G. Plata,M,19,178,20442,M,gonzaloplata,937937,EUR,973036800,M,45,45,False,28.0,23.0,,,0.0,7.0,10.0,16.0,18.0,1.0,7.0,,4.0,,,,,,,,89.0,41.0,7.8,7.0,0.14119,3,,,,3.0,1.0,,3.0,2.0,,4.0,3.0,,1.0,2.0,,0.2528,0.1676,,2.0,1.0,,1.0,,,,,,1.0,,,,
12117328,home,Flamengo,Michael,michael,Michael,M,96,166,9025,M,Michael19,878084,EUR,826588800,M,30,30,False,26.0,22.0,,,0.0,5.0,5.0,18.0,24.0,1.0,4.0,1.0,2.0,,,,,,,,90.0,41.0,8.7,11.0,0.130109,2,,3.0,,3.0,1.0,1.0,2.0,1.0,,2.0,2.0,2.0,,2.0,2.0,1.1532,1.3708,,2.0,,,,,1.0,,,,,,,,
