match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_sofascoreId,stat_totalCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,captain,stat_aerialLost,stat_aerialWon,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_totalClearance,stat_outfielderBlock,stat_totalContest,stat_onTargetScoringAttempt,stat_goals,stat_wonContest,stat_totalOffside,stat_goalAssist,stat_accurateCross,stat_bigChanceCreated,stat_shotOffTarget,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper
10389951,home,Lille,Lucas Chevalier,,,chevalier-lucas,L. Chevalier,G,30,188,21320,M,996953,EUR,1005004800,G,30,30,False,18.0,11.0,14.0,7.0,8.0,8.0,3.0,10.0,6.0,1.0,2.0,2.0,90.0,25.0,7.3,7.0,0.0,0.0,0.00122481,0,0.1826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10389951,home,Lille,Timothy Weah,,,weah-timothy,T. Weah,M,22,185,11671,M,855810,EUR,951177600,D,22,22,False,34.0,32.0,3.0,1.0,15.0,15.0,17.0,21.0,7.0,,,,90.0,54.0,7.0,10.0,0.0,0.0,0.013598,0,,timothyweah,2.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,5.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
10389951,home,Lille,José Fonte,,,jose-fonte,J. Fonte,D,6,191,691,M,27622,EUR,440899200,D,6,6,False,88.0,75.0,10.0,2.0,41.0,45.0,34.0,43.0,7.0,,,,90.0,96.0,6.6,15.0,0.096,0.0,0.0205114,1,,,,3.0,1.0,,,,,,2.0,,1.0,,True,2.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,
10389951,home,Lille,Tiago Djaló,,,tiago-djalo,T. Djaló,D,35,190,2965,M,892735,EUR,955238400,D,3,3,False,95.0,92.0,7.0,6.0,60.0,61.0,32.0,34.0,10.0,,,,90.0,110.0,8.0,4.0,0.0365,0.7814,0.0131667,1,,,,2.0,5.0,,,,2.0,1.0,,2.0,,,,1.0,1.0,,,5.0,,1.0,1.0,1.0,,,,,,,,,
10389951,home,Lille,Bafodé Diakité,,,bafode-diakite,B. Diakité,D,18,182,1863,M,962408,EUR,978739200,D,18,18,False,83.0,75.0,3.0,2.0,41.0,44.0,34.0,39.0,6.0,,,,90.0,108.0,7.1,11.0,0.0,0.0,0.0136213,0,,,,5.0,3.0,,,,2.0,1.0,2.0,,2.0,,,2.0,1.0,,,3.0,1.0,1.0,,,,,,,,,,,
10389951,home,Lille,Benjamin André,,,benjamin-andre,B. André,M,21,180,759,M,51665,EUR,649641600,M,21,21,False,45.0,40.0,7.0,5.0,22.0,23.0,18.0,22.0,6.0,,,,90.0,68.0,6.9,10.0,0.0757,0.0,0.0188104,2,,,,12.0,8.0,2.0,2.0,1.0,5.0,3.0,2.0,2.0,,,,8.0,1.0,,2.0,3.0,,,,,,,,,,,,,
10389951,home,Lille,Angel Gomes,,,angel-gomes,A. Gomes,M,47,168,3430,M,867441,EUR,967680000,M,20,20,False,50.0,46.0,7.0,5.0,23.0,25.0,23.0,25.0,4.0,,,,62.0,60.0,7.0,7.0,0.0,0.0,0.0515382,0,,,,7.0,5.0,1.0,,,5.0,2.0,3.0,,4.0,,,3.0,,,,1.0,,,,,,,,,,,,,
10389951,home,Lille,Adam Ounas,,,adam-ounas,A. Ounas,M,10,172,8650,M,818440,EUR,847670400,M,11,11,False,40.0,29.0,3.0,2.0,12.0,12.0,17.0,30.0,6.0,,,,77.0,63.0,6.4,21.0,0.2587,0.4255,0.0200491,2,,ounas_11,2.0,7.0,7.0,,3.0,,1.0,1.0,2.0,3.0,1.0,,,,1.0,1.0,,,,5.0,2.0,,2.0,2.0,,,,,,,
10389951,home,Lille,Rémy Cabella,,,remy-cabella,R. Cabella,M,20,171,1177,M,72998,EUR,636854400,M,10,10,False,52.0,45.0,,,19.0,19.0,28.0,35.0,2.0,,,,87.0,68.0,7.7,8.0,0.0076,0.0,0.281029,1,,,2.0,4.0,5.0,1.0,,1.0,1.0,1.0,1.0,1.0,3.0,3.0,,,,,,1.0,,3.0,,,3.0,,1.0,2.0,2.0,1.0,,,
10389951,home,Lille,Jonathan Bamba,,,jonathan-bamba,J. Bamba,F,19,175,1936,M,595576,EUR,827798400,M,7,7,False,37.0,29.0,,,6.0,7.0,23.0,32.0,5.0,,,,90.0,62.0,5.9,21.0,0.1499,0.2466,0.0319826,2,,,2.0,12.0,2.0,2.0,4.0,,1.0,1.0,3.0,1.0,1.0,3.0,,1.0,,,1.0,,,4.0,1.0,,,,,,,,,,
