match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_expectedGoals,stat_keyPass,stat_aerialWon,stat_outfielderBlock,player_firstName,player_lastName,stat_accurateCross,stat_challengeLost,stat_dispossessed,stat_totalOffside,player_sofascoreId,stat_blockedScoringAttempt,stat_unsuccessfulTouch,stat_wasFouled,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_goals,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_clearanceOffLine
12528198,home,Beşiktaş JK,Mert Günok,mert-gunok,M. Günok,G,34,196,4079,M,39573,EUR,604713600,G,34,34,False,True,17.0,11.0,8.0,2.0,0.0,9.0,11.0,2.0,6.0,1.0,7.0,1.0,1.0,1.0,90.0,23.0,6.4,6.0,0.00161496,0,-0.5608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12528198,home,Beşiktaş JK,Jonas Svensson,jonas-svensson,J. Svensson,D,71,170,1479,M,98199,EUR,731376000,D,2,2,False,,40.0,35.0,4.0,2.0,0.0,15.0,17.0,20.0,25.0,4.0,3.0,,,,90.0,63.0,7.1,8.0,0.0572657,1,,2.0,2.0,4.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0261,2.0,,,,,,,,,,,,,,,,,,,,
12528198,home,Beşiktaş JK,Gabriel Paulista,gabriel-paulista,G. Paulista,D,3,187,5339,M,124737,EUR,659577600,D,3,3,False,,49.0,44.0,6.0,3.0,0.0,31.0,32.0,13.0,17.0,8.0,1.0,,,,90.0,60.0,6.8,5.0,0.00658136,0,,,1.0,2.0,1.0,,,,,1.0,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,
12528198,home,Beşiktaş JK,Omar Colley,omar-colley,O. Colley,D,15,190,972,M,238408,EUR,719798400,D,6,6,False,,41.0,35.0,5.0,3.0,0.0,23.0,25.0,12.0,16.0,2.0,1.0,,,,90.0,50.0,6.7,6.0,0.00487107,0,,,2.0,4.0,6.0,,,,,1.0,4.0,3.0,2.0,,,2.0,1.0,,,,,,,,,,,,,,,,,,
12528198,home,Beşiktaş JK,Emirhan Topçu,emirhan-topcu,E. Topçu,D,53,188,2619,M,895009,EUR,971222400,D,53,53,False,,26.0,18.0,2.0,,0.0,12.0,14.0,7.0,16.0,,4.0,,,,67.0,46.0,6.2,14.0,0.264535,0,,4.0,1.0,6.0,4.0,4.0,3.0,,,1.0,,,1.0,,,1.0,,,,1.0,2.0,1.0,1.0,,,,,,,,,,,,
12528198,home,Beşiktaş JK,Gedson Fernandes,gedson-fernandes,G. Fernandes,M,83,184,5244,M,862055,EUR,915840000,M,83,83,False,,47.0,42.0,6.0,4.0,0.0,18.0,21.0,24.0,29.0,2.0,6.0,,,,90.0,72.0,7.1,12.0,0.0397377,2,,3.0,,5.0,9.0,1.0,1.0,,1.0,,7.0,3.0,2.0,0.0517,,,,,,,1.0,2.0,1.0,gedson_83,1.0,1.0,1.0,,,,,,,,
12528198,home,Beşiktaş JK,Mutassim Al-Musrati,mutassim-al-musrati,M. Al-Musrati,M,73,189,2809,M,868958,EUR,828748800,M,28,28,False,,56.0,48.0,8.0,6.0,0.0,19.0,20.0,29.0,36.0,1.0,7.0,,,,90.0,69.0,7.3,10.0,0.257396,0,,,3.0,9.0,7.0,1.0,1.0,1.0,,2.0,4.0,2.0,4.0,,1.0,,,,,,2.0,,,,,1.0,2.0,,,,,,,,
12528198,home,Beşiktaş JK,Milot Rashica,milot-rashica,M. Rashica,M,7,177,3715,M,800411,EUR,835920000,M,7,7,False,,18.0,15.0,1.0,1.0,2.0,4.0,4.0,13.0,18.0,,2.0,,,,90.0,37.0,8.0,11.0,0.418622,2,,4.0,2.0,6.0,4.0,2.0,1.0,2.0,1.0,,1.0,1.0,3.0,0.1034,3.0,,,,,2.0,,,,MRashica,,4.0,2.0,1.0,1.0,0.1784,,,,,
12528198,home,Beşiktaş JK,Rafa Silva,rafa-silva,R. Silva,M,27,170,16962,M,252577,EUR,737596800,M,27,27,False,,38.0,30.0,4.0,3.0,0.0,9.0,9.0,22.0,36.0,,5.0,,,,88.0,67.0,7.7,20.0,0.163698,3,,7.0,1.0,5.0,9.0,4.0,2.0,1.0,1.0,1.0,1.0,,,1.5258,2.0,,,,,1.0,,2.0,,Rafa_Silva,,1.0,6.0,2.0,2.0,0.9341,1.0,,,,
12528198,home,Beşiktaş JK,Semih Kılıçsoy,semih-kilicsoy,S. Kilicsoy,F,9,178,11925,M,1142606,EUR,1124064000,M,9,9,False,,8.0,6.0,,,1.0,,,6.0,9.0,,7.0,,,,67.0,24.0,6.7,10.0,0.596702,1,,1.0,1.0,8.0,3.0,4.0,1.0,1.0,,,1.0,1.0,1.0,0.1078,1.0,,,,,,,3.0,1.0,semihkilicsoy9,1.0,1.0,1.0,,,,,,,,
