match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_unsuccessfulTouch,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,captain,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_interceptionWon,stat_totalTackle,stat_fouls,stat_keyPass,stat_wonContest,stat_shotOffTarget,stat_wonTackle,stat_wasFouled,stat_outfielderBlock,stat_dispossessed,stat_totalOffside,stat_errorLeadToAGoal,stat_accurateCross,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_bigChanceCreated,stat_lastManTackle,stat_goals
10408575,home,Athletic Club,Unai Simón,unai-simon,U. Simón,G,1,189,6832,M,unai_simon,797291,EUR,865987200,G,1,1,False,37.0,24.0,24.0,11.0,16.0,18.0,8.0,19.0,1.0,9.0,1.0,1.0,1.0,1.0,90.0,46.0,6.5,14.0,0.0,0.0,0.00404716,0,-0.5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408575,home,Athletic Club,Óscar de Marcos,oscar-de-marcos,Ó. de Marcos,D,10,180,561,M,,52663,EUR,608515200,D,18,18,False,48.0,38.0,2.0,,22.0,27.0,16.0,23.0,,4.0,,,,,80.0,65.0,6.3,13.0,0.0,0.0,0.0567751,0,,,,True,2.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
10408575,home,Athletic Club,Daniel Vivian,daniel-vivian,D. Vivian,D,3,183,3110,M,,910978,EUR,931132800,D,3,3,False,69.0,61.0,13.0,9.0,44.0,46.0,17.0,23.0,4.0,15.0,,,,,90.0,81.0,7.2,8.0,0.0449,0.0,0.0353229,1,,,,,,,2.0,3.0,8.0,1.0,1.0,,4.0,2.0,,1.0,1.0,3.0,1.0,,,,,,,,,,,,
10408575,home,Athletic Club,Aitor Paredes,aitor-paredes,A. Paredes,D,4,186,1132,M,,959872,EUR,956966400,D,31,31,False,65.0,59.0,7.0,4.0,44.0,48.0,15.0,17.0,2.0,7.0,,,,,90.0,71.0,7.0,6.0,0.0,0.0,0.00464685,0,,,,,,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,2.0,,,,,,,,,,,
10408575,home,Athletic Club,Yuri Berchiche,yuri-berchiche,Y. Berchiche,D,17,181,1146,M,,84531,EUR,634608000,D,17,17,False,57.0,49.0,3.0,3.0,16.0,17.0,33.0,44.0,,5.0,1.0,,,,90.0,87.0,6.8,16.0,0.0,0.0,0.0398571,0,,,,,4.0,3.0,2.0,8.0,5.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,,1.0,,,1.0,1.0,,,,,,,,,
10408575,home,Athletic Club,Dani García,dani-garcia,D. García,M,14,180,701,M,,298920,EUR,643507200,M,14,14,False,38.0,31.0,3.0,2.0,15.0,17.0,16.0,21.0,,4.0,1.0,,,,58.0,42.0,6.5,8.0,0.0199,0.0,0.033937,1,,,,,,1.0,,3.0,,2.0,,,,,,,1.0,,,,,,,,,,,,,,
10408575,home,Athletic Club,Mikel Vesga,mikel-vesga,M. Vesga,M,6,191,504,M,,359742,EUR,734227200,M,6,6,False,51.0,43.0,4.0,3.0,19.0,22.0,24.0,29.0,1.0,9.0,2.0,,,,80.0,61.0,6.6,10.0,0.0,0.0,0.158649,0,,,,,,,2.0,2.0,6.0,1.0,,1.0,3.0,1.0,,,,2.0,1.0,,,,1.0,,,,,,,,
10408575,home,Athletic Club,Iñaki Williams,inaki-williams,I. Williams,M,9,186,20741,M,IñakiWill,783374,EUR,771638400,M,9,9,False,27.0,21.0,,,7.0,7.0,16.0,27.0,,2.0,2.0,,,,90.0,49.0,7.1,18.0,0.0867,0.1117,0.585901,1,,,,,7.0,1.0,,5.0,6.0,1.0,7.0,,,1.0,3.0,5.0,,,1.0,,,,,2.0,1.0,,,,,,
10408575,home,Athletic Club,Oihan Sancet,oihan-sancet,O. Sancet,M,8,188,3356,M,,966801,EUR,956620800,M,8,8,False,46.0,33.0,3.0,1.0,6.0,8.0,27.0,41.0,,2.0,3.0,,,,90.0,71.0,7.3,24.0,0.2391,0.5581,0.046581,5,,,,,3.0,1.0,,7.0,6.0,1.0,3.0,,1.0,2.0,3.0,3.0,3.0,1.0,2.0,,3.0,,,,2.0,1.0,,,,,
10408575,home,Athletic Club,Nico Williams,nico-williams,N. Williams,M,10,180,84836,M,NicoWill,1085400,EUR,1026432000,M,11,11,False,20.0,16.0,1.0,,3.0,4.0,15.0,29.0,,3.0,3.0,,,,65.0,52.0,6.8,23.0,0.0,0.0,0.145883,0,,,,,13.0,1.0,1.0,7.0,8.0,,7.0,1.0,1.0,1.0,2.0,5.0,,1.0,1.0,,3.0,,,2.0,,,,,,,
