match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_progressiveBallCarriesCount,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_bigChanceCreated,stat_bigChanceMissed,stat_shotOffTarget,stat_blockedScoringAttempt,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_unsuccessfulTouch,stat_expectedGoals,stat_keyPass,stat_shotValueNormalized,captain,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_totalCross,stat_challengeLost,stat_totalContest,stat_wonContest,stat_bestBallCarryProgression,stat_totalProgressiveBallCarriesDistance,stat_dispossessed,stat_accurateCross,stat_errorLeadToAShot,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_totalOffside
14053589,home,Sparta Rotterdam,Joël Drommel,,,joel-drommel,J. Drommel,G,1,189.0,377,M,610396,EUR,848102400,G,1,1,False,55.0,26.0,48.0,19.0,0.0,7.0,11.0,19.0,44.0,11.0,1.0,3.0,4.0,90.0,63.0,7.0,29.0,0.0230642,72.297058285002,12.0,18.380517319613,0.0,0.134,0,0.3758,0.27,-0.03,0.19,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14053589,home,Sparta Rotterdam,Lushendry Edward Martes,Lushendry,Edward Martes,lushendry-edward-martes,L. E. Martes,D,2,,124,M,1960315,EUR,1210032000,D,2,2,False,21.0,12.0,7.0,2.0,0.0,6.0,7.0,6.0,14.0,5.0,,,,45.0,36.0,6.7,10.0,0.00325734,30.36482640359,5.0,3.2064953505224,0.0,,0,,0.03,0.03,0.22,,1.0,1.0,3.0,4.0,2.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14053589,home,Sparta Rotterdam,Marvin Young,Marvin,Young ,marvin-young,M. Young,D,3,182.0,186,M,1648759,EUR,1128211200,D,3,3,False,31.0,28.0,4.0,2.0,1.0,21.0,23.0,7.0,8.0,4.0,,,,90.0,51.0,6.9,5.0,0.00549631,40.630902854569,6.0,-5.8108598476438,0.0,,3,,0.07,0.01,-0.09,,1.0,4.0,2.0,5.0,1.0,,,1.0,1.0,1.0,2.0,1.0,6.0,1.0,5.0,2.0,0.2003,1.0,-0.28,,,,,,,,,,,,,,,,
14053589,home,Sparta Rotterdam,Bruno Martins Indi,,,bruno-martins-indi,B. M. Indi,D,4,185.0,169,M,116947,EUR,697507200,D,4,4,False,30.0,27.0,2.0,2.0,0.0,23.0,25.0,4.0,5.0,6.0,,,,90.0,46.0,7.5,3.0,0.00171132,94.549631680906,16.0,3.0263416075179,0.0,,3,,0.03,0.07,0.25,,2.0,3.0,4.0,5.0,1.0,,1.0,2.0,,1.0,,1.0,6.0,1.0,,,0.693,,0.3,True,2.0,1.0,0.9603,,,,,,,,,,,,
14053589,home,Sparta Rotterdam,Teo Quintero,,,teo-quintero,T. Q. León,D,5,188.0,439,M,966299,EUR,920332800,D,5,5,False,35.0,21.0,7.0,2.0,0.0,12.0,18.0,9.0,17.0,3.0,,,,90.0,59.0,6.8,16.0,0.0128653,66.314880708815,10.0,-1.1701039481636,0.0,,0,,0.1,0.07,0.17,,,4.0,4.0,6.0,1.0,1.0,1.0,2.0,,,,,3.0,2.0,3.0,1.0,,1.0,,,,,,1.0,2.0,,,,,,,,,,
14053589,home,Sparta Rotterdam,Joshua Kitolano,,,joshua-kitolano,J. Kitolano,M,8,170.0,270,M,913584,EUR,984009600,M,8,8,False,20.0,15.0,2.0,,0.0,7.0,10.0,8.0,10.0,3.0,,,,90.0,40.0,7.3,9.0,0.0544061,103.83077746253,9.0,21.70154720784,1.0,,3,,0.16,0.28,0.4,,,,4.0,4.0,2.0,1.0,1.0,2.0,,1.0,,1.0,3.0,1.0,,3.0,0.1565,1.0,0.29,,2.0,,0.7578,,1.0,2.0,1.0,13.081140260573,13.987694913745,,,,,,
14053589,home,Sparta Rotterdam,Pelle Clement,,,pelle-clement,P. Clement,M,6,177.0,69,M,795135,EUR,832464000,M,6,6,False,29.0,20.0,5.0,1.0,0.0,11.0,11.0,9.0,18.0,7.0,,,,83.0,44.0,6.4,14.0,0.0108947,34.121561753623,5.0,-17.74300977495,0.0,,0,,0.1,-0.03,-0.05,,2.0,1.0,9.0,5.0,2.0,1.0,1.0,4.0,,,,,3.0,,,2.0,,,,,,,,2.0,2.0,1.0,1.0,,,1.0,,,,,
14053589,home,Sparta Rotterdam,Mitchell van Bergen,,,mitchell-van-bergen,M. v. Bergen,F,7,170.0,247,M,827662,EUR,935712000,M,7,7,False,14.0,11.0,1.0,,0.0,3.0,3.0,8.0,11.0,3.0,,,,90.0,31.0,7.0,10.0,0.331627,158.78356584953,13.0,75.338932647243,4.0,,1,,0.53,0.21,-0.04,,1.0,,2.0,2.0,1.0,,1.0,,,,1.0,,1.0,,1.0,3.0,0.0483,1.0,-0.22,,,,,4.0,,1.0,,23.496194864399,109.52190849465,,1.0,,,,
14053589,home,Sparta Rotterdam,Ayoni  Santos,Ayoni,Santos,ayoni-santos,A. Santos,M,10,,100,M,1648751,EUR,1121644800,M,10,10,False,15.0,9.0,,,0.0,5.0,7.0,4.0,8.0,4.0,,,,90.0,43.0,6.7,11.0,0.108424,63.51158814767,8.0,0.33116953232091,0.0,,1,,0.09,0.19,0.18,,2.0,,8.0,8.0,5.0,2.0,2.0,3.0,,,1.0,,3.0,,1.0,2.0,0.0764,1.0,-0.24,,,,,1.0,,4.0,1.0,,,,1.0,,,,
14053589,home,Sparta Rotterdam,Shunsuke Mito,,,shunsuke-mito,S. Mito,M,11,164.0,866,M,1002479,EUR,1033171200,M,11,11,False,22.0,16.0,2.0,1.0,0.0,3.0,4.0,13.0,18.0,5.0,,,,90.0,48.0,7.5,17.0,0.293603,184.60824771725,14.0,11.142819078884,2.0,,0,,0.37,0.18,-0.11,,,1.0,3.0,4.0,1.0,,2.0,2.0,2.0,,,,1.0,,1.0,5.0,,5.0,,,,,,9.0,,,,12.52656123232,37.848166737589,2.0,5.0,,,,
