match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalTackle,stat_fouls,stat_aerialLost,stat_interceptionWon,stat_unsuccessfulTouch,stat_wasFouled,stat_outfielderBlock,stat_errorLeadToAShot,stat_keyPass,stat_totalCross,stat_onTargetScoringAttempt,stat_wonTackle,stat_totalOffside,stat_expectedGoals,stat_expectedGoalsOnTarget,player_sofascoreId,captain,stat_shotOffTarget,stat_blockedScoringAttempt,stat_goals,stat_accurateCross,stat_punches,stat_bigChanceCreated,stat_bigChanceMissed,stat_hitWoodwork
12437604,home,Athletic Club,Alex Padilla,Álex Padilla,,padilla-alex,Á. Padilla,G,27,190.0,1431,M,1155116,EUR,1062374400,G,26,26,False,36.0,19.0,22.0,5.0,0.0,15.0,17.0,4.0,19.0,1.0,1.0,1.0,13.0,1.0,1.0,1.0,2.0,2.0,90.0,47.0,6.6,17.0,0.00066354,0,-0.0132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437604,home,Athletic Club,Andoni Gorosabel,,,andoni-gorosabel,A. Gorosabel,D,2,174.0,530,M,866810,EUR,839116800,D,2,2,False,20.0,16.0,,,0.0,8.0,9.0,8.0,11.0,,2.0,2.0,1.0,,,,,,81.0,36.0,6.3,5.0,0.0509136,0,,4.0,1.0,1.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
12437604,home,Athletic Club,Yeray Álvarez,,,yeray-alvarez,Y. Álvarez,D,5,183.0,811,M,807648,EUR,790905600,D,5,5,False,59.0,52.0,7.0,4.0,0.0,32.0,33.0,20.0,26.0,3.0,5.0,6.0,1.0,,,,,,90.0,75.0,6.8,10.0,0.00519094,0,,5.0,,1.0,1.0,,1.0,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
12437604,home,Athletic Club,Aitor Paredes,,,aitor-paredes,A. Paredes,D,4,186.0,1132,M,959872,EUR,956966400,D,4,4,False,56.0,49.0,12.0,5.0,0.0,36.0,37.0,13.0,19.0,3.0,4.0,8.0,1.0,,,,,,81.0,69.0,6.7,7.0,0.00374531,0,,2.0,1.0,,,,,1.0,,,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
12437604,home,Athletic Club,Yuri Berchiche,,,yuri-berchiche,Y. Berchiche,D,17,181.0,1146,M,84531,EUR,634608000,D,17,17,False,46.0,40.0,4.0,4.0,0.0,16.0,18.0,24.0,29.0,2.0,4.0,2.0,1.0,,,,,,90.0,71.0,7.1,8.0,0.0124397,1,,3.0,1.0,,1.0,1.0,1.0,,2.0,1.0,,,,,,1.0,1.0,1.0,1.0,0.0217,0.0395,,,,,,,,,,
12437604,home,Athletic Club,Beñat Prados,,,benat-prados,B. Prados,M,24,179.0,600,M,1012409,EUR,981590400,M,24,24,False,28.0,20.0,3.0,,0.0,10.0,10.0,10.0,18.0,4.0,6.0,,2.0,,,,,,57.0,35.0,6.5,10.0,0.0149092,0,,6.0,2.0,,2.0,1.0,1.0,1.0,2.0,,1.0,1.0,,,1.0,,,1.0,,,,,,,,,,,,,
12437604,home,Athletic Club,Mikel Vesga,,,mikel-vesga,M. Vesga,M,6,191.0,504,M,359742,EUR,734227200,M,6,6,False,38.0,27.0,6.0,4.0,0.0,14.0,18.0,13.0,20.0,,2.0,,4.0,,,,,,57.0,46.0,6.4,14.0,0.0177223,0,,4.0,1.0,1.0,1.0,,2.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
12437604,home,Athletic Club,Iñaki Williams,,,inaki-williams,I. Williams,M,9,186.0,20741,M,783374,EUR,771638400,M,9,9,False,22.0,15.0,,,0.0,2.0,2.0,13.0,22.0,1.0,4.0,2.0,3.0,,,,,,90.0,41.0,6.6,13.0,0.0256862,2,,4.0,,3.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,,,2.0,,,,0.1155,,IñakiWill,True,1.0,1.0,,,,,,
12437604,home,Athletic Club,Oihan Sancet,,,oihan-sancet,O. Sancet,M,8,188.0,3356,M,966801,EUR,956620800,M,8,8,False,23.0,18.0,,,0.0,7.0,7.0,11.0,16.0,,2.0,,3.0,,,,,,90.0,29.0,7.1,7.0,0.0100871,1,,4.0,,2.0,,,1.0,1.0,1.0,,,1.0,,,,,1.0,,,0.0475,0.2124,,,,,1.0,,,,,
12437604,home,Athletic Club,Álex Berenguer,,,alex-berenguer,Á. Berenguer,M,7,175.0,1919,M,592012,EUR,804816000,M,7,7,False,17.0,11.0,1.0,,0.0,4.0,4.0,8.0,19.0,3.0,7.0,1.0,3.0,,,,,,72.0,36.0,6.4,17.0,0.0141736,0,,7.0,,2.0,5.0,2.0,1.0,1.0,1.0,,1.0,1.0,,,,6.0,,,,,,,,,,,1.0,,,,
