match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_bigChanceCreated,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_keyPass,player_firstName,player_lastName,stat_aerialLost,stat_aerialWon,stat_wonContest,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_shotOffTarget,stat_expectedGoals,stat_challengeLost,stat_interceptionWon,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,captain,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_totalOffside,stat_hitWoodwork,stat_lastManTackle
12436553,home,Aston Villa,Emiliano Martínez,emiliano-martinez,E. Martínez,G,23,195,61053,M,EmiMartínez,158263,EUR,715392000,G,23,23,False,35.0,28.0,15.0,8.0,0.0,22.0,22.0,6.0,13.0,1.0,7.0,2.0,2.0,3.0,2.0,2.0,90.0,45.0,7.7,7.0,0.003704,0,0.9935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12436553,home,Aston Villa,Matty Cash,matty-cash,M. Cash,D,2,185,9380,M,mattycash622,833956,EUR,870912000,D,2,2,False,32.0,31.0,4.0,3.0,0.0,16.0,17.0,16.0,18.0,2.0,3.0,,,,,,90.0,52.0,7.1,9.0,0.0198476,0,,3.0,1.0,6.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
12436553,home,Aston Villa,Ezri Konsa,ezri-konsa,E. Konsa,D,4,183,3197,M,,827679,EUR,877564800,D,4,4,False,55.0,53.0,2.0,1.0,0.0,37.0,38.0,16.0,17.0,6.0,3.0,,,,,,90.0,65.0,7.0,4.0,0.00623797,0,,,,2.0,5.0,1.0,1.0,,1.0,,,,,,,,1.0,4.0,1.0,1.0,1.0,,,,,,,,,,,,,
12436553,home,Aston Villa,Pau Torres,pau-torres,P. Torres,D,14,192,4099,M,pauttorres,864169,EUR,853372800,D,14,14,False,48.0,47.0,2.0,1.0,0.0,34.0,35.0,13.0,13.0,5.0,1.0,,,,,,90.0,57.0,6.7,3.0,0.00525462,0,,,,7.0,,1.0,,,,,,,2.0,,,,4.0,,,,1.0,,,,,,,,,,,,,
12436553,home,Aston Villa,Ian Maatsen,ian-maatsen,I. Maatsen,D,22,178,5464,M,maatsen_,976263,EUR,1015718400,D,22,22,False,25.0,21.0,1.0,,0.0,9.0,11.0,12.0,15.0,2.0,7.0,,,,,,71.0,46.0,6.9,11.0,0.00415198,1,,1.0,,4.0,4.0,1.0,3.0,,,2.0,2.0,1.0,,,,,1.0,,1.0,,2.0,1.0,0.0382,,,,,,,,,,,
12436553,home,Aston Villa,Boubacar Kamara,boubacar-kamara,B. Kamara,M,44,184,3386,M,,826204,EUR,943315200,M,44,44,False,71.0,64.0,5.0,2.0,0.0,36.0,36.0,28.0,35.0,3.0,6.0,,,,,,90.0,87.0,6.6,13.0,0.0155475,0,,,,10.0,6.0,4.0,1.0,,,3.0,1.0,2.0,2.0,,,,2.0,1.0,,,1.0,,,1.0,1.0,,,,,,,,,
12436553,home,Aston Villa,Youri Tielemans,youri-tielemans,Y. Tielemans,M,8,177,9789,M,youritielemans,331737,EUR,862963200,M,8,8,False,53.0,40.0,5.0,4.0,0.0,17.0,21.0,23.0,35.0,2.0,5.0,,,,,,83.0,68.0,7.8,17.0,0.0251851,2,,3.0,,2.0,5.0,1.0,1.0,,1.0,1.0,1.0,3.0,1.0,,,,,,1.0,1.0,,1.0,0.0882,,1.0,1.0,1.0,0.2969,,,,,,
12436553,home,Aston Villa,John McGinn,john-mcginn,J. McGinn,M,7,175,3895,M,,250223,EUR,782438400,M,7,7,False,27.0,22.0,4.0,2.0,1.0,4.0,5.0,19.0,26.0,1.0,2.0,,,,,,61.0,39.0,7.7,8.0,0.0752735,0,,4.0,1.0,2.0,6.0,,1.0,1.0,,,,4.0,,2.0,,,1.0,1.0,1.0,,,,,1.0,,,,,True,,,,,
12436553,home,Aston Villa,Marco Asensio,marco-asensio,M. Asensio,F,21,182,31005,M,marcoasensio10,361004,EUR,822182400,M,21,21,False,16.0,13.0,1.0,,0.0,3.0,3.0,11.0,14.0,,2.0,,,,,,60.0,21.0,6.6,5.0,0.114226,0,,1.0,1.0,2.0,1.0,1.0,,,,,,1.0,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,
12436553,home,Aston Villa,Morgan Rogers,morgan-rogers,M. Rogers,M,27,187,13638,M,mrogers,948261,EUR,1027641600,M,27,27,False,28.0,22.0,2.0,1.0,0.0,5.0,7.0,17.0,22.0,,5.0,,,,,,90.0,46.0,7.8,13.0,0.712802,1,,1.0,,3.0,7.0,1.0,7.0,2.0,,1.0,,1.0,,3.0,,,,,5.0,,2.0,,0.0848,,,,,,,1.0,,,,
