match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_firstName,player_lastName,stat_totalCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_dribbleValueNormalized,stat_totalContest,stat_wonContest,stat_aerialLost,stat_dispossessed,stat_outfielderBlock,stat_wasFouled,captain,stat_aerialWon,stat_shotOffTarget,stat_expectedGoals,stat_shotValueNormalized,stat_accurateCross,stat_bigChanceCreated,stat_totalOffside,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,player_sofascoreId,stat_goodHighClaim,stat_goals
14083675,home,Getafe,David Soria,david-soria,D. Soria,G,13,192,676,M,604258,EUR,733881600,G,13,13,False,31.0,8.0,31.0,8.0,0.0,1.0,2.0,7.0,29.0,1.0,10.0,4.0,9.0,1.0,90.0,44.0,7.6,24.0,0.00256724,0.5588,0,1.3375,0.06,0.14,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14083675,home,Getafe,Kiko Femenía,kiko-femenia,K. Femenía,D,17,176,444,M,53739,EUR,665452800,D,17,17,False,17.0,15.0,,,0.0,7.0,7.0,8.0,10.0,6.0,7.0,,,,76.0,42.0,6.8,5.0,0.0388595,,0,,0.14,-0.09,,,,1.0,5.0,3.0,2.0,5.0,3.0,1.0,1.0,3.0,1.0,0.05,,,,,,,,,,,,,,,,,,,,,
14083675,home,Getafe,Juan Iglesias,juan-iglesias,J. Iglesias,D,21,185,520,M,949707,EUR,899424000,D,21,21,False,22.0,8.0,6.0,1.0,0.0,6.0,12.0,2.0,10.0,2.0,5.0,,,,90.0,38.0,6.5,18.0,0.00114875,,0,,-0.13,-0.06,,,,,3.0,5.0,,1.0,4.0,3.0,,1.0,,0.04,3.0,1.0,,,,,,,,,,,,,,,,,,,
14083675,home,Getafe,Domingos Duarte,domingos-duarte,D. Duarte,D,22,191,695,M,576276,EUR,794793600,D,22,22,False,18.0,13.0,3.0,1.0,0.0,9.0,10.0,4.0,8.0,7.0,5.0,,,,90.0,32.0,6.1,7.0,0.00300403,,0,,0.06,-0.04,,,,,8.0,2.0,1.0,1.0,1.0,,,2.0,,0.04,,,3.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
14083675,home,Getafe,Djené,djene,Djené,D,2,178,2527,M,307702,EUR,694137600,D,2,2,False,18.0,13.0,3.0,1.0,0.0,12.0,14.0,1.0,4.0,7.0,5.0,,,,90.0,34.0,6.6,5.0,0.00038209,,1,,-0.06,-0.09,,,,,2.0,5.0,,,3.0,1.0,,2.0,,0.04,,,,,1.0,,True,2.0,1.0,0.0122,-0.03,,,,,,,,,,
14083675,home,Getafe,Diego Rico,diego-rico,D. Rico,D,16,181,662,M,350560,EUR,730425600,D,16,16,False,15.0,6.0,4.0,,0.0,4.0,8.0,2.0,7.0,,2.0,,,,90.0,37.0,6.3,15.0,0.111995,,0,,0.21,-0.4,,,,3.0,8.0,8.0,3.0,2.0,4.0,1.0,2.0,3.0,1.0,0.02,1.0,,,1.0,,3.0,,1.0,,,,1.0,1.0,,,,,,,,
14083675,home,Getafe,Mario Martín,martin-mario,M. Martín,M,6,177,16546,M,1154549,EUR,1078444800,M,6,6,False,12.0,8.0,1.0,1.0,0.0,4.0,4.0,4.0,8.0,,1.0,,,,87.0,20.0,6.0,8.0,0.00664456,,0,,0.04,-0.21,,,,,12.0,2.0,3.0,,,,,3.0,1.0,0.01,3.0,,2.0,1.0,,,,2.0,,,,,,1.0,,,,,,,
14083675,home,Getafe,Luis Milla,luis-milla,L. Milla,M,5,175,1429,M,811629,EUR,781488000,M,5,5,False,25.0,16.0,3.0,,0.0,7.0,9.0,9.0,16.0,,5.0,,,,90.0,43.0,6.6,15.0,0.0068904,,1,,0.1,-0.01,,,,3.0,6.0,6.0,,4.0,3.0,2.0,,3.0,,0.02,1.0,,2.0,1.0,,2.0,,1.0,1.0,0.0121,-0.06,,,,,,,,,,
14083675,home,Getafe,Mauro Arambarri,mauro-arambarri,M. Arambarri,M,8,175,1414,M,385888,EUR,812419200,M,8,8,False,7.0,3.0,2.0,1.0,0.0,1.0,1.0,2.0,6.0,2.0,,,,,90.0,21.0,6.0,8.0,0.00140532,,1,,0.0,-0.03,,,,,9.0,2.0,1.0,1.0,,,2.0,3.0,,-0.15,1.0,,4.0,1.0,1.0,,,2.0,1.0,0.1066,-0.25,,,,,,,,,,
14083675,home,Getafe,Álex Sancris,alex-sancris,Á. Sancris,M,18,181,216,M,1398518,EUR,853545600,F,18,18,False,15.0,6.0,3.0,,0.0,4.0,6.0,2.0,9.0,,6.0,,,,84.0,23.0,5.7,11.0,0.067105,,1,,0.15,-0.04,,Álex Sancris,,1.0,12.0,3.0,1.0,,,,1.0,3.0,1.0,0.06,,,7.0,1.0,,3.0,,1.0,1.0,0.0232,-0.06,1.0,,1.0,,,,,,,
