match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_penaltyWon,stat_aerialWon,stat_dispossessed,stat_keyPass,stat_aerialLost,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_accurateCross,stat_bigChanceCreated,stat_goals,stat_bigChanceMissed,stat_totalOffside,stat_hitWoodwork,captain,stat_penaltyFaced,stat_punches,stat_outfielderBlock,stat_errorLeadToAShot,stat_penaltyConceded
12625035,home,Al-Nassr,Bento,,,bento,Bento,G,24,190.0,9735,M,bento_matheus,1016104,EUR,928972800,G,24,24,False,20.0,18.0,4.0,2.0,0.0,18.0,20.0,1.0,7.0,1.0,2.0,2.0,2.0,2.0,90.0,28.0,7.4,2.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12625035,home,Al-Nassr,Sultan Al-Ghannam,,,sultan-al-ghannam,S. Al-Ghannam,D,2,173.0,1607,M,,830126,EUR,768182400,D,2,2,False,40.0,35.0,2.0,1.0,0.0,17.0,17.0,1.0,3.0,,,,,,90.0,69.0,7.8,13.0,2,18.0,26.0,3.0,4.0,3.0,1.0,2.0,1.0,2.0,4.0,1.0,1.0,3.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,
12625035,home,Al-Nassr,Mohamed Simakan,,,mohamed-simakan,M. Simakan,D,3,187.0,5883,M,,945063,EUR,957312000,D,3,3,False,74.0,72.0,5.0,4.0,0.0,44.0,45.0,2.0,8.0,,,,,,90.0,92.0,7.8,7.0,1,28.0,30.0,1.0,2.0,4.0,,,,1.0,4.0,,,1.0,1.0,1.0,,3.0,1.0,1.0,,,,,,,,,,,,,,,
12625035,home,Al-Nassr,Aymeric Laporte,,,aymeric-laporte,A. Laporte,D,14,191.0,10350,M,laporte27,149734,EUR,769996800,D,27,27,False,75.0,73.0,5.0,3.0,0.0,44.0,45.0,3.0,4.0,,,,,,84.0,82.0,7.4,2.0,1,29.0,30.0,,1.0,2.0,,,,,1.0,1.0,1.0,,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,
12625035,home,Al-Nassr,Salem Alnajdi,,,alnajdi-salem,S. Alnajdi,D,83,178.0,1037,M,,1475427,EUR,1043625600,D,83,83,False,38.0,32.0,,,0.0,16.0,17.0,1.0,3.0,,,,,,67.0,56.0,7.1,9.0,0,16.0,21.0,,2.0,6.0,,1.0,,,2.0,2.0,2.0,,2.0,,,2.0,1.0,,,,,,,,,,,,,,,,
12625035,home,Al-Nassr,Abdullah Al-Khaibari,,,abdullah-alkhaibari,A. Al-Khaibari,M,17,178.0,1250,M,,867179,EUR,840153600,M,17,17,False,68.0,62.0,4.0,3.0,0.0,17.0,19.0,,7.0,,,,,,90.0,81.0,7.1,8.0,1,45.0,49.0,,4.0,5.0,2.0,1.0,1.0,,1.0,4.0,1.0,2.0,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,
12625035,home,Al-Nassr,Otávio,,,otavio,Otávio,M,25,171.0,6951,M,otavio,244801,EUR,792288000,M,25,25,False,55.0,50.0,7.0,4.0,0.0,15.0,15.0,1.0,8.0,,,,,,68.0,75.0,7.7,10.0,0,38.0,46.0,6.0,3.0,3.0,1.0,1.0,,,3.0,1.0,1.0,1.0,2.0,1.0,,,,4.0,,,,3.0,,,,,,,,,,,
12625035,home,Al-Nassr,Ângelo,Ângelo,,angelo,Ângelo,M,20,182.0,9961,M,angelogabriel,1086455,EUR,1103587200,M,20,20,False,37.0,29.0,4.0,2.0,0.0,7.0,8.0,,2.0,,,,,,84.0,68.0,8.5,19.0,2,25.0,35.0,6.0,6.0,9.0,1.0,7.0,4.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,,,1.0,4.0,,1.0,,3.0,1.0,1.0,,,,,,,,,
12625035,home,Al-Nassr,Sadio Mané,,,sadio-mane,S. Mané,M,10,175.0,169227,M,SadioMané,217704,EUR,702864000,M,10,10,False,27.0,18.0,1.0,1.0,1.0,4.0,7.0,,4.0,,,,,,90.0,40.0,7.6,14.0,4,14.0,21.0,1.0,5.0,3.0,2.0,1.0,1.0,1.0,,2.0,1.0,3.0,,,,,1.0,2.0,2.0,2.0,1.0,,1.0,,1.0,1.0,,,,,,,
12625035,home,Al-Nassr,Wesley,,,wesley,Wesley,F,22,180.0,10411,M,wesley_teixeira005,1211632,EUR,1109980800,M,80,80,False,27.0,24.0,4.0,3.0,0.0,4.0,4.0,,3.0,,,,,,67.0,44.0,6.7,10.0,4,20.0,23.0,,7.0,3.0,1.0,6.0,2.0,1.0,,,,2.0,,1.0,,1.0,1.0,1.0,,1.0,2.0,,,,1.0,,1.0,,,,,,
