match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_totalClearance,stat_interceptionWon,stat_lastManTackle,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_totalContest,stat_keyPass,player_firstName,player_lastName,stat_dispossessed,stat_fouls,captain,stat_totalCross,stat_accurateCross,stat_wonContest,stat_bigChanceCreated,stat_wasFouled,player_sofascoreId,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_hitWoodwork,stat_outfielderBlock,stat_totalOffside
12437785,home,Girona FC,Paulo Gazzaniga,paulo-gazzaniga,P. Gazzaniga,G,13,196,1913,M,164343,EUR,694310400,G,13,13,False,22.0,19.0,4.0,1.0,0.0,19.0,20.0,2.0,2.0,1.0,90.0,24.0,6.9,3.0,5.964e-05,0,0.0386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437785,home,Girona FC,David López,david-lopez,D. López,D,5,185,551,M,135116,EUR,623894400,D,5,5,False,85.0,83.0,2.0,1.0,0.0,44.0,44.0,41.0,8.0,,90.0,98.0,8.5,3.0,0.060695,3,,39.0,2.0,2.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,3.0,3.0,1.0,0.3112,0.9093,,,,,,,,,,,,,,,,,,
12437785,home,Girona FC,Ladislav Krejčí,ladislav-krejci,L. Krejčí,D,37,191,2172,M,856250,EUR,924566400,D,18,18,False,86.0,80.0,1.0,,0.0,46.0,50.0,36.0,8.0,,90.0,93.0,7.0,7.0,0.014227,0,,34.0,3.0,,4.0,1.0,,,,,,2.0,,,1.0,1.0,,,,1.0,2.0,,,,,,,,,,,,,,,,
12437785,home,Girona FC,Daley Blind,daley-blind,D. Blind,D,17,180,2785,M,44864,EUR,636940800,D,17,17,False,126.0,115.0,3.0,1.0,0.0,38.0,42.0,84.0,,,90.0,141.0,7.7,13.0,0.121537,1,,77.0,2.0,2.0,6.0,4.0,,,1.0,,,2.0,1.0,,2.0,1.0,,0.0824,0.0668,,,,,2.0,2.0,,,,,,,,,,,,
12437785,home,Girona FC,Arnau Martínez,arnau-martinez,A. Martínez,D,4,181,1573,M,1084081,EUR,1051228800,M,4,4,False,64.0,61.0,2.0,,1.0,20.0,20.0,45.0,5.0,,90.0,86.0,8.2,6.0,0.340173,2,,42.0,3.0,,6.0,5.0,,2.0,,,,1.0,2.0,,1.0,,1.0,0.0605,,5.0,5.0,Arnau Martinez,,,1.0,True,1.0,1.0,3.0,1.0,1.0,,,,,,
12437785,home,Girona FC,Donny van de Beek,donny-van-de-beek,D. v. d. Beek,M,6,183,7962,M,361790,EUR,861321600,M,6,6,False,28.0,24.0,1.0,,0.0,5.0,5.0,23.0,3.0,,83.0,39.0,7.1,4.0,0.203985,3,,19.0,,,2.0,1.0,1.0,1.0,,2.0,,,,,,,,0.5779,,1.0,1.0,,,,1.0,,,,1.0,,,donnyvdbeek,,,,,
12437785,home,Girona FC,Iván Martín,ivan-martin,I. Martín,M,23,178,895,M,973699,EUR,918950400,M,23,23,False,122.0,114.0,3.0,3.0,0.0,21.0,23.0,100.0,5.0,,87.0,130.0,7.3,12.0,0.14314,1,,93.0,1.0,,10.0,3.0,3.0,,,1.0,,,,,1.0,,3.0,0.0284,,1.0,3.0,,,,6.0,,1.0,,1.0,,1.0,,,,,,
12437785,home,Girona FC,Miguel Gutiérrez,miguel-gutierrez,M. Gutiérrez,D,3,180,4281,M,908716,EUR,996192000,M,3,3,False,73.0,69.0,1.0,,2.0,21.0,21.0,64.0,8.0,,90.0,104.0,8.9,14.0,0.477109,3,,52.0,2.0,1.0,3.0,4.0,,1.0,1.0,1.0,,3.0,2.0,,1.0,1.0,1.0,0.2249,0.0439,1.0,4.0,,,,1.0,,12.0,4.0,1.0,,1.0,MGutiérrez,,,,,
12437785,home,Girona FC,Yáser Asprilla,yaser-asprilla,Y. Asprilla,M,22,176,9605,M,1092769,EUR,1069200000,F,10,10,False,39.0,34.0,1.0,,0.0,4.0,4.0,40.0,3.0,,71.0,60.0,7.6,15.0,0.51233,4,,30.0,,,4.0,5.0,1.0,,1.0,3.0,,,,,2.0,2.0,2.0,0.1243,0.0764,3.0,3.0,Yaser Asprilla,,2.0,,,5.0,,2.0,,1.0,yaser_asprilla_10,,,,,
12437785,home,Girona FC,Abel Ruíz,abel-ruiz,A. Ruíz,F,9,182,1448,M,826013,EUR,949017600,F,9,9,False,16.0,13.0,,,0.0,4.0,4.0,12.0,,,72.0,26.0,7.2,7.0,0.144676,3,,9.0,,1.0,3.0,1.0,,1.0,1.0,1.0,1.0,,,,,,1.0,0.3501,0.3118,,1.0,,,3.0,,,,,,,,,,,,,
