match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_blockedScoringAttempt,stat_totalTackle,stat_wonTackle,stat_fouls,stat_expectedGoals,stat_keyPass,stat_shotValueNormalized,player_firstName,player_lastName,player_sofascoreId,stat_wonContest,stat_interceptionWon,stat_errorLeadToAShot,stat_unsuccessfulTouch,captain,stat_shotOffTarget,stat_dispossessed,stat_wasFouled,stat_bigChanceMissed,stat_outfielderBlock,stat_accurateCross,stat_bigChanceCreated,stat_totalOffside,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_challengeLost,stat_goals,stat_hitWoodwork
13981496,home,Sassuolo,Arijanet Murić,arijanet-muric,A. Murić,G,49,198.0,1886,M,888971,EUR,910396800,G,49,49,False,35.0,20.0,24.0,9.0,0.0,15.0,17.0,5.0,18.0,3.0,8.0,2.0,5.0,7.0,2.0,90.0,48.0,7.0,15.0,0.00174271,0.4776,0,0.4789,0.0,0.02,-0.09,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981496,home,Sassuolo,Sebastian Walukiewicz,sebastian-walukiewicz,S. Walukiewicz,D,6,188.0,2252,M,886243,EUR,954892800,D,6,6,False,35.0,28.0,2.0,1.0,0.0,14.0,18.0,14.0,17.0,2.0,4.0,,,,,90.0,49.0,7.1,10.0,0.207997,,1,,0.31,0.25,-0.13,,1.0,1.0,1.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,0.0168,2.0,-0.04,,,,,,,,,,,,,,,,,,,,,
13981496,home,Sassuolo,Jay Idzes,jay-idzes,J. Idzes,D,21,190.0,19111,M,933641,EUR,959904000,D,21,21,False,21.0,16.0,3.0,,0.0,14.0,15.0,2.0,6.0,3.0,1.0,,,,,90.0,33.0,6.0,6.0,0.00116061,,0,,0.03,0.07,-0.28,,,4.0,1.0,6.0,4.0,1.0,,2.0,,2.0,,,,,,jayidzes,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,
13981496,home,Sassuolo,Filippo Romagna,filippo-romagna,F. Romagna,D,19,185.0,187,M,356032,EUR,864604800,D,19,19,False,16.0,13.0,1.0,1.0,0.0,11.0,13.0,2.0,3.0,2.0,4.0,,,,,39.0,19.0,6.3,3.0,0.00021774,,1,,-0.04,-0.02,-0.15,,,,,,,,,,,,0.0264,,-0.03,,,,,,,,True,1.0,,,,,,,,,,,,
13981496,home,Sassuolo,Josh Doig,josh-doig,J. Doig,D,3,189.0,836,M,989276,EUR,1021680000,D,3,3,False,38.0,29.0,1.0,1.0,0.0,13.0,16.0,16.0,22.0,4.0,1.0,,,,,90.0,73.0,6.7,19.0,0.0297215,,0,,0.17,0.06,-0.06,,1.0,3.0,5.0,9.0,10.0,3.0,,3.0,3.0,2.0,,1.0,,,,,,1.0,,,,,1.0,2.0,,,,,,,,,,
13981496,home,Sassuolo,Kristian Thorstvedt,kristian-thorstvedt,K. Thorstvedt,M,42,187.0,1387,M,924973,EUR,921283200,M,42,42,False,17.0,11.0,,,0.0,5.0,6.0,6.0,11.0,,3.0,,,,,60.0,27.0,6.1,8.0,0.0119389,,3,,0.06,0.19,-0.06,,,,,2.0,1.0,,1.0,1.0,,2.0,0.6833,1.0,-0.63,,,,,2.0,,1.0,,2.0,,,2.0,,,,,,,,,
13981496,home,Sassuolo,Nemanja Matić,nemanja-matic,N. Matić,M,18,194.0,3565,M,44241,EUR,586396800,M,18,18,False,49.0,42.0,7.0,5.0,0.0,25.0,25.0,17.0,24.0,2.0,8.0,,,,,90.0,68.0,7.2,13.0,0.186392,,1,,0.25,0.23,0.17,,1.0,3.0,4.0,6.0,8.0,,,2.0,1.0,,0.0236,2.0,-0.05,,,Mati,,2.0,,2.0,,1.0,3.0,2.0,,1.0,,,,,,,,
13981496,home,Sassuolo,Ismael Koné,ismael-kone,I. Koné,M,90,188.0,2687,M,1134351,EUR,1023321600,M,90,90,False,23.0,20.0,1.0,1.0,0.0,9.0,10.0,11.0,13.0,1.0,2.0,,,,,81.0,29.0,6.7,3.0,0.0107971,,1,,-0.03,0.27,-0.09,,,,,1.0,3.0,,,1.0,,2.0,0.0342,,-0.15,Ismael Koné,,,,,,,,1.0,,2.0,,,,,,,,,,
13981496,home,Sassuolo,Domenico Berardi,domenico-berardi,D. Berardi,M,10,185.0,5071,M,253367,EUR,775699200,F,10,10,False,22.0,18.0,5.0,3.0,0.0,6.0,7.0,12.0,15.0,2.0,3.0,,,,,60.0,33.0,7.0,4.0,0.242528,,0,,0.37,-0.04,0.2,,3.0,,,1.0,2.0,1.0,,,,1.0,,3.0,,,,berardi25,1.0,1.0,,,,,,1.0,,,3.0,1.0,1.0,,,,,
13981496,home,Sassuolo,Andrea Pinamonti,andrea-pinamonti,A. Pinamonti,F,99,185.0,2688,M,826198,EUR,927072000,F,99,99,False,21.0,14.0,,,0.0,8.0,9.0,6.0,12.0,,,,,,,90.0,36.0,6.3,13.0,0.199014,,2,,0.16,0.08,-0.01,,2.0,6.0,5.0,9.0,9.0,1.0,,1.0,,,0.1721,1.0,-0.58,,,,,,,2.0,,2.0,2.0,3.0,,,1.0,1.0,,,,,,
