match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,player_firstName,player_lastName,stat_aerialWon,stat_outfielderBlock,stat_goalAssist,stat_dispossessed,stat_unsuccessfulTouch,stat_keyPass,stat_wonContest,stat_onTargetScoringAttempt,stat_goals,stat_wasFouled,captain,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_totalOffside,stat_bigChanceMissed,stat_hitWoodwork,stat_penaltyWon,stat_goodHighClaim,stat_penaltyFaced,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_errorLeadToAShot,stat_penaltyConceded
11352602,home,Aston Villa,Emiliano Martínez,emiliano-martinez,E. Martínez,G,23,195,61053,M,EmiMartínez,158263,EUR,715392000,G,1,1,False,29.0,26.0,5.0,2.0,24.0,25.0,2.0,4.0,11.0,1.0,2.0,90.0,39.0,6.8,3.0,0.0,0.0,0.00029027,0,-0.3321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352602,home,Aston Villa,Matty Cash,matty-cash,M. Cash,D,2,185,9380,M,mattycash622,833956,EUR,870912000,D,2,2,False,49.0,43.0,3.0,1.0,11.0,16.0,33.0,37.0,4.0,,,90.0,75.0,7.0,10.0,0.6829,0.0,0.0398309,2,,4.0,1.0,2.0,7.0,6.0,3.0,1.0,2.0,1.0,1.0,6.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
11352602,home,Aston Villa,Ezri Konsa,ezri-konsa,E. Konsa,D,4,183,3197,M,,827679,EUR,877564800,D,4,4,False,85.0,80.0,5.0,5.0,45.0,46.0,35.0,39.0,5.0,,,90.0,95.0,7.3,5.0,0.0,0.0,0.0182344,0,,,,,1.0,6.0,1.0,,,2.0,1.0,3.0,1.0,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,
11352602,home,Aston Villa,Pau Torres,pau-torres,P. Torres,D,14,192,4099,M,pauttorres,864169,EUR,853372800,D,14,14,False,124.0,117.0,11.0,9.0,48.0,50.0,69.0,74.0,9.0,,,90.0,132.0,7.5,8.0,0.0,0.0,0.0444643,0,,,,,1.0,3.0,1.0,,,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
11352602,home,Aston Villa,Lucas Digne,lucas-digne,L. Digne,D,12,178,4442,M,LDigne,96538,EUR,743126400,D,12,12,False,74.0,57.0,6.0,2.0,17.0,26.0,44.0,61.0,7.0,,,90.0,115.0,7.5,33.0,0.0335,0.0,0.212338,1,,13.0,4.0,,6.0,7.0,,,1.0,2.0,1.0,3.0,1.0,3.0,,,4.0,,1.0,3.0,3.0,2.0,,,,,,,,,,,,,,,,,
11352602,home,Aston Villa,Boubacar Kamara,boubacar-kamara,B. Kamara,M,44,184,3386,M,,826204,EUR,943315200,M,44,44,False,37.0,33.0,7.0,5.0,11.0,12.0,22.0,25.0,4.0,,,58.0,49.0,6.8,5.0,0.0,0.0,0.0273101,0,,,,,3.0,4.0,1.0,1.0,,,,3.0,1.0,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,
11352602,home,Aston Villa,Douglas Luiz,douglas-luiz,D. Luiz,M,21,175,11801,M,Douglas_Luiz,867887,EUR,894672000,M,6,6,False,64.0,55.0,4.0,4.0,18.0,20.0,38.0,47.0,16.0,,,90.0,90.0,8.2,14.0,0.7884,0.9548,0.0991826,1,,3.0,1.0,,6.0,10.0,3.0,2.0,,1.0,1.0,6.0,4.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,
11352602,home,Aston Villa,John McGinn,john-mcginn,J. McGinn,M,7,175,3895,M,,250223,EUR,782438400,M,7,7,False,30.0,26.0,1.0,1.0,7.0,7.0,20.0,24.0,5.0,,,71.0,44.0,6.5,10.0,0.0,0.0,0.0602732,0,,1.0,1.0,,5.0,4.0,,2.0,,,,1.0,,2.0,,,,,,2.0,2.0,1.0,1.0,,,2.0,True,,,,,,,,,,,,
11352602,home,Aston Villa,Moussa Diaby,diaby-moussa,M. Diaby,M,19,170,7575,M,moussadiaby,855817,EUR,931305600,M,19,19,False,30.0,22.0,3.0,1.0,4.0,5.0,19.0,28.0,2.0,,,90.0,40.0,7.0,13.0,0.111,0.0,0.344303,2,,3.0,1.0,,2.0,,1.0,,,,,,,,,,,,1.0,1.0,2.0,2.0,,,,,,1.0,2.0,1.0,,,,,,,,,
11352602,home,Aston Villa,Nicolò Zaniolo,nicolo-zaniolo,N. Zaniolo,F,10,189,9127,M,nicolozaniolo,864898,EUR,930873600,M,22,22,False,18.0,14.0,,,1.0,3.0,13.0,16.0,2.0,,,57.0,37.0,6.5,15.0,0.0341,0.0,0.267523,1,,1.0,,,8.0,4.0,1.0,4.0,,,,,,,,,1.0,,,4.0,3.0,3.0,1.0,,,2.0,,,1.0,,,,,,,,,,
11352602,home,Aston Villa,Ollie Watkins,ollie-watkins,O. Watkins,F,11,179,19908,M,OllieWatkins,555386,EUR,820281600,F,11,11,False,13.0,11.0,1.0,,1.0,2.0,10.0,11.0,2.0,,,89.0,25.0,7.3,4.0,0.6098,0.4908,0.0359753,4,,,,2.0,4.0,2.0,,1.0,2.0,,,,,1.0,,,1.0,,,,1.0,1.0,,1.0,,1.0,,,1.0,,1.0,1.0,1.0,,,,,,
11352602,home,Aston Villa,Leon Bailey,leon-bailey,L. Bailey,M,31,178,7677,M,leonbailey,808590,EUR,871084800,M,31,31,True,19.0,14.0,1.0,1.0,3.0,4.0,12.0,17.0,7.0,,,33.0,30.0,7.3,10.0,0.774,0.8835,0.0446105,2,,2.0,1.0,1.0,6.0,3.0,1.0,4.0,,,1.0,,,1.0,,,1.0,,,1.0,1.0,,2.0,1.0,1.0,,,,1.0,,,,,,,,,,
11352602,home,Aston Villa,Youri Tielemans,youri-tielemans,Y. Tielemans,M,8,177,9789,M,youritielemans,331737,EUR,862963200,M,8,8,True,21.0,16.0,3.0,2.0,5.0,6.0,11.0,17.0,,,,32.0,31.0,6.7,8.0,0.0755,0.0,0.0330221,1,,2.0,,,2.0,1.0,1.0,,,1.0,1.0,,,,,,,,,1.0,,,,,,1.0,,,1.0,,,,,,,,,,
11352602,home,Aston Villa,Jhon Durán,jhon-duran,J. Durán,F,10,185,32368,M,jaderduran9,974577,EUR,1071273600,F,24,24,True,6.0,4.0,1.0,1.0,1.0,1.0,3.0,5.0,1.0,,,19.0,10.0,7.6,3.0,0.0967,0.1214,0.00061776,2,,,,,3.0,2.0,,,,,,1.0,1.0,3.0,,,1.0,,,,1.0,,,2.0,1.0,,,,,,,,,,,,,,
11352602,home,Aston Villa,Leander Dendoncker,leander-dendoncker,L. Dendoncker,M,20,188,1679,M,,190405,EUR,797904000,M,32,32,True,5.0,4.0,,,4.0,4.0,,1.0,1.0,,,1.0,6.0,,1.0,0.0,0.0,1.268e-05,0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352602,home,Aston Villa,Filip Marschall,filip-marschall,F. Marschall,G,1,196,129,M,,994557,EUR,1051142400,G,42,42,True,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
