match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_lastManTackle,stat_totalTackle,stat_wonTackle,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_shotOffTarget,stat_hitWoodwork,stat_interceptionWon,stat_fouls,stat_expectedGoals,stat_keyPass,stat_outfielderBlock,stat_wasFouled,captain,stat_unsuccessfulTouch,stat_dispossessed,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_bigChanceMissed,player_sofascoreId,stat_totalOffside
12441677,home,FC Utrecht,Miliano Jonathans,,,jonathans-miliano,M. Jonathans,M,26,178,5668,M,1211982,EUR,1081123200,M,26,26,True,2.0,2.0,,,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,2.0,2.0,,,0.00082362,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12441677,home,FC Utrecht,Adrian Blake,Adrian Blake,,blake-adrian,A. Blake,F,10,170,323,M,1214695,EUR,1121385600,F,15,15,True,2.0,2.0,,,0.0,1.0,1.0,1.0,1.0,,,,1.0,,,,,,,,,,2.0,2.0,,,0.00925062,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12441677,home,FC Utrecht,Victor Jensen,,,victor-jensen,V. Jensen,M,7,175,409,M,856648,EUR,949968000,M,7,7,True,2.0,2.0,,,0.0,,,2.0,2.0,,,,,,,,,,,,,,1.0,3.0,,,0.0010151,1,,,,,,,,,,,0.0325,,,,,,,,1.0,,,,,,,,
12441677,home,FC Utrecht,Michael Brouwer,,,michael-brouwer,M. Brouwer,G,25,187,75,M,252027,EUR,727574400,G,25,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12441677,home,FC Utrecht,Tom de Graaff,Tom,de Graaff,tom-de-graaff,T. d. Graaff,G,16,193,177,M,1145525,EUR,1102636800,G,32,32,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12441677,home,FC Utrecht,Joshua Mukeh,Joshua Mukeh,,joshua-mukeh,J. Mukeh,D,2,187,54,M,1100603,EUR,1045526400,D,44,44,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12441677,home,FC Utrecht,Kolbeinn Finnsson,,,kolbeinn-finnsson,K. Finnsson,D,5,181,95,M,797522,EUR,935539200,D,5,5,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12441677,home,FC Utrecht,Jens Toornstra,,,jens-toornstra,J. Toornstra,M,18,178,203,M,99960,EUR,607651200,M,18,18,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12441677,home,FC Utrecht,David Min,,,david-min,D. Min,F,9,194,359,M,966429,EUR,930096000,F,9,9,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12441677,home,FC Utrecht,Anthony Descotte,,,descotte-anthony,A. Descotte,F,99,179,246,M,1008697,EUR,1059868800,F,19,19,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12441677,away,AFC Ajax,Matheus,,,matheus,Matheus,G,1,190,1504,M,603946,EUR,711504000,G,16,16,False,34.0,30.0,7.0,3.0,0.0,29.0,32.0,1.0,2.0,,,,7.0,,,,,1.0,1.0,,,,90.0,39.0,5.6,4.0,0.00325421,0,-2.7299,,,,,,,,,,,,,,,,,,,,,,,,,,
12441677,away,AFC Ajax,Anton Gaaei,,,anton-gaaei,A. Gaaei,D,3,183,906,M,1120315,EUR,1037664000,D,3,3,False,52.0,44.0,4.0,1.0,0.0,20.0,23.0,24.0,37.0,1.0,3.0,1.0,3.0,,1.0,,,,,,,,90.0,80.0,6.0,18.0,0.0493192,1,,8.0,,,2.0,,,,,,0.0342,,,1.0,,,1.0,,1.0,,,1.0,,,,,1.0
12441677,away,AFC Ajax,Josip Šutalo,,,josip-sutalo,J. Šutalo,D,37,190,4308,M,954836,EUR,951696000,D,37,37,False,103.0,96.0,2.0,1.0,0.0,60.0,62.0,36.0,41.0,3.0,5.0,3.0,7.0,,2.0,,,,,,,,90.0,116.0,6.9,8.0,0.0421955,0,,,,2.0,2.0,,,,4.0,,,,1.0,,,,,,,,,,,,,josip.sutalo,
12441677,away,AFC Ajax,Ahmetcan Kaplan,,,ahmetcan-kaplan,A. Kaplan,D,4,189,1602,M,1064177,EUR,1042675200,D,13,13,False,101.0,97.0,2.0,2.0,0.0,62.0,62.0,35.0,39.0,2.0,5.0,6.0,4.0,,3.0,1.0,,,,,,,90.0,116.0,6.5,6.0,0.0279104,0,,,,2.0,5.0,1.0,,,,2.0,,,1.0,,,1.0,1.0,,,,,,,,,,
12441677,away,AFC Ajax,Jorrel Hato,,,jorrel-hato,J. Hato,D,21,182,15501,M,1153079,EUR,1141689600,D,4,4,False,42.0,39.0,2.0,1.0,0.0,23.0,24.0,16.0,18.0,,3.0,2.0,5.0,,2.0,,,,,,,,72.0,58.0,6.5,6.0,0.0211992,0,,,,1.0,4.0,1.0,,,2.0,,,1.0,1.0,1.0,,1.0,1.0,,,,,1.0,,,,,
12441677,away,AFC Ajax,Davy Klaassen,,,davy-klaassen,D. Klaassen,M,18,179,1575,M,97410,EUR,730252800,M,18,18,False,35.0,30.0,,,0.0,7.0,9.0,23.0,26.0,1.0,1.0,,1.0,,,,,,,,,,59.0,38.0,6.3,6.0,0.0830167,0,,,,1.0,7.0,2.0,,,,3.0,,,,,,,1.0,,,,,,,,,,
12441677,away,AFC Ajax,Jordan Henderson,,,jordan-henderson,J. Henderson,M,6,183,6342,M,42694,EUR,645580800,M,6,6,False,93.0,77.0,8.0,4.0,0.0,26.0,29.0,52.0,65.0,,1.0,1.0,2.0,,1.0,1.0,,,,,,,90.0,101.0,6.8,19.0,0.549698,0,,1.0,1.0,,2.0,1.0,,,,1.0,,,1.0,,True,2.0,,,,,,,,,,jordanhenderson,
12441677,away,AFC Ajax,Kenneth Taylor,,,kenneth-taylor,K. Taylor,M,24,182,3631,M,959806,EUR,1021507200,M,8,8,False,40.0,32.0,3.0,1.0,0.0,16.0,16.0,16.0,24.0,2.0,2.0,,5.0,,,,,,,,,,73.0,46.0,6.4,12.0,0.0444495,0,,,,,2.0,,,,,,,,,,,2.0,,,,,,2.0,,,,,
