match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_accurateCross,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_keyPass,stat_aerialLost,stat_outfielderBlock,stat_unsuccessfulTouch,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_hitWoodwork,captain,stat_blockedScoringAttempt,stat_goals,stat_bigChanceMissed,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_errorLeadToAGoal,stat_totalOffside
12625036,home,Al-Ahli,Edouard Mendy,,,edouard-mendy,E. Mendy,G,16,195.0,19839,M,edou_mendy,845074,EUR,699408000,G,16,16,False,21.0,18.0,7.0,4.0,0.0,17.0,17.0,1.0,4.0,1.0,1.0,2.0,6.0,1.0,2.0,90.0,27.0,6.4,3.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12625036,home,Al-Ahli,Ali Majrashi,,,ali-majrashi,A. Majrashi,D,27,177.0,404,M,,917035,EUR,938736000,D,27,27,False,17.0,13.0,3.0,3.0,0.0,6.0,8.0,8.0,11.0,1.0,7.0,2.0,3.0,,,73.0,42.0,6.8,7.0,0,2.0,1.0,6.0,2.0,1.0,2.0,1.0,1.0,1.0,4.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,
12625036,home,Al-Ahli,Merih Demiral,,,merih-demiral,M. Demiral,D,28,190.0,4099,M,merihdemiral,806968,EUR,889056000,D,28,28,False,41.0,35.0,10.0,5.0,0.0,29.0,31.0,6.0,10.0,1.0,3.0,6.0,,,,90.0,57.0,7.4,7.0,0,,,3.0,,,,,,1.0,2.0,2.0,,2.0,,2.0,5.0,1.0,,,,,,,,,,,
12625036,home,Al-Ahli,Roger Ibañez,,,roger-ibanez,R. Ibañez,D,3,185.0,2314,M,,888949,EUR,911779200,D,3,3,False,50.0,45.0,3.0,1.0,1.0,28.0,30.0,17.0,21.0,2.0,5.0,1.0,2.0,,,90.0,63.0,7.3,8.0,2,1.0,,1.0,,,,,1.0,1.0,3.0,2.0,,1.0,1.0,,,2.0,1.0,1.0,,,,,,,,,
12625036,home,Al-Ahli,Abdullah Al-Amar,,,abdullah-al-amar,A. Al-Amar,D,,177.0,110,M,,817911,EUR,762480000,D,15,15,False,43.0,34.0,6.0,2.0,0.0,18.0,20.0,16.0,24.0,1.0,7.0,4.0,1.0,,,90.0,67.0,7.4,12.0,0,1.0,,4.0,2.0,,3.0,2.0,,1.0,2.0,2.0,2.0,1.0,3.0,,,,,,1.0,,,,,,,,
12625036,home,Al-Ahli,Franck Kessié,,,franck-kessie,F. Kessié,M,79,183.0,43381,M,franckkessie,359226,EUR,850953600,M,79,79,False,30.0,24.0,6.0,5.0,0.0,15.0,15.0,9.0,15.0,,3.0,,3.0,,,73.0,38.0,6.3,9.0,0,,,5.0,,1.0,3.0,1.0,,,2.0,1.0,,2.0,,,,,,,,True,,,,,,,
12625036,home,Al-Ahli,Ziyad Aljohani,Ziyad Aljohani,,ziyad-aljohani,Z. Aljohani,M,30,180.0,354,M,,1048372,EUR,1005436800,M,30,30,False,35.0,30.0,4.0,1.0,0.0,20.0,20.0,10.0,16.0,,5.0,2.0,6.0,,,73.0,53.0,6.4,12.0,0,1.0,,7.0,2.0,,3.0,,,1.0,4.0,3.0,1.0,2.0,,,,3.0,,,1.0,,,,,,,,
12625036,home,Al-Ahli,Riyad Mahrez,,,riyad-mahrez,R. Mahrez,M,7,179.0,70718,M,RMahrez,158213,EUR,667094400,M,7,7,False,23.0,16.0,2.0,1.0,0.0,6.0,7.0,11.0,19.0,,,,2.0,,,45.0,28.0,7.0,9.0,0,3.0,1.0,2.0,2.0,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,
12625036,home,Al-Ahli,Gabri Veiga,,,gabri-veiga,G. Veiga,M,10,184.0,5191,M,,1010505,EUR,1022457600,M,24,24,False,34.0,26.0,4.0,4.0,1.0,7.0,11.0,19.0,23.0,,3.0,,3.0,,,90.0,51.0,7.6,14.0,6,,,10.0,5.0,2.0,3.0,1.0,2.0,,1.0,,1.0,1.0,2.0,,,2.0,2.0,2.0,,,2.0,1.0,,,,,
12625036,home,Al-Ahli,Firas Al-Buraikan,,,firas-al-buraikan,F. Al-Buraikan,F,9,181.0,1082,M,,893307,EUR,958262400,M,9,9,False,21.0,15.0,1.0,,0.0,10.0,12.0,5.0,9.0,2.0,5.0,1.0,4.0,,,89.0,39.0,6.4,11.0,3,,,5.0,,2.0,1.0,,,2.0,2.0,1.0,1.0,2.0,,,2.0,2.0,2.0,1.0,,,,,2.0,,,,
