match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_topSpeed,stat_kilometersCovered,stat_numberOfSprints,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_metersCoveredWalkingKm,stat_metersCoveredJoggingKm,stat_metersCoveredRunningKm,stat_metersCoveredHighSpeedRunningKm,stat_metersCoveredSprintingKm,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_fouls,stat_aerialLost,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_totalCross,stat_accurateCross,stat_bigChanceCreated,stat_bigChanceMissed,stat_shotOffTarget,stat_unsuccessfulTouch,stat_expectedGoals,stat_keyPass,stat_shotValueNormalized,player_firstName,player_lastName,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_dispossessed,stat_blockedScoringAttempt,stat_challengeLost,captain,stat_errorLeadToAGoal,stat_savedShotsFromInsideTheBox,stat_totalKeeperSweeper,stat_clearanceOffLine,stat_errorLeadToAShot
14566613,home,Inter,Yann Sommer,yann-sommer,Y. Sommer,G,1,183,12727,M,yannsommer,16206,EUR,598320000,G,1,1,False,49.0,41.0,18.0,11.0,0.0,39.0,42.0,2.0,7.0,1.0,3.0,1.0,1.0,1.0,90.0,54.0,7.0,8.0,0.00048787,18.9,5.04877,0.0,-0.0005,0,0.0546,0.04,0.05,-0.03,0.0,3.62,1.32,0.08,0.02,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14566613,home,Inter,Yann Bisseck,yann-bisseck,Y. Bisseck,D,31,194,5511,M,,906275,EUR,975456000,D,31,31,False,49.0,44.0,3.0,2.0,0.0,22.0,23.0,22.0,26.0,,1.0,,,,67.0,52.0,6.9,6.0,0.0210862,28.404,7.88396,4.0,,0,,0.12,0.12,-0.01,,2.13,4.14,1.17,0.36,0.09,1.0,2.0,2.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14566613,home,Inter,Francesco Acerbi,francesco-acerbi,F. Acerbi,D,15,192,5620,M,,126816,EUR,571449600,D,15,15,False,91.0,88.0,5.0,4.0,0.0,47.0,49.0,41.0,42.0,3.0,7.0,,,,90.0,104.0,8.0,4.0,0.0334086,28.152,10.56936,8.0,,0,,0.24,0.39,0.33,,2.95,5.39,1.52,0.55,0.15,2.0,2.0,6.0,2.0,1.0,2.0,,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
14566613,home,Inter,Alessandro Bastoni,alessandro-bastoni,A. Bastoni,D,95,190,15410,M,alessandrobastoni,826188,EUR,923961600,D,95,95,False,66.0,61.0,4.0,3.0,1.0,28.0,28.0,33.0,38.0,4.0,7.0,,,,90.0,84.0,8.8,6.0,0.961555,30.996,10.34937,7.0,,1,,1.0,0.27,0.21,,3.03,5.23,1.36,0.55,0.18,2.0,2.0,6.0,,,1.0,2.0,,,,,4.0,1.0,1.0,2.0,1.0,1.0,1.0,0.1001,2.0,-0.36,,,,,,,,,,,,,,
14566613,home,Inter,Denzel Dumfries,denzel-dumfries,D. Dumfries,M,2,189,15077,M,ddumfries2,759520,EUR,829785600,M,2,2,False,19.0,16.0,1.0,1.0,0.0,7.0,7.0,9.0,12.0,,2.0,,,,76.0,30.0,6.9,6.0,0.0122307,29.484,8.36662,9.0,,2,,-0.08,-0.13,-0.06,,2.56,3.83,1.22,0.56,0.2,2.0,2.0,3.0,,,1.0,1.0,1.0,,,,1.0,,,,1.0,1.0,2.0,0.7724,,0.11,,,1.0,1.0,0.8254,,,,,,,,,
14566613,home,Inter,Petar Sučić,petar-sucic,P. Sučić,M,8,184,8046,M,,1091303,EUR,1067040000,M,8,8,False,41.0,36.0,2.0,1.0,0.0,15.0,16.0,21.0,25.0,,4.0,,,,90.0,49.0,7.3,8.0,0.515454,30.096,12.53895,14.0,,1,,0.48,0.43,-0.01,,2.55,6.49,2.35,0.83,0.33,,3.0,2.0,4.0,2.0,,,,,,,,1.0,1.0,1.0,1.0,,,0.2801,2.0,-0.28,,,1.0,,,1.0,,,,,,,,
14566613,home,Inter,Hakan Çalhanoğlu,hakan-calhanoglu,H. Çalhanoğlu,M,20,178,32973,M,HÇalhanoğlu,135700,EUR,760665600,M,20,20,False,86.0,76.0,14.0,9.0,0.0,28.0,30.0,48.0,56.0,1.0,7.0,,,,90.0,99.0,7.9,14.0,0.335752,29.196,12.50259,8.0,,2,,0.56,0.27,0.14,,2.53,6.59,2.48,0.72,0.18,1.0,2.0,5.0,1.0,,,1.0,,,3.0,1.0,1.0,2.0,2.0,,,1.0,3.0,0.0974,,0.0,,,,,,,1.0,,,,,,,
14566613,home,Inter,Piotr Zieliński,piotr-zielinski,P. Zieliński,M,7,180,18823,M,zielu_94,138605,EUR,769392000,M,7,7,False,21.0,20.0,2.0,2.0,0.0,4.0,4.0,16.0,17.0,,1.0,,,,67.0,32.0,6.8,5.0,0.0584309,27.792,9.07665,5.0,,0,,0.13,-0.19,0.15,,1.83,4.87,1.78,0.48,0.12,,3.0,2.0,2.0,,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,,1.0,,2.0,,,,,,,1.0,,,,,,,,
14566613,home,Inter,Federico Dimarco,federico-dimarco,F. Dimarco,M,32,174,15782,M,dimarco32,284361,EUR,879120000,M,32,32,False,43.0,38.0,5.0,4.0,0.0,9.0,9.0,29.0,34.0,1.0,6.0,,,,90.0,60.0,7.5,9.0,0.27835,30.996,10.75814,18.0,,4,,0.43,0.06,0.0,,3.1,4.74,1.66,0.85,0.41,1.0,,1.0,,,1.0,,,,,,,6.0,3.0,2.0,,1.0,1.0,0.1845,2.0,-0.29,,,,,,,3.0,,,,,,,
14566613,home,Inter,Marcus Thuram,marcus-thuram,M. Thuram,F,9,192,25604,M,m_thuram,791702,EUR,870825600,F,9,9,False,19.0,12.0,,,1.0,,,12.0,19.0,,3.0,,,,66.0,32.0,7.8,11.0,0.642748,31.32,7.40544,10.0,,5,,0.59,0.44,-0.05,,2.21,3.48,0.98,0.51,0.22,3.0,6.0,6.0,2.0,1.0,,2.0,,,1.0,1.0,1.0,,,2.0,,1.0,1.0,0.1871,3.0,-0.2,,,1.0,,0.1137,2.0,3.0,1.0,,,,,,
14566613,home,Inter,Lautaro Martínez,lautaro-martinez,L. Martínez,F,10,175,121978,M,LautaroM,823984,EUR,872208000,F,10,10,False,18.0,10.0,,,0.0,3.0,3.0,7.0,15.0,,4.0,,,,67.0,34.0,8.5,11.0,0.0174535,28.692,7.66695,6.0,,4,,-0.08,0.45,0.13,,2.11,3.83,1.16,0.44,0.13,3.0,5.0,6.0,,,3.0,3.0,,,1.0,,2.0,,,1.0,2.0,1.0,,2.1177,3.0,0.64,,,3.0,2.0,2.159,2.0,,,True,,,,,
14566613,home,Inter,Ange-Yoan Bonny,ange-yoan-bonny,A. Bonny,F,14,189,10720,M,,1086223,EUR,1067040000,F,14,14,True,10.0,9.0,,,0.0,2.0,2.0,7.0,8.0,1.0,,,,,24.0,18.0,6.8,5.0,0.0155974,29.484,3.2959,6.0,,0,,0.08,-0.06,0.19,,0.86,1.47,0.53,0.31,0.13,2.0,3.0,4.0,3.0,1.0,,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,1.0,,,,,,,,
14566613,home,Inter,Manuel Akanji,manuel-akanji,M. Akanji,D,25,187,22626,M,manuel_akanji,383560,EUR,806112000,D,25,25,True,19.0,18.0,,,0.0,8.0,9.0,10.0,10.0,,2.0,,,,23.0,24.0,7.0,1.0,0.0142351,26.712,3.1598,1.0,,0,,0.14,0.11,0.14,,0.83,1.59,0.56,0.16,0.02,,1.0,2.0,,,1.0,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
14566613,home,Inter,Nicolò Barella,nicolo-barella,N. Barella,M,23,175,21334,M,nicolo_barella,363856,EUR,855273600,M,23,23,True,13.0,11.0,,,0.0,5.0,5.0,6.0,8.0,,,,,,23.0,17.0,6.4,5.0,0.0522139,28.872,3.50988,3.0,,0,,0.07,-0.05,-0.01,,0.78,1.74,0.68,0.23,0.07,,3.0,,,,,1.0,1.0,,,,,1.0,1.0,,,,1.0,,1.0,,,,,,,1.0,,,,,,,,
