match_id,side,team,player_name,player_firstName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_lastName,captain,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_keyPass,stat_shotValueNormalized,stat_aerialLost,stat_bigChanceMissed,stat_shotOffTarget,stat_totalClearance,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_interceptionWon,stat_accurateCross,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_challengeLost,stat_goals,stat_totalOffside,stat_punches,player_sofascoreId
14035895,home,Standard Liège,Matthieu Epolo,Matthieu Epolo,matthieu-epolo,M. Epolo,G,1,185,3162,M,1121943,EUR,1105747200,G,1,1,False,32.0,18.0,21.0,7.0,0.0,13.0,15.0,5.0,17.0,11.0,2.0,3.0,1.0,1.0,90.0,39.0,6.4,14.0,0.0029695,0.2798,0,-0.0609,0.06,0.0,-0.05,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14035895,home,Standard Liège,Marlon Fossey,,marlon-fossey,M. Fossey,M,13,180,286,M,880762,EUR,905299200,D,13,13,False,20.0,16.0,1.0,,0.0,4.0,4.0,12.0,16.0,2.0,,,,,62.0,29.0,5.9,10.0,0.283288,,1,,0.37,0.06,-0.25,,,True,2.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0565,1.0,-0.18,,,,,,,,,,,,,,,,,,
14035895,home,Standard Liège,Daan Dierckx,,dierckx-daan,D. Dierckx,D,29,192,200,M,1099368,EUR,1045958400,D,29,29,False,30.0,26.0,5.0,3.0,0.0,11.0,12.0,15.0,18.0,1.0,,,,,73.0,41.0,6.9,7.0,0.0422893,,1,,0.27,0.16,0.17,,,,1.0,3.0,3.0,4.0,,,,2.0,,1.0,0.1444,,-0.35,2.0,1.0,1.0,3.0,2.0,1.0,1.0,,,,,,,,,,,
14035895,home,Standard Liège,Ibrahim Karamoko,,karamoko-ibrahim,I. Karamoko,M,20,187,135,M,966263,EUR,995846400,D,20,20,False,33.0,31.0,2.0,1.0,0.0,20.0,21.0,11.0,12.0,,,,,,90.0,55.0,6.6,3.0,0.0275541,,1,,0.03,0.03,-0.04,,,,,4.0,3.0,4.0,,,,1.0,,2.0,0.0304,,-0.19,1.0,,1.0,10.0,,,,2.0,,,,,,,,,,
14035895,home,Standard Liège,Tobias Mohr,,tobias-mohr,T. Mohr,M,7,183,153,M,237048,EUR,809222400,D,7,7,False,34.0,24.0,8.0,4.0,0.0,11.0,14.0,13.0,20.0,3.0,,,,,90.0,60.0,6.8,16.0,0.0584173,,2,,0.29,0.09,-0.03,,,,7.0,1.0,1.0,4.0,,,1.0,1.0,,1.0,0.0441,2.0,-0.06,1.0,,,3.0,2.0,,,,2.0,3.0,3.0,1.0,0.0567,,,,,
14035895,home,Standard Liège,Marco Ilaimaharitra,,marco-ilaimaharitra,M. Ilaimaharitra,M,23,178,500,M,358198,EUR,806716800,M,23,23,False,34.0,26.0,2.0,1.0,0.0,7.0,10.0,19.0,24.0,7.0,,,,,90.0,52.0,6.9,14.0,0.012943,,1,,0.19,0.14,-0.11,,,,,,2.0,5.0,2.0,,,1.0,1.0,,0.0105,1.0,-0.01,,,1.0,,,3.0,,1.0,,1.0,1.0,,,,,,,
14035895,home,Standard Liège,Casper Nielsen,,casper-nielsen,C. Nielsen,M,94,182,403,M,247471,EUR,767577600,M,94,94,False,19.0,12.0,4.0,1.0,0.0,5.0,5.0,7.0,14.0,1.0,,,,,88.0,37.0,6.2,14.0,0.0822671,,2,,-0.23,0.06,-0.04,,,,8.0,1.0,6.0,4.0,,,1.0,1.0,1.0,2.0,0.0634,,0.12,3.0,,,1.0,1.0,1.0,,,2.0,1.0,1.0,1.0,0.1983,1.0,,,,
14035895,home,Standard Liège,Adnane Abid,,adnane-abid,A. Abid,M,11,161,235,M,1127801,EUR,1061596800,M,11,11,False,32.0,26.0,2.0,1.0,0.0,7.0,8.0,19.0,24.0,5.0,,,,,90.0,45.0,7.1,9.0,0.0858313,,0,,0.23,0.34,-0.06,,,,,,2.0,3.0,1.0,,,1.0,1.0,1.0,,3.0,,,,,1.0,,2.0,2.0,,,1.0,,,,,,,,
14035895,home,Standard Liège,Dennis Eckert Ayensa,,dennis-eckert-ayensa,D. Eckert,F,10,181,542,M,812797,EUR,852768000,M,10,10,False,11.0,9.0,,,0.0,2.0,2.0,7.0,9.0,,,,,,67.0,16.0,6.7,2.0,0.14297,,1,,-0.11,0.08,-0.05,,,,1.0,2.0,1.0,2.0,,,,,,,0.0628,2.0,-0.1,1.0,,,,,,,,1.0,,,1.0,0.1065,,,,,
14035895,home,Standard Liège,Rafiki Saïd,,rafiki-said,R. Saïd,M,17,178,635,M,1047321,EUR,953078400,M,17,17,False,19.0,12.0,1.0,,0.0,6.0,8.0,6.0,11.0,4.0,,,,,88.0,50.0,8.1,18.0,0.0414181,,7,,-0.04,0.67,-0.01,,,,4.0,,7.0,7.0,4.0,1.0,2.0,2.0,1.0,1.0,0.4972,2.0,0.47,,,3.0,,,2.0,1.0,,1.0,6.0,4.0,2.0,0.2285,,1.0,,,
14035895,home,Standard Liège,Thomas Henry,,thomas-henry,T. Henry,F,9,191,448,M,795541,EUR,780019200,F,9,9,False,9.0,7.0,1.0,1.0,0.0,1.0,1.0,6.0,8.0,,,,,,73.0,21.0,6.4,3.0,0.00610453,,1,,-0.05,-0.13,-0.06,,,,,1.0,3.0,3.0,,,,1.0,2.0,1.0,0.2721,1.0,-0.48,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,
14035895,home,Standard Liège,Henry Lawrence,,henry-lawrence,H. Lawrence,D,18,171,129,M,976265,EUR,1001030400,D,18,18,True,5.0,4.0,1.0,,0.0,2.0,2.0,2.0,3.0,1.0,,,,,23.0,11.0,6.4,2.0,0.0337441,,0,,0.14,0.01,-0.16,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,
14035895,home,Standard Liège,Ibe Hautekiet,,ibe-hautekiet,I. Hautekiet,D,25,188,153,M,964757,EUR,1018656000,D,25,25,True,4.0,4.0,,,0.0,4.0,4.0,,,1.0,,,,,17.0,7.0,6.3,,5.414e-05,,0,,0.0,0.0,-0.15,,,,,,,,,,,,,1.0,,,,,,,2.0,,,,1.0,,,,,,,,,,
14035895,home,Standard Liège,Timothee Nkada,,nkada-timothee,T. Nkada,F,59,177,312,M,981053,EUR,932428800,F,59,59,True,4.0,3.0,,,0.0,1.0,1.0,2.0,3.0,1.0,,,,,17.0,5.0,6.3,1.0,0.00149826,,1,,-0.01,0.04,0.14,,,,,1.0,5.0,1.0,,,1.0,,,1.0,0.0353,,-0.11,4.0,,,,,,,,,,,,,,,1.0,,
