match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAGoal,stat_unsuccessfulTouch,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_jerseyNumber,stat_totalCross,stat_accurateCross,stat_totalContest,stat_wonContest,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_keyPass,captain,stat_challengeLost,stat_dispossessed,stat_shotOffTarget,stat_outfielderBlock,stat_interceptionWon,stat_clearanceOffLine,stat_totalOffside,stat_onTargetScoringAttempt,stat_goals,stat_bigChanceMissed,player_sofascoreId,stat_goalAssist,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_goodHighClaim,stat_punches,stat_hitWoodwork
11067334,home,Coritiba,Luan Polli,,,luan-polli,Luan Polli,G,189,94,M,880117,EUR,734054400,G,27,27,False,9.0,7.0,3.0,1.0,6.0,6.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,1.0,3.0,5.0,2.0,2.0,90.0,19.0,4.3,3.0,0.0,0.0,0.00021194,0,-1.0407,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11067334,home,Coritiba,Hayner,,,hayner,Hayner,D,178,269,M,807767,EUR,812592000,D,2,2,False,28.0,21.0,4.0,2.0,12.0,14.0,11.0,18.0,1.0,,5.0,3.0,1.0,3.0,,,,,,,65.0,43.0,6.5,12.0,0.0,0.0,0.0449395,0,,60,4.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,
11067334,home,Coritiba,Benjamin Kuscevic,,,benjamin-kuscevic,B. Kuscevic,D,185,1470,M,590324,EUR,830995200,D,13,13,False,55.0,52.0,2.0,1.0,36.0,37.0,16.0,18.0,2.0,2.0,5.0,5.0,3.0,2.0,,,,,,,90.0,71.0,6.1,6.0,0.0654,0.0,0.00602189,1,,13,,,,,2.0,1.0,1.0,,,True,2.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,
11067334,home,Coritiba,Thiago Dombroski,Thiago Dombroski,,thiago-dombroski,T. Dombroski,D,190,95,M,1134106,EUR,1024531200,D,55,55,False,55.0,48.0,10.0,5.0,28.0,28.0,20.0,27.0,3.0,2.0,5.0,3.0,4.0,3.0,,,,,,,90.0,65.0,6.1,7.0,0.0141,0.0,0.00632524,1,,55,,,,,1.0,1.0,,2.0,,,,,1.0,,,,,,,,,,,,,,
11067334,home,Coritiba,Jamerson,,,jamerson,Jamerson,D,177,408,M,972373,EUR,905299200,D,83,83,False,51.0,42.0,5.0,4.0,22.0,24.0,21.0,32.0,1.0,1.0,3.0,2.0,3.0,12.0,,1.0,,,,,90.0,79.0,6.9,20.0,0.0,0.0,0.110198,0,,83,5.0,1.0,3.0,1.0,,,,,1.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,
11067334,home,Coritiba,Andreas Samaris,,,andreas-samaris,A. Samaris,M,189,311,,108398,EUR,613699200,M,22,22,False,15.0,13.0,2.0,1.0,11.0,13.0,2.0,2.0,,,2.0,2.0,1.0,4.0,,2.0,,,,,37.0,21.0,6.5,4.0,0.0,0.0,0.00254958,0,,,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,
11067334,home,Coritiba,Kaio César,Kaio César,,kaio-cesar,Kaio César,M,168,5030,M,1396009,EUR,1076803200,M,37,37,False,12.0,9.0,1.0,1.0,3.0,4.0,6.0,9.0,1.0,,6.0,3.0,1.0,2.0,,2.0,,,,,45.0,27.0,6.2,9.0,0.0,0.0,0.0101614,0,,37,1.0,,,,,,3.0,1.0,,,2.0,2.0,,,3.0,,1.0,,,,,,,,,,
11067334,home,Coritiba,Bruno Gomes,,,bruno-gomes,B. Gomes,D,175,903,M,995071,EUR,986342400,M,6,6,False,24.0,17.0,4.0,2.0,5.0,6.0,12.0,18.0,1.0,,2.0,2.0,,4.0,,2.0,,,,,66.0,33.0,6.5,9.0,0.0877,0.0526,0.00723878,2,,15,,,,,,,2.0,,,,1.0,,1.0,,1.0,,,1.0,,,,,,,,,
11067334,home,Coritiba,Sebastian Gomez,,,sebastian-gomez,S. Gomez,M,172,521,M,925142,EUR,833760000,M,19,19,False,27.0,24.0,1.0,1.0,8.0,8.0,16.0,20.0,1.0,1.0,3.0,3.0,,3.0,,1.0,,,,,59.0,36.0,7.0,6.0,0.1448,0.4449,0.0054108,1,,19,1.0,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,1.0,1.0,,,,,,,,
11067334,home,Coritiba,Robson,,,robson,Robson,F,179,708,M,850987,EUR,675561600,M,30,30,False,31.0,26.0,1.0,1.0,6.0,6.0,21.0,30.0,,,3.0,3.0,,4.0,,1.0,,,,,90.0,45.0,6.3,11.0,0.4103,0.2963,0.327414,2,,11,5.0,1.0,2.0,1.0,,,2.0,2.0,,,,,1.0,,1.0,,,1.0,,1.0,,,,,,,
