match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_accurateOppositionHalfPasses,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,captain,stat_accurateCross,stat_shotOffTarget,stat_outfielderBlock,stat_keyPass,stat_dispossessed,stat_onTargetScoringAttempt,stat_goals,stat_wasFouled,stat_challengeLost,stat_goalAssist,stat_bigChanceCreated,stat_totalOffside,stat_savedShotsFromInsideTheBox,stat_punches
11406837,home,Juventus,Wojciech Szczęsny,wojciech-szczesny,W. Szczęsny,G,25,196,95111,M,wojciech.szczesny1,50490,EUR,640396800,G,1,1,False,31.0,27.0,7.0,3.0,27.0,28.0,3.0,7.0,1.0,1.0,90.0,36.0,6.4,4.0,0.00011107,0,-1.6056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11406837,home,Juventus,Federico Gatti,federico-gatti,F. Gatti,D,4,190,4940,M,FedericoGatti,1128063,EUR,898646400,D,4,4,False,60.0,50.0,5.0,3.0,23.0,24.0,38.0,6.0,,,90.0,81.0,6.8,17.0,0.0206373,2,,Federico Gatti,,27.0,2.0,2.0,1.0,3.0,4.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,0.2236,,,,,,,,,,,,,,,
11406837,home,Juventus,Bremer,bremer,Bremer,D,3,188,9433,M,Bremer,885197,EUR,858643200,D,3,3,False,60.0,53.0,6.0,3.0,33.0,35.0,25.0,10.0,,,90.0,74.0,7.2,8.0,0.00944567,1,,,,20.0,,1.0,6.0,4.0,12.0,2.0,2.0,,1.0,3.0,,4.0,4.0,1.0,3.0,0.0218,,,,,,,,,,,,,,,
11406837,home,Juventus,Danilo,danilo,Danilo,D,13,184,15175,M,Danilo,124992,EUR,679536000,D,6,6,False,75.0,67.0,11.0,6.0,37.0,38.0,38.0,12.0,,,90.0,89.0,7.1,11.0,0.0441382,1,,,,31.0,1.0,,,3.0,5.0,1.0,,,,1.0,1.0,5.0,3.0,1.0,2.0,0.0246,True,1.0,1.0,1.0,1.0,,,,,,,,,,
11406837,home,Juventus,Andrea Cambiaso,cambiaso-andrea,A. Cambiaso,D,27,181,7318,M,andrea_cambiaso,917048,EUR,951004800,M,27,27,False,36.0,33.0,3.0,3.0,15.0,15.0,22.0,4.0,,,83.0,49.0,7.6,6.0,0.0256833,2,,,,18.0,1.0,,,1.0,4.0,2.0,2.0,,,,,1.0,,1.0,,0.1927,,,1.0,,,1.0,1.0,1.0,1.0,,,,,,
11406837,home,Juventus,Manuel Locatelli,manuel-locatelli,M. Locatelli,M,5,185,8228,M,locamanuel73,363860,EUR,884217600,M,5,5,False,69.0,56.0,10.0,6.0,16.0,18.0,51.0,3.0,,,90.0,80.0,6.7,16.0,0.0403375,1,,,,40.0,,1.0,,4.0,2.0,1.0,1.0,,,,,,,2.0,,0.0664,,,1.0,,,1.0,,,1.0,2.0,,,,,
11406837,home,Juventus,Fabio Miretti,fabio-miretti,F. Miretti,M,21,179,3225,M,,1010223,EUR,1059868800,M,20,20,False,26.0,20.0,,,5.0,5.0,23.0,1.0,,,76.0,45.0,6.9,14.0,0.0400165,1,,,,15.0,2.0,,,3.0,6.0,,,1.0,,,1.0,3.0,3.0,4.0,1.0,0.2326,,,,,1.0,2.0,1.0,,3.0,1.0,,,,,
11406837,home,Juventus,Samuel Iling Junior,samuel-iling-junior,S. I. Junior,F,19,182,2419,M,,996919,EUR,1065225600,M,17,17,False,34.0,28.0,4.0,2.0,13.0,13.0,25.0,2.0,,,82.0,66.0,6.4,15.0,0.121252,0,,,,16.0,4.0,1.0,,9.0,3.0,2.0,,,,2.0,1.0,3.0,1.0,,2.0,,,1.0,,,1.0,3.0,,,,1.0,,,,,
11406837,home,Juventus,Weston McKennie,weston-mckennie,W. McKennie,M,22,185,7292,M,west.mckennie,881931,EUR,904262400,F,16,16,False,39.0,34.0,2.0,2.0,15.0,17.0,24.0,7.0,,,88.0,49.0,8.3,10.0,0.43044,0,,,,19.0,2.0,2.0,,4.0,2.0,1.0,,,,1.0,,2.0,1.0,,1.0,,,,,,5.0,,,,,,2.0,1.0,,,
11406837,home,Juventus,Federico Chiesa,federico-chiesa,F. Chiesa,F,14,175,40294,M,FedeChiesa,845386,EUR,877737600,F,7,7,False,26.0,21.0,1.0,1.0,4.0,4.0,28.0,2.0,,,90.0,54.0,8.0,11.0,0.577609,6,,,,20.0,6.0,1.0,,3.0,5.0,3.0,2.0,,2.0,,,3.0,2.0,1.0,,0.2721,,3.0,3.0,,3.0,1.0,1.0,,,,,2.0,,,
