match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_challengeLost,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelWon,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,stat_aerialLost,stat_totalClearance,stat_outfielderBlock,stat_fouls,stat_dispossessed,stat_shotOffTarget,stat_wonTackle,stat_onTargetScoringAttempt,stat_totalOffside,stat_bigChanceMissed,stat_goodHighClaim,stat_punches,stat_goals,stat_goalAssist
11067304,home,Cruzeiro,Rafael Cabral,rafael-cabral,Rafael Cabral,G,1,186,340,M,124980,EUR,643161600,G,1,1,False,True,27.0,26.0,7.0,6.0,24.0,24.0,2.0,3.0,1.0,1.0,7.0,1.0,1.0,90.0,32.0,6.3,1.0,0.0,0.0,0.00107519,0,0.0114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11067304,home,Cruzeiro,William,william,William,D,12,176,2476,M,604274,EUR,796867200,D,12,12,False,,49.0,41.0,7.0,4.0,15.0,16.0,27.0,39.0,2.0,1.0,7.0,,,71.0,75.0,7.4,15.0,0.0251,0.0,0.236845,1,,,,6.0,1.0,4.0,9.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
11067304,home,Cruzeiro,Lucas Oliveira,lucas-oliveira,L. Oliveira,M,29,187,766,M,867907,EUR,823219200,D,6,6,False,,83.0,75.0,8.0,3.0,54.0,56.0,21.0,27.0,3.0,2.0,7.0,,,90.0,91.0,6.6,9.0,0.0,0.0,0.0127054,0,,,,,,2.0,2.0,,,,,,,1.0,,,1.0,3.0,2.0,,,,,,,,,,,
11067304,home,Cruzeiro,Luciano Castan,luciano-castan,Luciano Castan,D,4,187,212,M,845110,EUR,621648000,D,4,4,False,,77.0,64.0,11.0,6.0,43.0,46.0,21.0,31.0,6.0,,6.0,,,84.0,83.0,6.6,13.0,0.0,0.0,0.00639404,0,,,,,,1.0,3.0,,,,,,,,2.0,,4.0,3.0,1.0,2.0,,,,,,,,,,
11067304,home,Cruzeiro,Marlon,marlon,Marlon,D,23,178,1921,M,870787,EUR,864086400,D,3,3,False,,71.0,54.0,15.0,7.0,21.0,25.0,34.0,48.0,5.0,1.0,12.0,,,90.0,91.0,7.3,20.0,0.0599,0.0,0.220952,1,,,,2.0,1.0,2.0,6.0,1.0,1.0,,,1.0,3.0,,,3.0,1.0,2.0,,2.0,1.0,1.0,3.0,,,,,,,
11067304,home,Cruzeiro,Filipe Machado,filipe-machado,Filipe Machado,M,8,174,336,M,844601,EUR,822096000,M,23,23,False,,30.0,21.0,2.0,,3.0,3.0,18.0,29.0,3.0,,3.0,,,59.0,40.0,6.6,14.0,0.0,0.0,0.0167012,0,,,,2.0,,1.0,4.0,,,,,,2.0,2.0,1.0,,1.0,,,2.0,,,1.0,,,,,,,
11067304,home,Cruzeiro,Neto Moura,neto-moura,N. Moura,M,25,176,363,M,559034,EUR,839289600,M,8,8,False,,60.0,53.0,8.0,5.0,27.0,27.0,26.0,33.0,7.0,3.0,2.0,,,84.0,65.0,6.5,9.0,0.0252,0.041,0.04512,1,,,,,,1.0,2.0,,,,,,1.0,1.0,,,1.0,,,2.0,1.0,,1.0,1.0,,,,,,
11067304,home,Cruzeiro,Mateus Vital,mateus-vital,Mateus Vital,M,10,175,769,M,823653,EUR,887241600,M,7,7,False,,47.0,43.0,1.0,1.0,10.0,10.0,34.0,39.0,7.0,,4.0,,,90.0,67.0,6.5,14.0,0.0,0.0,0.0295429,0,,,,2.0,1.0,,4.0,4.0,2.0,,,,1.0,4.0,1.0,1.0,2.0,,,,3.0,,,,,,,,,
11067304,home,Cruzeiro,Wesley Ribeiro,wesley,W. Ribeiro,M,21,175,1823,M,985766,EUR,922752000,F,11,11,False,,31.0,20.0,3.0,2.0,6.0,7.0,14.0,29.0,5.0,,2.0,,,90.0,55.0,6.8,23.0,0.1816,0.0,0.0322648,2,,,,5.0,,4.0,7.0,2.0,,,1.0,1.0,1.0,2.0,2.0,2.0,1.0,,,,2.0,1.0,1.0,,1.0,,,,,
11067304,home,Cruzeiro,Gilberto,gilberto,Gilberto,F,9,178,814,M,158561,EUR,613008000,F,21,21,False,,10.0,9.0,,,,,9.0,10.0,4.0,1.0,2.0,,,59.0,17.0,6.5,6.0,0.0284,0.0,0.00487941,1,,,,,,1.0,2.0,,,,1.0,,,4.0,1.0,,2.0,,,,1.0,,,,,,,,,
