match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_accurateOppositionHalfPasses,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_expectedGoals,stat_keyPass,stat_aerialWon,stat_outfielderBlock,stat_wasFouled,stat_dispossessed,stat_wonContest,stat_interceptionWon,stat_fouls,captain,stat_blockedScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,player_sofascoreId,stat_bigChanceCreated,stat_totalOffside,stat_accurateCross,stat_bigChanceMissed,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_errorLeadToAShot
12117085,home,Cruzeiro,Anderson,anderson,Anderson,G,12,190,353,M,942061,EUR,889056000,G,98,98,False,21.0,16.0,7.0,2.0,0.0,16.0,17.0,4.0,1.0,5.0,1.0,3.0,1.0,90.0,29.0,7.2,5.0,4.131e-05,0,0.0449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117085,home,Cruzeiro,William,william,William,D,12,176,2476,M,604274,EUR,796867200,D,12,12,False,44.0,37.0,7.0,4.0,0.0,8.0,9.0,39.0,5.0,8.0,,,,90.0,79.0,8.0,15.0,0.0550419,3,,,,29.0,4.0,2.0,5.0,5.0,2.0,1.0,2.0,1.0,5.0,4.0,2.0,0.0491,2.0,,,,,,,,,,,,,,,,,,,
12117085,home,Cruzeiro,Zé Ivaldo,ze-ivaldo,Z. Ivaldo,D,2,185,1464,M,844602,EUR,856483200,D,5,5,False,39.0,30.0,11.0,4.0,0.0,15.0,19.0,20.0,4.0,2.0,,,,90.0,54.0,7.2,11.0,0.00762981,1,,,,15.0,,1.0,3.0,5.0,2.0,,1.0,,2.0,2.0,1.0,0.011,,2.0,2.0,1.0,,,,,,,,,,,,,,,,
12117085,home,Cruzeiro,João Marcelo,joao-marcelo,J. Marcelo,D,43,189,1606,M,978638,EUR,960854400,D,43,43,False,34.0,33.0,1.0,1.0,0.0,25.0,25.0,9.0,8.0,1.0,,,,90.0,45.0,7.3,2.0,0.00403344,0,,,,8.0,,,,6.0,,,,,1.0,,1.0,,1.0,5.0,,,,,,,,,,,,,,,,,,
12117085,home,Cruzeiro,Kaiki,kaiki,Kaiki,D,6,172,2601,M,1112484,EUR,1047081600,D,6,6,False,37.0,29.0,1.0,,0.0,13.0,15.0,24.0,6.0,8.0,,,,77.0,70.0,8.0,14.0,0.112188,1,,Kaiki,,16.0,2.0,3.0,6.0,13.0,,3.0,1.0,,6.0,5.0,2.0,0.0244,1.0,3.0,1.0,1.0,2.0,3.0,1.0,1.0,,,,,,,,,,,,
12117085,home,Cruzeiro,Lucas Silva,lucas-silva,L. Silva,M,16,182,2401,M,245159,EUR,729820800,M,16,16,False,49.0,45.0,1.0,1.0,0.0,17.0,20.0,29.0,1.0,6.0,,,,90.0,65.0,7.3,8.0,0.0218134,1,,,,28.0,,2.0,6.0,4.0,1.0,3.0,1.0,,1.0,,2.0,0.0179,2.0,,1.0,1.0,1.0,2.0,1.0,1.0,True,,,,,,,,,,,
12117085,home,Cruzeiro,Lucas Romero,lucas-romero,L. Romero,M,29,167,2727,M,263477,EUR,766627200,M,29,29,False,42.0,38.0,3.0,2.0,0.0,19.0,21.0,21.0,2.0,4.0,,,,68.0,52.0,7.1,7.0,0.0191622,1,,,,19.0,,,4.0,3.0,1.0,1.0,1.0,,2.0,2.0,2.0,0.0629,2.0,,,,1.0,1.0,,2.0,,,,,,,,,,,,
12117085,home,Cruzeiro,Ramiro,ramiro,Ramiro,M,17,167,375,M,330693,EUR,738028800,M,17,17,False,29.0,24.0,1.0,,0.0,11.0,15.0,17.0,2.0,3.0,,,,58.0,44.0,6.6,9.0,0.0288049,0,,,,13.0,3.0,2.0,5.0,1.0,1.0,,,,1.0,1.0,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,
12117085,home,Cruzeiro,Gabriel Veron,gabriel-veron,G. Veron,M,27,176,2553,M,1002819,EUR,1031011200,F,30,30,False,19.0,16.0,,,0.0,3.0,4.0,15.0,1.0,3.0,,,,77.0,29.0,7.4,6.0,0.0447024,3,,,,13.0,,1.0,6.0,2.0,3.0,1.0,,2.0,2.0,1.0,1.0,0.3752,1.0,,,,1.0,,,,,1.0,1.0,0.9773,,,,,,,,
12117085,home,Cruzeiro,Matheus Pereira,matheus-pereira,M. Pereira,M,10,175,14140,M,377238,EUR,831254400,F,10,10,False,53.0,45.0,4.0,3.0,1.0,10.0,12.0,45.0,1.0,3.0,,,,90.0,78.0,8.0,19.0,0.347178,3,,,,35.0,4.0,1.0,6.0,2.0,,,1.0,1.0,1.0,,3.0,0.1526,5.0,,,1.0,4.0,,,2.0,,1.0,,,matheus_pereira,1.0,,,,,,
