match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,captain,stat_bigChanceMissed,stat_shotOffTarget,stat_totalClearance,stat_wasFouled,stat_expectedGoals,stat_goalAssist,stat_bigChanceCreated,stat_keyPass,stat_blockedScoringAttempt,stat_penaltyWon,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_penaltyMiss,stat_outfielderBlock,stat_penaltyConceded,stat_totalOffside,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper
11408361,home,Famalicão,Luiz Júnior,Luiz Lúcio Reis Júnior,,luiz-junior,L. Júnior,G,1,192,2350,M,1066603,EUR,979430400,G,31,31,False,25.0,21.0,15.0,11.0,10.0,10.0,11.0,15.0,10.0,1.0,1.0,5.0,90.0,38.0,7.8,5.0,0.00444359,0,0.8376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11408361,home,Famalicão,Nathan,,,nathan,Nathan,D,22,183,482,M,1016912,EUR,999648000,D,22,22,False,25.0,19.0,5.0,2.0,8.0,12.0,12.0,15.0,1.0,,,,90.0,42.0,6.3,11.0,0.0239083,0,,2.0,1.0,1.0,1.0,7.0,4.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
11408361,home,Famalicão,Riccieli,,,riccieli,Riccieli,D,5,184,208,M,927166,EUR,905990400,D,15,15,False,38.0,26.0,4.0,1.0,23.0,30.0,3.0,8.0,3.0,,,,90.0,48.0,6.5,13.0,0.00102294,1,,,,2.0,3.0,3.0,7.0,1.0,,,,,3.0,1.0,,,True,1.0,1.0,3.0,1.0,0.2277,,,,,,,,,,,,,,,
11408361,home,Famalicão,Justin De Haas,,,justin-de-haas,J. De Haas,D,16,192,307,M,876255,EUR,949363200,D,16,16,False,19.0,15.0,5.0,2.0,11.0,12.0,4.0,7.0,1.0,,,,34.0,22.0,5.4,4.0,0.00160173,2,,,,1.0,2.0,3.0,2.0,,,,,,,,,2.0,,,2.0,1.0,,0.0345,,,,,,,,,,,,,,,
11408361,home,Famalicão,Francisco Moura,,,francisco-moura,F. Moura,D,74,181,1191,M,985138,EUR,934761600,D,74,74,False,42.0,33.0,7.0,4.0,16.0,18.0,18.0,28.0,11.0,,,,90.0,71.0,8.0,15.0,0.0710154,0,,4.0,1.0,1.0,4.0,2.0,10.0,1.0,,1.0,1.0,1.0,4.0,2.0,,,,,,2.0,1.0,,1.0,1.0,4.0,,,,,,,,,,,,
11408361,home,Famalicão,Zaydou Youssouf,,,zaydou-youssouf,Z. Youssef,M,33,183,570,M,862194,EUR,931651200,M,28,28,False,34.0,29.0,8.0,6.0,16.0,18.0,16.0,20.0,7.0,,,,90.0,56.0,7.8,10.0,0.133128,1,,4.0,3.0,1.0,1.0,2.0,10.0,,1.0,,,1.0,6.0,3.0,3.0,1.0,,,1.0,,3.0,0.02,,1.0,5.0,,,,,,,,,,,,
11408361,home,Famalicão,Mirko Topić,,,mirko-topic,M. Topić,M,22,190,486,M,980797,EUR,981331200,M,8,8,False,26.0,23.0,2.0,1.0,16.0,18.0,7.0,8.0,2.0,,,,55.0,28.0,6.7,3.0,0.142256,0,,,,1.0,1.0,1.0,2.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
11408361,home,Famalicão,Chiquinho,,,chiquinho,Chiquinho,M,10,179,454,M,1015826,EUR,949708800,M,10,10,False,15.0,11.0,1.0,,2.0,2.0,13.0,22.0,1.0,,,,88.0,50.0,7.7,15.0,0.152322,3,,9.0,4.0,2.0,2.0,7.0,11.0,1.0,1.0,4.0,2.0,,3.0,,3.0,1.0,,,1.0,,4.0,0.0676,,,3.0,2.0,1.0,,,,,,,,,,
11408361,home,Famalicão,Gustavo Sá,,,gustavo-sa,G. Sá,M,20,186,1268,M,1563665,EUR,1100131200,M,20,20,False,28.0,20.0,3.0,1.0,9.0,14.0,11.0,15.0,2.0,,,,68.0,40.0,6.7,11.0,0.0892074,0,,1.0,,,2.0,5.0,9.0,,,3.0,1.0,,3.0,1.0,,3.0,,,,1.0,3.0,,,,1.0,,,,,,,,,,,,
11408361,home,Famalicão,Sorriso,Sorriso,,sorriso,Sorriso,M,7,175,556,M,1105595,EUR,982886400,M,77,77,False,18.0,13.0,,,5.0,6.0,9.0,13.0,2.0,,,,55.0,29.0,6.8,9.0,0.0292793,3,,1.0,1.0,1.0,1.0,3.0,2.0,,1.0,,,,,,3.0,1.0,,,3.0,,1.0,0.2582,,,,,,,,,,,,,,,
11408361,home,Famalicão,Jhonder Cádiz,,,jhonder-cadiz,J. Cádiz,F,99,191,1954,M,332257,EUR,806976000,F,29,29,False,23.0,16.0,3.0,2.0,7.0,7.0,10.0,17.0,2.0,,,,90.0,41.0,8.3,15.0,0.0258832,5,,1.0,1.0,1.0,8.0,4.0,8.0,,2.0,,,,,,6.0,1.0,,1.0,3.0,,1.0,1.1691,,,2.0,,,2.0,2.0,1.1984,1.0,,,,,,
11408361,home,Famalicão,José Luis Rodríguez,,,jose-luis-rodriguez,J. L. Rodríguez,M,11,180,747,M,842253,EUR,898214400,F,7,7,True,8.0,7.0,,,5.0,5.0,3.0,9.0,3.0,,,,35.0,22.0,7.3,7.0,0.0325366,1,,6.0,1.0,,,,4.0,,,2.0,2.0,,1.0,1.0,1.0,,,,,,1.0,0.0176,1.0,,1.0,1.0,,,,,,,,,,,
11408361,home,Famalicão,Gustavo Assunção,,,gustavo-assuncao,G. Assunção,M,12,178,266,M,981217,EUR,954374400,M,12,12,True,12.0,10.0,2.0,1.0,7.0,8.0,3.0,4.0,,,,,35.0,24.0,7.0,2.0,0.00285095,1,,,,,2.0,,4.0,,,,,1.0,,,,,,,1.0,4.0,2.0,0.0485,,,,,,,,,,1.0,,,,,
11408361,home,Famalicão,Filipe Soares,,,filipe-soares,F. Soares,M,22,180,145,M,851030,EUR,927158400,M,19,19,True,7.0,5.0,1.0,1.0,2.0,2.0,3.0,5.0,,,,,22.0,13.0,6.2,5.0,0.00199474,0,,,,,,,3.0,,,3.0,3.0,,,,3.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,
11408361,home,Famalicão,Óscar Aranda,,,oscar-aranda,Ó. Aranda,F,11,178,568,M,984626,EUR,1020038400,F,11,11,True,,,,,,,,,,,,,9.0,6.0,6.7,2.0,,1,,,,,1.0,2.0,1.0,1.0,1.0,,,,,,1.0,,,,,,1.0,0.0207,,,,,,1.0,,0.3084,,1.0,,1.0,,,
11408361,home,Famalicão,Ivan Zlobin,,,ivan-zlobin,I. Zlobin,G,1,191,247,M,788203,EUR,857692800,G,1,1,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11408361,home,Famalicão,Martín Aguirregabiria,,,martin-aguirregabiria,M. Aguirregabiria,D,20,178,74,M,868262,EUR,831686400,D,32,32,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11408361,home,Famalicão,Henrique Araújo,,,henrique-araujo,H. Araújo,F,39,183,1642,M,998870,EUR,1011398400,F,9,9,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11408361,home,Famalicão,Florian Danho,Florian Danho,,florian-danho,F. Danho,F,22,188,1575,M,1388727,EUR,961545600,F,21,21,True,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
