match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_aerialWon,stat_challengeLost,stat_interceptionWon,captain,stat_accurateCross,stat_shotOffTarget,stat_outfielderBlock,stat_dispossessed,stat_goalAssist,stat_onTargetScoringAttempt,stat_goals,stat_blockedScoringAttempt,stat_totalOffside,stat_penaltyFaced,stat_saves,stat_punches,stat_penaltyConceded
10438168,home,Estoril Praia,Daniel Figueira,,,daniel-figueira,D. Figueira,G,99,189,80,M,862060,EUR,900892800,G,99,99,False,31.0,21.0,18.0,8.0,20.0,21.0,1.0,10.0,4.0,90.0,33.0,6.8,10.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10438168,home,Estoril Praia,Tiago Santos,,,tiago-santos,T. Santos,D,22,175,1632,M,1087364,EUR,1027382400,D,62,62,False,47.0,37.0,3.0,1.0,19.0,21.0,18.0,29.0,9.0,90.0,82.0,7.5,19.0,0,3.0,1.0,4.0,12.0,3.0,2.0,2.0,6.0,6.0,2.0,4.0,3.0,1.0,,,,,,,,,,,,,,,,,
10438168,home,Estoril Praia,Edson Mexer,Edson,Mexer,edson-mexer,E. Mexer,D,23,188,625,M,581328,EUR,589680000,D,34,34,False,53.0,48.0,8.0,5.0,40.0,43.0,8.0,10.0,5.0,71.0,60.0,6.8,6.0,0,,,3.0,2.0,,,2.0,1.0,,1.0,,2.0,,1.0,1.0,2.0,,,,,,,,,,,,,,
10438168,home,Estoril Praia,Bernardo Vital,,,vital-bernardo,B. Vital,D,13,187,192,M,1065442,EUR,978048000,D,3,3,False,69.0,68.0,1.0,1.0,57.0,57.0,11.0,12.0,,90.0,75.0,7.1,3.0,0,,1.0,1.0,3.0,,,3.0,1.0,1.0,2.0,,,,2.0,,,,,,,,,,,,,,,,
10438168,home,Estoril Praia,Joãozinho,,,joaozinho,Joãozinho,D,31,185,30,M,156319,EUR,615340800,D,31,31,False,70.0,60.0,9.0,7.0,40.0,41.0,21.0,35.0,3.0,90.0,90.0,7.1,15.0,0,6.0,,1.0,1.0,,,1.0,,,,1.0,,1.0,,1.0,,True,1.0,,,,,,,,,,,,
10438168,home,Estoril Praia,João Carvalho,,,joao-carvalho,J. Carvalho,F,12,170,372,M,548044,EUR,857865600,M,20,20,False,58.0,56.0,5.0,5.0,37.0,37.0,19.0,21.0,11.0,90.0,77.0,7.7,3.0,1,,,4.0,10.0,,,1.0,6.0,3.0,1.0,4.0,2.0,1.0,,2.0,1.0,,,1.0,1.0,,,,,,,,,,
10438168,home,Estoril Praia,João Gamboa,,,joao-gamboa,J. Gamboa,M,5,187,92,M,794318,EUR,841449600,M,5,5,False,11.0,9.0,,,9.0,10.0,,1.0,1.0,16.0,14.0,6.1,4.0,0,,,3.0,,,,,,,,,,,,2.0,,,,,,1.0,,,,,,,,,
10438168,home,Estoril Praia,Francisco Geraldes,,,francisco-geraldes,F. Geraldes,M,8,175,224,M,314376,EUR,798163200,M,10,10,False,33.0,29.0,2.0,2.0,8.0,8.0,21.0,26.0,5.0,81.0,53.0,7.8,13.0,2,1.0,,7.0,5.0,3.0,,,3.0,2.0,2.0,2.0,1.0,1.0,,,2.0,,,,,3.0,1.0,2.0,1.0,,,,,,
10438168,home,Estoril Praia,Rodrigo Martins,,,rodrigo-martins,R. Martins,F,7,177,39,M,945059,EUR,905817600,F,7,7,False,16.0,13.0,1.0,1.0,2.0,2.0,11.0,16.0,4.0,81.0,27.0,6.9,7.0,3,2.0,,3.0,3.0,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,,,,,,,2.0,,1.0,,,,1.0,,,,,
10438168,home,Estoril Praia,Erison,Erison,,erison,Erison,F,9,180,954,M,1089111,EUR,923961600,F,79,79,False,8.0,5.0,,,3.0,3.0,2.0,5.0,2.0,71.0,23.0,6.6,11.0,2,,4.0,7.0,6.0,,,1.0,1.0,,5.0,1.0,,,4.0,,,,,1.0,,3.0,,,,1.0,1.0,,,,
