match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_penaltyFaced,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_accurateOppositionHalfPasses,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wasFouled,stat_keyPass,captain,stat_aerialLost,stat_shotOffTarget,stat_penaltyConceded,stat_fouls,stat_challengeLost,stat_blockedScoringAttempt,stat_wonTackle,stat_unsuccessfulTouch,stat_onTargetScoringAttempt,stat_totalOffside,stat_accurateCross,stat_goals,stat_outfielderBlock,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_goalsPrevented,stat_bigChanceMissed,stat_hitWoodwork,stat_penaltyWon,stat_penaltyMiss
10385382,home,Nottingham Forest,Dean Henderson,,,dean-henderson,D. Henderson,G,1,188,5010,M,deanhenderson,788134,EUR,858124800,G,1,1,False,23.0,18.0,8.0,3.0,18.0,19.0,4.0,1.0,4.0,1.0,1.0,1.0,90.0,27.0,6.9,5.0,0.0,0.0,4.831e-05,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385382,home,Nottingham Forest,Serge Aurier,,,serge-aurier,S. Aurier,D,,176,2934,M,Serge_aurier,105697,EUR,725155200,D,24,24,False,28.0,20.0,1.0,1.0,13.0,16.0,16.0,5.0,8.0,,,,90.0,58.0,7.3,17.0,0.0,0.0,0.00963818,0,7.0,4.0,2.0,2.0,5.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
10385382,home,Nottingham Forest,Joe Worrall,,,joe-worrall,J. Worrall,D,4,193,320,M,,838399,EUR,852854400,D,4,4,False,35.0,29.0,8.0,4.0,24.0,26.0,9.0,6.0,6.0,,,,90.0,50.0,7.2,6.0,0.0166,0.0,0.0105914,1,5.0,,3.0,3.0,5.0,,,,5.0,2.0,,,True,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,
10385382,home,Nottingham Forest,Willy Boly,,,willy-boly,W. Boly,D,30,195,1884,M,,139310,EUR,665539200,D,30,30,False,40.0,33.0,5.0,3.0,29.0,34.0,6.0,5.0,2.0,,,,90.0,49.0,7.0,7.0,0.0165,0.0,0.0066808,1,4.0,,1.0,2.0,3.0,,,,1.0,2.0,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,
10385382,home,Nottingham Forest,Renan Lodi,,,renan-lodi,R. Lodi,D,16,173,4176,M,renan_lodi,851150,EUR,891993600,D,32,32,False,24.0,18.0,4.0,2.0,15.0,19.0,6.0,1.0,8.0,,,,86.0,42.0,6.8,10.0,0.0498,0.0,0.00332552,1,3.0,1.0,,4.0,4.0,1.0,,,1.0,1.0,3.0,,,1.0,1.0,,,2.0,,1.0,,,,,,,,,,,,,,,
10385382,home,Nottingham Forest,Ryan Yates,,,ryan-yates,R. Yates,M,22,190,881,M,,846252,EUR,880070400,M,22,22,False,28.0,18.0,7.0,,14.0,17.0,13.0,3.0,9.0,,,,90.0,44.0,6.6,13.0,0.0,0.0,0.00556191,0,4.0,2.0,,5.0,6.0,,,,1.0,3.0,3.0,,,2.0,,,3.0,,,1.0,1.0,,,,,,,,,,,,,,
10385382,home,Nottingham Forest,Remo Freuler,,,remo-freuler,R. Freuler,M,8,181,1928,M,,115516,EUR,703296000,M,23,23,False,36.0,26.0,5.0,2.0,18.0,23.0,14.0,2.0,5.0,,,,90.0,49.0,6.8,13.0,0.0,0.0,0.00493767,0,8.0,1.0,2.0,6.0,6.0,1.0,1.0,,1.0,3.0,1.0,,,1.0,,,2.0,1.0,,2.0,,,,,,,,,,,,,,,
10385382,home,Nottingham Forest,Cheikhou Kouyaté,,,cheikhou-kouyate,C. Kouyaté,M,8,189,2529,M,,45944,EUR,630201600,M,21,21,False,10.0,6.0,1.0,,5.0,6.0,4.0,,4.0,,,,71.0,21.0,6.8,8.0,0.0,0.0,0.000263,0,1.0,,,3.0,6.0,2.0,,,,4.0,2.0,,,,,,1.0,,,4.0,2.0,,,,,,,,,,,,,,
10385382,home,Nottingham Forest,Brennan Johnson,,,brennan-johnson,B. Johnson,F,11,186,10704,M,brenjohnson_,1085180,EUR,990576000,F,20,20,False,15.0,9.0,,,1.0,2.0,16.0,,3.0,,,,90.0,30.0,7.1,12.0,0.178,0.0492,0.166672,2,8.0,3.0,,4.0,5.0,,3.0,2.0,,2.0,1.0,1.0,,2.0,1.0,,1.0,,,2.0,2.0,1.0,2.0,,,,,,,,,,,,
10385382,home,Nottingham Forest,Morgan Gibbs-White,,,morgan-gibbs-white,M. Gibbs-White,M,10,171,6974,M,Morgangibbs27,865912,EUR,948931200,F,10,10,False,23.0,14.0,2.0,1.0,4.0,6.0,21.0,,5.0,,,,86.0,36.0,7.8,17.0,0.6744,0.9913,0.225321,2,11.0,4.0,1.0,4.0,2.0,2.0,,,,1.0,,3.0,,2.0,1.0,,,,,1.0,,1.0,,1.0,1.0,,,,,,,,,,
