match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_aerialWon,stat_outfielderBlock,stat_totalCross,stat_blockedScoringAttempt,stat_unsuccessfulTouch,stat_expectedGoals,stat_dispossessed,stat_keyPass,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_errorLeadToAShot,captain,stat_totalOffside,stat_accurateCross,stat_shotOffTarget,stat_goodHighClaim,stat_bigChanceCreated,stat_bigChanceMissed,stat_hitWoodwork,stat_goals
12514226,home,Boavista,César Dutra,,,cesar-dutra,C. Dutra,G,1,194,270,M,158269,EUR,696470400,G,1,1,False,23.0,16.0,15.0,8.0,0.0,13.0,15.0,3.0,8.0,1.0,8.0,2.0,1.0,90.0,29.0,6.5,7.0,0.00033699,0,-0.0881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12514226,home,Boavista,Pedro Gomes,Pedro Gomes,,pedro-gomes,P. Gomes,D,,185,91,M,1393993,EUR,1054684800,D,15,15,False,33.0,23.0,4.0,1.0,0.0,12.0,17.0,11.0,16.0,1.0,4.0,,,84.0,51.0,6.4,14.0,0.00741453,0,,2.0,4.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,
12514226,home,Boavista,Alexandre Marques,Alexandre Marques,,alexandre-marques,A. Marques,D,73,186,30,M,1896794,EUR,1130025600,D,73,73,False,40.0,35.0,5.0,3.0,0.0,30.0,31.0,5.0,9.0,2.0,2.0,,,90.0,54.0,6.8,11.0,0.0030911,0,,3.0,4.0,4.0,1.0,,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,
12514226,home,Boavista,Filipe Ferreira,Filipe,Ferreira,filipe-ferreira,F. Ferreira,D,20,178,34,M,143584,EUR,654393600,D,20,20,False,60.0,46.0,15.0,9.0,0.0,25.0,28.0,21.0,33.0,3.0,6.0,,,90.0,74.0,6.5,17.0,0.0158434,1,,,2.0,3.0,1.0,1.0,,1.0,1.0,,,,2.0,,1.0,1.0,1.0,0.0074,,,,,,,,,,,,,,
12514226,home,Boavista,Joel Silva,Joel Silva,,joel-silva,J. Silva,M,26,185,56,M,1393991,EUR,1044921600,D,16,16,False,31.0,25.0,3.0,,0.0,12.0,13.0,13.0,21.0,1.0,4.0,,,90.0,58.0,7.0,12.0,0.0133119,0,,3.0,8.0,6.0,4.0,1.0,1.0,2.0,4.0,3.0,1.0,,,2.0,3.0,,1.0,,1.0,1.0,,,,,,,,,,,,
12514226,home,Boavista,Gonçalo Miguel,Gonçalo Miguel,Cardoso de Almeida,goncalo-almeida,G. Miguel,D,17,181,26,M,1517733,EUR,1052179200,M,35,35,False,23.0,14.0,5.0,1.0,0.0,7.0,8.0,7.0,17.0,,1.0,,,75.0,37.0,6.1,17.0,0.0291615,0,,2.0,7.0,1.0,3.0,1.0,,,1.0,1.0,,,,,2.0,,4.0,,1.0,,,,,,,,,,,,,
12514226,home,Boavista,Ibrahima Camará,,,ibrahima-camara,I. Camará,M,2,190,520,M,976145,EUR,917222400,M,2,2,False,28.0,19.0,3.0,1.0,0.0,8.0,9.0,11.0,20.0,1.0,3.0,,,58.0,44.0,7.1,14.0,0.0328604,1,,2.0,4.0,8.0,,5.0,4.0,1.0,1.0,,,,3.0,1.0,1.0,,2.0,0.0179,1.0,,1.0,0.225,,,,,,,,,,
12514226,home,Boavista,Miguel Reisinho,,,miguel-reisinho,M. Reisinho,M,7,184,1041,M,892309,EUR,923616000,M,10,10,False,57.0,47.0,6.0,4.0,0.0,23.0,25.0,24.0,32.0,4.0,7.0,,,90.0,82.0,6.9,14.0,0.0478405,0,,2.0,10.0,7.0,1.0,4.0,3.0,3.0,3.0,1.0,1.0,5.0,,1.0,,,2.0,,1.0,1.0,,,1.0,,,,,,,,,
12514226,home,Boavista,Salvador Agra,,,salvador-agra,S. Agra,M,11,166,97,M,587416,EUR,689817600,M,7,7,False,26.0,22.0,2.0,,0.0,4.0,5.0,18.0,23.0,,5.0,,,90.0,42.0,6.6,10.0,0.0158137,0,,,1.0,5.0,,1.0,1.0,1.0,1.0,1.0,3.0,,,,2.0,,1.0,,1.0,,,,1.0,True,1.0,,,,,,,
12514226,home,Boavista,Manuel Namora,,,manuel-namora,M. Namora,F,,180,28,M,892423,EUR,887241600,F,17,17,False,15.0,7.0,1.0,1.0,0.0,,2.0,8.0,14.0,1.0,1.0,,,75.0,24.0,6.5,13.0,0.0112407,0,,4.0,7.0,5.0,,,,,,,1.0,1.0,4.0,,1.0,,3.0,,2.0,,,,,,,1.0,,,,,,
