match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_goalAssist,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,captain,stat_aerialWon,stat_interceptionWon,stat_bigChanceCreated,stat_outfielderBlock,stat_penaltyConceded,stat_fouls,stat_bigChanceMissed,stat_shotOffTarget,stat_blockedScoringAttempt,stat_expectedGoals,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_challengeLost,stat_goals,stat_totalOffside,player_sofascoreId
11396409,home,1. FC Heidenheim,Kevin Müller,kevin-muller,K. Müller,G,22,190,180,M,121908,EUR,668995200,G,1,1,False,27.0,25.0,9.0,7.0,21.0,21.0,4.0,6.0,1.0,6.0,1.0,1.0,1.0,90.0,35.0,6.1,2.0,0.00169448,0,-1.605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396409,home,1. FC Heidenheim,Haktab Omar Traore,haktab-omar-traore,H. O. Traore,D,23,184,112,M,920022,EUR,886550400,D,23,23,False,36.0,32.0,4.0,3.0,17.0,19.0,16.0,19.0,,3.0,,,,70.0,59.0,6.4,15.0,0.235234,0,,,,1.0,2.0,1.0,1.0,5.0,5.0,1.0,5.0,2.0,2.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,
11396409,home,1. FC Heidenheim,Patrick Mainka,patrick-mainka,P. Mainka,D,6,194,320,M,254429,EUR,784080000,D,6,6,False,86.0,78.0,10.0,7.0,48.0,49.0,30.0,37.0,4.0,11.0,,,,90.0,96.0,6.3,10.0,0.0136206,0,,,,,,,4.0,5.0,4.0,,2.0,1.0,1.0,1.0,1.0,,,True,2.0,1.0,,,,,,,,,,,,,,
11396409,home,1. FC Heidenheim,Tim Siersleben,tim-siersleben,T. Siersleben,D,4,187,118,M,988252,EUR,952560000,D,4,4,False,80.0,70.0,18.0,9.0,46.0,47.0,24.0,33.0,2.0,5.0,,,,90.0,88.0,6.3,10.0,0.0214952,0,,,,,,,,2.0,5.0,,,,2.0,1.0,,1.0,1.0,,2.0,,1.0,1.0,1.0,3.0,,,,,,,,,,
11396409,home,1. FC Heidenheim,Jonas Föhrenbach,jonas-fohrenbach,J. Föhrenbach,D,19,185,79,M,311676,EUR,822614400,D,19,19,False,55.0,44.0,8.0,5.0,23.0,27.0,22.0,30.0,1.0,5.0,,,,90.0,70.0,6.1,14.0,0.0334775,0,,,,,2.0,1.0,,,1.0,,,,,,1.0,,,,1.0,2.0,,,,,,,,,,,,,,
11396409,home,1. FC Heidenheim,Lennard Maloney,lennard-maloney,L. Maloney,M,15,187,256,M,893962,EUR,939340800,M,33,33,False,65.0,57.0,10.0,6.0,41.0,43.0,16.0,22.0,4.0,3.0,,,,90.0,79.0,6.7,8.0,0.00851606,3,,,,,,,2.0,4.0,3.0,,,,,,,1.0,,,3.0,2.0,,,,2.0,1.0,1.0,2.0,0.1898,,,,,,
11396409,home,1. FC Heidenheim,Eren Dinkçi,eren-dinkci,E. Dinkçi,M,8,188,848,M,1067120,EUR,1008201600,M,8,8,False,32.0,26.0,,,11.0,12.0,15.0,23.0,1.0,6.0,,,,82.0,52.0,6.8,14.0,0.01388,3,,,,,3.0,,,4.0,7.0,3.0,4.0,3.0,2.0,2.0,1.0,2.0,,,,,,,,,,2.0,,0.0479,1.0,0.0696,,,,
11396409,home,1. FC Heidenheim,Denis Thomalla,denis-thomalla,D. Thomalla,M,,186,60,M,122578,EUR,713923200,M,11,11,False,36.0,30.0,1.0,1.0,11.0,12.0,19.0,24.0,2.0,4.0,,,,70.0,41.0,6.3,6.0,0.0109852,1,,,,,,,5.0,5.0,4.0,,,,,,,,,,4.0,,,,,,,,1.0,0.2104,,,,,,
11396409,home,1. FC Heidenheim,Adrian Beck,adrian-beck,A. Beck,M,21,186,112,M,845742,EUR,865814400,M,21,21,False,32.0,28.0,,,19.0,20.0,9.0,12.0,2.0,5.0,,,,55.0,49.0,7.3,8.0,0.0778592,2,,,,1.0,,,,4.0,7.0,2.0,,,1.0,1.0,2.0,3.0,3.0,,4.0,,2.0,,,1.0,,2.0,,0.1498,,,1.0,,,
11396409,home,1. FC Heidenheim,Jan-Niklas Beste,jan-niklas-beste,J. Beste,D,19,177,1027,M,836711,EUR,915408000,M,37,37,False,29.0,22.0,2.0,2.0,8.0,11.0,16.0,28.0,1.0,7.0,,,,90.0,61.0,7.9,19.0,0.204723,4,,,,,10.0,2.0,,1.0,5.0,,2.0,1.0,2.0,,3.0,2.0,3.0,,,2.0,,,,,,1.0,1.0,0.316,2.0,0.6475,,1.0,,
