match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_penaltyFaced,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_duelLost,stat_duelWon,stat_challengeLost,stat_interceptionWon,stat_wasFouled,stat_fouls,player_firstName,player_lastName,stat_totalTackle,stat_aerialLost,stat_aerialWon,stat_outfielderBlock,stat_ownGoals,stat_totalCross,stat_dispossessed,stat_totalContest,stat_shotOffTarget,stat_wonTackle,stat_unsuccessfulTouch,stat_expectedGoals,stat_penaltyConceded,stat_accurateCross,stat_wonContest,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,player_sofascoreId,captain,stat_bigChanceCreated,stat_hitWoodwork,stat_goals,stat_keyPass,stat_blockedScoringAttempt,stat_totalOffside,stat_penaltyWon,stat_errorLeadToAShot,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_bigChanceMissed
11368615,home,Celta Vigo,Iván Villar,ivan-villar,I. Villar,G,1,183,223,M,848980,EUR,868406400,G,13,13,False,28.0,27.0,4.0,3.0,0.0,24.0,24.0,3.0,4.0,1.0,7.0,1.0,90.0,35.0,6.4,2.0,0.00052069,0,-1.0111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11368615,home,Celta Vigo,Kevin Vázquez,kevin-vazquez,K. Vázquez,D,20,173,142,M,795257,EUR,732844800,D,20,20,False,59.0,49.0,8.0,4.0,0.0,33.0,37.0,16.0,22.0,,,,71.0,66.0,6.2,11.0,0.0222612,0,,5.0,1.0,3.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11368615,home,Celta Vigo,Yoel Lago,yoel-lago,Y. Lago,D,29,185,186,M,1145100,EUR,1080172800,D,38,38,False,86.0,82.0,1.0,1.0,0.0,67.0,70.0,15.0,16.0,2.0,2.0,,90.0,95.0,6.6,4.0,0.0047951,0,,1.0,4.0,,,2.0,1.0,Yoel,Lago,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11368615,home,Celta Vigo,Carlos Domínguez,carlos-dominguez,C. Domínguez,D,24,187,207,M,1069703,EUR,981849600,D,28,28,False,53.0,42.0,12.0,5.0,0.0,30.0,33.0,12.0,20.0,3.0,2.0,,65.0,62.0,6.2,11.0,0.0092078,0,,3.0,2.0,2.0,,,,,,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
11368615,home,Celta Vigo,Miguel Rodríguez,miguel-rodriguez,M. Rodríguez,M,22,179,653,M,1014118,EUR,1051574400,M,24,24,False,31.0,26.0,1.0,,0.0,13.0,14.0,13.0,20.0,,2.0,,90.0,55.0,6.5,16.0,0.0280583,1,,9.0,6.0,1.0,1.0,4.0,5.0,,,2.0,,,,,3.0,1.0,2.0,1.0,1.0,3.0,0.0783,,,,,,,,,,,,,,,,,,,
11368615,home,Celta Vigo,Fran Beltrán,fran-beltran,F. Beltrán,M,8,170,770,M,835484,EUR,918000000,M,8,8,False,63.0,60.0,8.0,6.0,0.0,40.0,41.0,20.0,22.0,1.0,5.0,,90.0,73.0,6.0,6.0,0.0072042,1,,10.0,3.0,4.0,1.0,1.0,3.0,,,1.0,,1.0,,,,2.0,1.0,1.0,,,0.0128,1.0,,,,,,,,,,,,,,,,,,
11368615,home,Celta Vigo,Hugo Sotelo,hugo-sotelo,H. Sotelo,M,22,180,632,M,1120669,EUR,1071792000,M,30,30,False,43.0,36.0,6.0,2.0,0.0,21.0,23.0,16.0,23.0,,3.0,,90.0,59.0,6.6,13.0,0.0261598,1,,5.0,4.0,1.0,,,2.0,Hugo Sotelo,,2.0,,,,,3.0,1.0,3.0,1.0,2.0,2.0,0.0482,,1.0,2.0,,,,,,,,,,,,,,,,
11368615,home,Celta Vigo,Óscar Mingueza,oscar-mingueza,Ó. Mingueza,M,3,184,3812,M,859773,EUR,926553600,M,3,3,False,58.0,48.0,5.0,3.0,0.0,33.0,35.0,15.0,27.0,1.0,4.0,,90.0,88.0,6.9,19.0,0.0624886,1,,6.0,5.0,1.0,,1.0,1.0,,,3.0,1.0,,1.0,,4.0,1.0,3.0,,2.0,1.0,0.0192,,,1.0,1.0,0.0622,,,,,,,,,,,,,,
11368615,home,Celta Vigo,Iago Aspas,iago-aspas,I. Aspas,F,10,176,5000,M,19356,EUR,554774400,F,10,10,False,22.0,14.0,,,1.0,7.0,8.0,7.0,15.0,,2.0,,75.0,32.0,8.1,11.0,0.172609,2,,5.0,2.0,1.0,1.0,2.0,1.0,,,,1.0,,,,1.0,1.0,1.0,1.0,,,0.8773,,,,1.0,0.9895,i.aspas10,True,1.0,1.0,1.0,1.0,,,,,,,,
11368615,home,Celta Vigo,Anastasios Douvikas,douvikas-anastasios,A. Douvikas,F,11,184,4342,M,894863,EUR,933552000,F,12,12,False,9.0,8.0,,,0.0,4.0,4.0,4.0,5.0,,2.0,,64.0,28.0,7.4,11.0,0.00218551,3,,8.0,5.0,,,2.0,1.0,,,1.0,3.0,2.0,1.0,,,3.0,1.0,,,5.0,0.494,,,,2.0,1.2351,,,,,1.0,1.0,1.0,1.0,,,,,,
