match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_bigChanceCreated,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keyPass,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_totalTackle,stat_wonTackle,stat_fouls,stat_outfielderBlock,stat_interceptionWon,stat_wasFouled,captain,stat_blockedScoringAttempt,stat_unsuccessfulTouch,stat_totalOffside,stat_expectedGoals,stat_accurateCross,stat_dispossessed,stat_bigChanceMissed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_goals,stat_errorLeadToAShot
12504696,home,Fiorentina,David De Gea,,,david-de-gea,D. De Gea,G,43,192,23723,M,d_degea,69378,EUR,657936000,G,43,43,False,20.0,16.0,11.0,7.0,1.0,9.0,10.0,7.0,10.0,1.0,2.0,9.0,1.0,1.0,1.0,1.0,1.0,90.0,28.0,7.1,4.0,0.00180332,1.0,0,-0.3925,,,,,,,,,,,,,,,,,,,,,,,,,,,
12504696,home,Fiorentina,Dodô,,,dodo,Dodô,D,2,166,3348,M,,822518,EUR,911260800,D,2,2,False,44.0,33.0,4.0,1.0,0.0,17.0,19.0,16.0,29.0,,3.0,2.0,,,,,,90.0,67.0,6.6,21.0,0.0255679,,0,,4.0,1.0,1.0,6.0,5.0,2.0,5.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
12504696,home,Fiorentina,Pietro Comuzzo,Pietro Comuzzo,,comuzzo-pietro,P. Comuzzo,D,15,185,1322,M,,1210848,EUR,1108857600,D,15,15,False,80.0,73.0,10.0,5.0,0.0,37.0,38.0,36.0,42.0,,1.0,4.0,,,,,,90.0,88.0,7.2,7.0,0.0454111,1.0,0,,,2.0,4.0,2.0,5.0,,,,,,,1.0,2.0,1.0,,,,,,,,,,,,,
12504696,home,Fiorentina,Luca Ranieri,,,luca-ranieri,L. Ranieri,D,6,187,1115,M,,893998,EUR,924825600,D,6,6,False,70.0,64.0,11.0,6.0,0.0,42.0,43.0,22.0,27.0,,3.0,4.0,,,,,,90.0,80.0,7.2,7.0,0.019209,,0,,,,1.0,,4.0,,,,1.0,,,2.0,,2.0,True,,,,,,,,,,,,
12504696,home,Fiorentina,Robin Gosens,,,robin-gosens,R. Gosens,D,21,183,3165,M,,377118,EUR,773366400,D,21,21,False,35.0,28.0,5.0,2.0,0.0,19.0,21.0,9.0,16.0,,1.0,1.0,,,,,,90.0,62.0,6.8,19.0,0.0371647,1.0,1,,2.0,1.0,2.0,2.0,4.0,1.0,,,1.0,1.0,,,,1.0,,1.0,1.0,1.0,0.1004,,,,,,,,
12504696,home,Fiorentina,Edoardo Bove,,,edoardo-bove,E. Bove,M,15,181,2073,M,,986352,EUR,1021507200,M,4,4,False,40.0,32.0,2.0,1.0,0.0,12.0,13.0,20.0,27.0,,,4.0,,,,,,87.0,56.0,6.8,13.0,0.0233751,,0,,,,,1.0,5.0,1.0,,,3.0,1.0,,,1.0,2.0,,,3.0,,,,,,,,,,
12504696,home,Fiorentina,Yacine Adli,,,yacine-adli,Y. Adli,M,29,187,3790,M,adliyacine,859024,EUR,964828800,M,29,29,False,60.0,50.0,15.0,9.0,1.0,18.0,20.0,33.0,46.0,1.0,,4.0,,,,,,77.0,78.0,7.2,21.0,0.221099,1.0,0,,6.0,1.0,,4.0,4.0,1.0,2.0,,3.0,1.0,,,,1.0,,,2.0,,,1.0,,,,,,,
12504696,home,Fiorentina,Andrea Colpani,,,colpani-andrea,A. Colpani,M,28,186,944,M,,928122,EUR,926380800,M,23,23,False,18.0,16.0,2.0,2.0,0.0,6.0,7.0,10.0,15.0,,1.0,2.0,,,,,,83.0,36.0,6.6,13.0,0.00802579,,2,,4.0,,2.0,3.0,6.0,,2.0,1.0,2.0,1.0,,,,1.0,,,3.0,1.0,0.3537,,2.0,1.0,1.0,1.0,0.2073,,
12504696,home,Fiorentina,Lucas Beltrán,,,lucas-beltran,L. Beltrán,M,15,177,3780,M,beltranlucass,962029,EUR,985824000,M,9,9,False,13.0,11.0,,,1.0,4.0,4.0,7.0,9.0,1.0,,3.0,,,,,,77.0,25.0,7.6,4.0,0.222133,2.0,2,,,2.0,1.0,4.0,7.0,,2.0,1.0,3.0,1.0,,,,2.0,,,,1.0,0.1769,,1.0,,1.0,1.0,0.1721,,
12504696,home,Fiorentina,Riccardo Sottil,,,riccardo-sottil,R. Sottil,M,23,180,1381,M,,893640,EUR,928368000,M,7,7,False,20.0,17.0,1.0,,0.0,4.0,5.0,14.0,17.0,,1.0,4.0,,,,,,83.0,32.0,6.7,8.0,0.0949732,1.0,1,,2.0,2.0,,5.0,3.0,1.0,1.0,,,,,,,3.0,,,1.0,,0.0777,1.0,1.0,,1.0,,,,
