match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,playerName,reason,rescinded,id,isHome,incidentClass,player_id,player_name,length,injury,from,confirmed
11407361,FT,1.0,2.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,,,
11407361,,,,,90,7.0,,1,,,card,Noah Okafor,Foul,False,120875702.0,False,yellow,865523.0,Noah Okafor,,,,
11407361,,1.0,2.0,,90,2.0,,1,,,goal,,,,171794020.0,True,regular,148899.0,Leonardo Spinazzola,,,,
11407361,,,,,90,0.0,,1,,,injuryTime,,,,,,,,,6.0,,,
11407361,,,,,85,,,6,,,card,Romelu Lukaku,Foul,False,120875678.0,True,yellow,78893.0,Romelu Lukaku,,,,
11407361,,,,,79,,,12,,,substitution,,,,121979798.0,True,regular,,,,False,,
11407361,,,,,77,,,14,,,substitution,,,,121979770.0,False,regular,,,,False,,
11407361,,,,,77,,,14,,,substitution,,,,121979769.0,False,regular,,,,False,,
11407361,,,,,70,,,21,,,substitution,,,,121979731.0,True,regular,,,,False,,
11407361,,,,,70,,,21,,,substitution,,,,121979732.0,True,regular,,,,False,,
11407361,,,,,70,,,21,,,substitution,,,,121979733.0,False,regular,,,,False,,
11407361,,,,,70,,,21,,,substitution,,,,121979730.0,True,regular,,,,False,,
11407361,,,,,69,,,22,,,card,Leandro Paredes,Foul,False,120875632.0,True,yellow,255389.0,Leandro Paredes,,,,
11407361,,,,,65,,,26,,,substitution,,,,121979682.0,False,regular,,,,False,,
11407361,,,,,61,,,30,,,card,Fikayo Tomori,Foul,False,120875596.0,False,yellowRed,788255.0,Fikayo Tomori,,,,
11407361,,0.0,2.0,,48,,,43,,,goal,,,,171792922.0,False,regular,851284.0,Rafael Leão,,,,
11407361,HT,0.0,1.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,,,
11407361,,,,,45,0.0,,1,,,injuryTime,,,,,,,,,4.0,,,
11407361,,,,,34,,,12,,,card,Ruben Loftus-Cheek,Foul,False,120875421.0,False,yellow,284441.0,Ruben Loftus-Cheek,,,,
11407361,,,,,31,,,15,,,substitution,,,,121979273.0,True,injury,,,,True,,
11407361,,,,,19,,,27,,,card,Fikayo Tomori,Foul,False,120875362.0,False,yellow,788255.0,Fikayo Tomori,,,,
11407361,,0.0,1.0,,9,,,37,,,goal,,,,171791203.0,False,penalty,39070.0,Olivier Giroud,,,penalty,
11407361,,,,,7,,,39,,,varDecision,,,,19921.0,False,penaltyNotAwarded,284441.0,Ruben Loftus-Cheek,,,,False
