match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_accurateLongBalls,stat_accurateOppositionHalfPasses,stat_totalCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_blockedScoringAttempt,stat_totalTackle,stat_unsuccessfulTouch,stat_totalOffside,stat_expectedGoals,stat_keyPass,stat_aerialLost,stat_aerialWon,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_interceptionWon,stat_wonTackle,stat_wasFouled,stat_fouls,player_sofascoreId,stat_dispossessed,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,captain,stat_accurateCross,stat_bigChanceMissed,stat_outfielderBlock,stat_goalAssist,stat_hitWoodwork,stat_penaltyWon,stat_bigChanceCreated,stat_penaltyFaced,stat_punches,stat_penaltyConceded
10411573,home,Roma,Mile Svilar,svilar-mile,M. Svilar,G,99,189,4489,M,793986,EUR,935712000,G,99,99,False,10.0,8.0,2.0,8.0,9.0,1.0,1.0,9.0,1.0,1.0,90.0,20.0,6.4,2.0,4.722e-05,0,-0.7256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10411573,home,Roma,Zeki Çelik,zeki-celik,Z. Çelik,D,19,180,2880,M,893008,EUR,856137600,D,19,19,False,36.0,33.0,4.0,17.0,18.0,20.0,,4.0,,,45.0,50.0,6.6,8.0,0.0243234,1,,,,2.0,16.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0158,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
10411573,home,Roma,Gianluca Mancini,gianluca-mancini,G. Mancini,D,23,190,4038,M,611210,EUR,829699200,D,23,23,False,79.0,73.0,9.0,40.0,41.0,40.0,2.0,4.0,,,82.0,91.0,7.3,9.0,0.152233,1,,,,5.0,33.0,2.0,4.0,8.0,,,3.0,1.0,,0.0118,1.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,
10411573,home,Roma,Chris Smalling,chris-smalling,C. Smalling,D,5,192,1660,M,47741,EUR,627696000,D,6,6,False,61.0,60.0,4.0,41.0,42.0,19.0,3.0,2.0,,,90.0,70.0,7.0,2.0,0.00526409,1,,,,4.0,19.0,,2.0,1.0,,,,1.0,,0.022,,2.0,1.0,,,1.0,3.0,,,,,,,,,,,,,,,,,,,
10411573,home,Roma,Nicola Zalewski,nicola-zalewski,N. Zalewski,M,59,175,16244,M,984184,EUR,1011744000,D,59,59,False,59.0,55.0,10.0,33.0,34.0,30.0,3.0,2.0,,,90.0,99.0,7.7,17.0,0.0878857,1,,,,8.0,22.0,5.0,7.0,7.0,,,2.0,3.0,,0.0242,,1.0,,5.0,3.0,,1.0,,2.0,3.0,nico_zale,1.0,1.0,1.0,0.2326,,,,,,,,,,,
10411573,home,Roma,Edoardo Bove,edoardo-bove,E. Bove,M,,181,2073,M,986352,EUR,1021507200,M,52,52,False,17.0,11.0,1.0,6.0,6.0,12.0,2.0,3.0,,,64.0,27.0,6.7,7.0,0.00137125,0,,,,,5.0,1.0,2.0,5.0,,,1.0,,,,,1.0,2.0,,,,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,
10411573,home,Roma,Bryan Cristante,bryan-cristante,B. Cristante,M,4,186,2731,M,186855,EUR,794188800,M,4,4,False,70.0,56.0,18.0,14.0,18.0,52.0,1.0,8.0,,,90.0,79.0,7.3,15.0,0.0246166,1,,,,12.0,42.0,,6.0,10.0,,,3.0,,,0.0798,1.0,1.0,5.0,3.0,2.0,1.0,,2.0,,4.0,,,,,,,,,,,,,,,,
10411573,home,Roma,Lorenzo Pellegrini,lorenzo-pellegrini,L. Pellegrini,M,7,186,5687,M,555540,EUR,835142400,M,7,7,False,34.0,27.0,,9.0,9.0,32.0,1.0,4.0,,,90.0,55.0,6.9,15.0,0.194941,3,,,,,20.0,7.0,2.0,4.0,,,1.0,2.0,,0.6315,1.0,,1.0,,,2.0,,,2.0,1.0,lorepelle7,1.0,1.0,,0.0215,True,2.0,1.0,,,,,,,,
10411573,home,Roma,Paulo Dybala,paulo-dybala,P. Dybala,F,21,177,117714,M,256219,EUR,753321600,F,21,21,False,39.0,33.0,5.0,11.0,11.0,32.0,,7.0,,,90.0,68.0,7.9,16.0,0.106881,5,,,,4.0,23.0,4.0,5.0,8.0,,,,3.0,,0.9751,1.0,1.0,,4.0,2.0,3.0,,,6.0,,LaJoya,2.0,2.0,1.0,1.0039,,1.0,,1.0,,,,,,,
10411573,home,Roma,Andrea Belotti,andrea-belotti,A. Belotti,F,19,181,3521,M,220223,EUR,756345600,F,11,11,False,9.0,7.0,,1.0,2.0,7.0,1.0,1.0,,,64.0,16.0,6.4,6.0,0.00357322,1,,,,,6.0,,3.0,1.0,,1.0,,2.0,,0.1122,,2.0,,1.0,,,,,1.0,,gallobelotti,,,,,,,,,,,,,,,
