match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalTackle,stat_unsuccessfulTouch,stat_fouls,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_bigChanceCreated,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_wonTackle,stat_wasFouled,stat_keyPass,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,player_firstName,player_lastName,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_hitWoodwork,stat_goalAssist,stat_bigChanceMissed,stat_totalOffside,captain
10913393,home,Al-Nassr,Agustín Rossi,agustin-rossi,A. Rossi,G,1,195.0,10864,M,AgustinRossi,1140986,EUR,808963200.0,G,22,22,False,17.0,16.0,3.0,3.0,13.0,14.0,3.0,3.0,10.0,1.0,1.0,2.0,90.0,27.0,6.6,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10913393,home,Al-Nassr,Sultan Al-Ghannam,sultan-al-ghannam,S. Al-Ghannam,D,2,173.0,1607,M,,830126,EUR,768182400.0,D,2,2,False,46.0,38.0,4.0,2.0,15.0,18.0,23.0,37.0,8.0,,,,85.0,64.0,6.4,20.0,0,9.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
10913393,home,Al-Nassr,Ali Lajami,ali-lajami,A. Lajami,D,78,175.0,1281,M,,818667,EUR,830390400.0,D,78,78,False,79.0,72.0,15.0,10.0,27.0,27.0,46.0,53.0,8.0,,,,90.0,90.0,7.9,8.0,0,1.0,4.0,6.0,1.0,,4.0,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,,,,,,,,,,,,,
10913393,home,Al-Nassr,Álvaro González,alvaro-gonzalez,Á. González,D,,183.0,313,M,,150212,EUR,631756800.0,D,21,21,False,97.0,85.0,9.0,5.0,41.0,44.0,44.0,53.0,4.0,,,,85.0,106.0,7.7,12.0,2,,,7.0,,,1.0,,,,,5.0,,3.0,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,
10913393,home,Al-Nassr,Ghislain Konan,ghislain-konan,G. Konan,D,3,176.0,2811,M,,831781,EUR,820022400.0,D,13,13,False,62.0,56.0,2.0,1.0,14.0,15.0,46.0,55.0,1.0,,,,90.0,95.0,7.4,14.0,0,8.0,3.0,8.0,,1.0,1.0,1.0,1.0,4.0,,,,1.0,,,1.0,3.0,3.0,,,,Ghislain,Konan,5.0,4.0,,,,,,
10913393,home,Al-Nassr,Luiz Gustavo,luiz-gustavo,L. Gustavo,M,14,187.0,2128,M,,29735,EUR,553996800.0,M,18,18,False,60.0,55.0,7.0,6.0,20.0,22.0,35.0,39.0,7.0,,,,90.0,72.0,7.7,8.0,3,1.0,4.0,5.0,2.0,,2.0,,2.0,,,2.0,,,,3.0,2.0,1.0,2.0,2.0,,,,,,,1.0,1.0,,,,
10913393,home,Al-Nassr,Anderson Talisca,anderson-talisca,A. Talisca,M,94,191.0,20484,M,AndersonTalisca,329245,EUR,760060800.0,M,94,94,False,32.0,28.0,2.0,1.0,6.0,6.0,22.0,28.0,4.0,,,,90.0,49.0,6.7,10.0,2,2.0,6.0,8.0,2.0,,4.0,1.0,1.0,,1.0,1.0,,,,,2.0,1.0,1.0,,1.0,,,,4.0,2.0,1.0,,,,,
10913393,home,Al-Nassr,Abdulmajeed Al-Sulaiheem,abdulmajeed-al-sulaiheem,A. Al-Sulaiheem,M,8,165.0,600,M,,538320,EUR,768960000.0,M,8,8,False,65.0,55.0,6.0,3.0,11.0,13.0,44.0,54.0,5.0,,,,89.0,74.0,6.9,13.0,1,2.0,5.0,3.0,2.0,1.0,,,1.0,,1.0,,,1.0,,,,,,,,,,,3.0,3.0,1.0,,,,,
10913393,home,Al-Nassr,Ali Al-Hassan,ali-al-hassan,A. Al-Hassan,M,19,183.0,1000,M,,925947,EUR,857433600.0,M,19,19,False,35.0,34.0,,,11.0,11.0,23.0,24.0,2.0,,,,71.0,50.0,6.3,7.0,0,,9.0,4.0,3.0,2.0,3.0,3.0,1.0,,2.0,,,,,,1.0,1.0,2.0,,,,,,1.0,,,,,,,
10913393,home,Al-Nassr,Abdulrahman Ghareeb,abdulrahman-ghareeb,A. Ghareeb,F,29,164.0,2201,M,,1014447,EUR,859766400.0,M,29,29,False,46.0,43.0,2.0,1.0,4.0,4.0,46.0,54.0,2.0,,,,89.0,75.0,7.6,16.0,2,12.0,4.0,6.0,,1.0,,6.0,3.0,7.0,1.0,,,,,,,1.0,4.0,1.0,,,,,6.0,5.0,1.0,,1.0,1.0,1.0,
