match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalClearance,stat_ballRecovery,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_fouls,player_sofascoreId,captain,stat_aerialLost,stat_challengeLost,stat_wonContest,stat_shotOffTarget,stat_blockedScoringAttempt,stat_interceptionWon,stat_wasFouled,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_totalOffside,stat_keyPass,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_bigChanceMissed,stat_outfielderBlock,stat_bigChanceCreated,stat_savedShotsFromInsideTheBox,stat_saves
10583813,home,Al-Ittihad,Marcelo Grohe,marcelo-grohe,M. Grohe,G,43,188.0,626,M,39427,EUR,537494400.0,G,34,34,False,13.0,12.0,1.0,1.0,12.0,13.0,1.0,11.0,90.0,21.0,6.9,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10583813,home,Al-Ittihad,Omar Hawsawi,omar-hawsawi,O. Hawsawi,D,,184.0,54,M,350072,EUR,496627200.0,D,5,5,False,51.0,44.0,5.0,2.0,27.0,31.0,1.0,5.0,90.0,57.0,6.6,9.0,0,17.0,20.0,1.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
10583813,home,Al-Ittihad,Ahmed Hegazy,ahmed-hegazy,A. Hegazy,D,26,194.0,4623,M,159653,EUR,664761600.0,D,26,26,False,54.0,48.0,10.0,7.0,32.0,33.0,3.0,3.0,90.0,63.0,7.3,6.0,3,16.0,21.0,5.0,3.0,7.0,,1.0,1.0,ahmedhegazy6,True,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
10583813,home,Al-Ittihad,Ahmed Sharahili,ahmed-sharahili,A. Sharahili,D,20,184.0,296,M,794331,EUR,768355200.0,D,20,20,False,54.0,50.0,5.0,3.0,36.0,37.0,1.0,4.0,90.0,55.0,6.6,4.0,0,14.0,17.0,,3.0,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,
10583813,home,Al-Ittihad,Abdulrahman Alobud,abdulrahman-alobud,A. Alobud,M,24,174.0,531,M,872275,EUR,801964800.0,M,24,24,False,33.0,23.0,3.0,1.0,8.0,8.0,1.0,4.0,74.0,61.0,7.2,19.0,1,16.0,31.0,,4.0,3.0,2.0,5.0,,,,,,3.0,,,1.0,,,,6.0,1.0,1.0,1.0,1.0,3.0,,,,,,,,
10583813,home,Al-Ittihad,Tarek Hamed,hamed-tarek,T. Hamed,M,8,165.0,561,M,560168,EUR,593654400.0,M,3,3,False,65.0,58.0,8.0,6.0,35.0,36.0,,10.0,90.0,72.0,7.2,10.0,0,23.0,30.0,2.0,1.0,5.0,,,1.0,,,,,,,,,2.0,,,1.0,,,,,1.0,1.0,1.0,1.0,,,,,
10583813,home,Al-Ittihad,Bruno Henrique,bruno-henrique,B. Henrique,M,8,180.0,899,M,345113,EUR,624931200.0,M,19,19,False,32.0,29.0,2.0,1.0,20.0,21.0,1.0,,63.0,38.0,6.4,6.0,1,9.0,11.0,1.0,3.0,1.0,,1.0,1.0,,,1.0,,,1.0,,1.0,,,,,,,,,1.0,,,2.0,1.0,,,,
10583813,home,Al-Ittihad,Hamdan Al-Shamrani,hamdan-al-shamrani,H. Al-Shamrani,D,27,176.0,29,M,882132,EUR,850521600.0,M,27,27,False,21.0,17.0,2.0,1.0,10.0,12.0,2.0,2.0,68.0,38.0,6.8,7.0,0,7.0,9.0,2.0,2.0,4.0,,1.0,,,,1.0,,,,,1.0,1.0,,,,,,,,,1.0,1.0,1.0,,1.0,,,
10583813,home,Al-Ittihad,Hélder Costa,helder-costa,H. Costa,F,,178.0,550,,138891,EUR,758332800.0,F,17,17,False,24.0,20.0,1.0,,4.0,5.0,,4.0,90.0,48.0,7.0,16.0,2,16.0,20.0,,11.0,6.0,3.0,6.0,1.0,,,1.0,2.0,2.0,1.0,,,1.0,,,1.0,,1.0,,1.0,3.0,3.0,,4.0,,,,,
10583813,home,Al-Ittihad,Romarinho,romarinho,Romarinho,M,,176.0,1742,M,797619,EUR,660960000.0,F,90,90,False,29.0,22.0,,,6.0,6.0,,2.0,90.0,45.0,6.3,15.0,6,16.0,24.0,1.0,6.0,1.0,3.0,2.0,1.0,,,,,,2.0,1.0,1.0,,,,1.0,,3.0,,,,,,2.0,,,,,
