match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,captain,stat_outfielderBlock,stat_errorLeadToAGoal,stat_challengeLost,stat_wasFouled,stat_accurateCross,stat_dispossessed,stat_totalContest,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotOffTarget,stat_blockedScoringAttempt,stat_wonContest,stat_totalOffside,stat_keyPass,stat_bigChanceCreated,stat_goodHighClaim,stat_goals,player_sofascoreId,stat_hitWoodwork
12421050,home,KV Kortrijk,Patrik Sigurdur Gunnarsson,,,patrik-sigurdur-gunnarsson,P. S. Gunnarsson,G,31,188,108,M,879496,EUR,974246400,G,31,31,False,27.0,12.0,22.0,7.0,0.0,7.0,9.0,5.0,18.0,1.0,10.0,2.0,3.0,1.0,1.0,90.0,39.0,6.4,15.0,0.00264655,0,-0.2994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12421050,home,KV Kortrijk,Mark Mampasi,,,mark-mampasi,M. Mampasi,D,18,185,119,M,998740,EUR,1047427200,D,4,4,False,28.0,20.0,5.0,3.0,0.0,13.0,17.0,7.0,12.0,4.0,2.0,,,,,90.0,42.0,6.5,12.0,0.00806662,0,,1.0,3.0,5.0,4.0,6.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,
12421050,home,KV Kortrijk,João Silva,,,joao-silva,J. Silva,D,6,187,281,M,1068519,EUR,916272000,D,44,44,False,17.0,12.0,1.0,1.0,0.0,7.0,9.0,5.0,8.0,2.0,2.0,,,,,58.0,26.0,6.1,6.0,0.0142098,0,,,4.0,2.0,5.0,2.0,3.0,,,1.0,2.0,True,1.0,1.0,,,,,,,,,,,,,,,,,,,
12421050,home,KV Kortrijk,Bram Lagae,Bram,Lagae,bram-lagae,B. Lagae,D,4,183,177,M,1126688,EUR,1074038400,D,26,26,False,39.0,26.0,15.0,7.0,0.0,11.0,18.0,15.0,22.0,3.0,6.0,,,,,90.0,57.0,5.8,18.0,0.00695019,0,,1.0,,1.0,4.0,3.0,,,,,3.0,,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,
12421050,home,KV Kortrijk,Gilles Dewaele,,,gilles-dewaele,G. Dewaele,D,20,180,52,M,285943,EUR,824169600,M,20,20,False,31.0,19.0,4.0,1.0,0.0,10.0,13.0,11.0,20.0,4.0,3.0,,,,,90.0,53.0,6.4,17.0,0.0113937,1,,2.0,2.0,3.0,6.0,5.0,1.0,2.0,2.0,1.0,1.0,,1.0,,,,2.0,2.0,1.0,1.0,1.0,0.205,0.4391,,,,,,,,,,
12421050,home,KV Kortrijk,Brecht Dejaegere,,,brecht-dejaegere,B. Dejaegere,M,19,174,155,M,122859,EUR,675475200,M,16,16,False,20.0,17.0,,,0.0,2.0,2.0,15.0,19.0,,1.0,,,,,72.0,33.0,6.6,10.0,0.0126007,1,,1.0,,1.0,6.0,3.0,1.0,2.0,2.0,2.0,2.0,,,,,,,2.0,2.0,,,0.0277,,1.0,,,,,,,,,
12421050,home,KV Kortrijk,Tomoki Takamine,,,takamine-tomoki,T. Takamine,M,31,177,78,M,981064,EUR,883353600,M,23,23,False,30.0,24.0,3.0,3.0,0.0,10.0,11.0,14.0,19.0,,6.0,,,,,87.0,39.0,7.1,6.0,0.00839435,2,,,,1.0,4.0,6.0,,1.0,,,3.0,,,,1.0,4.0,,,,,1.0,0.0573,0.0726,1.0,,,,,,,,,
12421050,home,KV Kortrijk,Abdelkahar Kadri,,,abdelkahar-kadri,A. Kadri,M,37,170,2010,M,1007528,EUR,961804800,M,10,10,False,28.0,26.0,2.0,2.0,0.0,7.0,7.0,19.0,24.0,1.0,8.0,,,,,86.0,56.0,6.7,12.0,0.0288115,1,,3.0,,,7.0,5.0,3.0,2.0,2.0,2.0,2.0,,,,,3.0,,3.0,2.0,,,0.0349,,,1.0,,,,,,,,
12421050,home,KV Kortrijk,Dion De Neve,,,dion-de-neve,D. D. Neve,M,14,180,102,M,923974,EUR,992304000,M,11,11,False,21.0,17.0,1.0,,0.0,6.0,7.0,12.0,23.0,2.0,4.0,,,,,90.0,47.0,6.7,18.0,0.115796,0,,9.0,3.0,1.0,6.0,3.0,2.0,1.0,1.0,3.0,,,,,,,1.0,3.0,1.0,,,,,,,1.0,,,,,,,
12421050,home,KV Kortrijk,Takuro Kaneko,,,kaneko-takuro,T. Kaneko,M,77,178,740,M,980430,EUR,870220800,F,30,30,False,30.0,22.0,1.0,1.0,0.0,5.0,8.0,17.0,24.0,,5.0,,,,,90.0,44.0,6.7,16.0,0.0242773,0,,2.0,,,2.0,2.0,1.0,1.0,1.0,4.0,,,,,,,,1.0,2.0,,,,,,,1.0,2.0,1.0,,,,,
