match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_shotOffTarget,stat_totalClearance,stat_clearanceOffLine,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_errorLeadToAGoal,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,captain,stat_totalContest,stat_wonContest,stat_errorLeadToAShot,stat_wasFouled,stat_keyPass,stat_challengeLost,stat_penaltyConceded,stat_dispossessed,stat_blockedScoringAttempt,stat_onTargetScoringAttempt,stat_totalOffside,stat_expectedGoalsOnTarget,stat_accurateCross,stat_penaltyWon,stat_bigChanceMissed,stat_goals,stat_hitWoodwork,stat_bigChanceCreated
12436520,home,Southampton,Aaron Ramsdale,,,aaron-ramsdale,A. Ramsdale,G,32,191,8533,M,ARamsdale,839410,EUR,895104000,G,30,30,False,33.0,17.0,24.0,9.0,0.0,9.0,15.0,8.0,18.0,14.0,2.0,4.0,1.0,5.0,90.0,49.0,7.2,17.0,0.00264649,0,-0.5164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12436520,home,Southampton,Taylor Harwood-Bellis,,,taylor-harwood-bellis,T. Harwood-Bellis,D,6,185,1654,M,,980637,EUR,1012348800,D,6,6,False,70.0,58.0,7.0,2.0,0.0,27.0,30.0,31.0,42.0,6.0,,,,,90.0,83.0,6.5,15.0,0.0354248,1,,2.0,2.0,1.0,4.0,3.0,1.0,3.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0192,,,,,,,,,,,,,,,,,,,
12436520,home,Southampton,Jan Bednarek,,,jan-bednarek,J. Bednarek,D,5,189,6978,M,janbednarek_,286085,EUR,829267200,D,35,35,False,51.0,49.0,,,0.0,32.0,33.0,17.0,18.0,5.0,,,,,90.0,67.0,6.3,3.0,0.016412,0,,,,4.0,,8.0,,7.0,,,1.0,2.0,1.0,,1.0,1.0,,True,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
12436520,home,Southampton,Nathan Wood,,,nathan-wood,N. Wood,D,15,188,204,M,,944200,EUR,1022803200,D,15,15,False,28.0,27.0,,,0.0,12.0,13.0,15.0,16.0,1.0,,,,,45.0,34.0,6.6,2.0,0.00829546,0,,1.0,1.0,1.0,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12436520,home,Southampton,James Bree,,,james-bree,J. Bree,D,14,178,148,M,,555406,EUR,881798400,M,14,14,False,29.0,27.0,1.0,,0.0,10.0,10.0,17.0,20.0,5.0,,,,,45.0,35.0,6.7,4.0,0.117497,0,,1.0,,,1.0,,,1.0,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,
12436520,home,Southampton,Lesley Ugochukwu,,,lesley-ugochukwu,L. Ugochukwu,M,8,188,5004,M,l.ugochukwu8,1048916,EUR,1080259200,M,26,26,False,28.0,22.0,2.0,1.0,0.0,12.0,14.0,10.0,14.0,5.0,,,,,90.0,42.0,6.3,8.0,0.0070212,0,,,1.0,2.0,6.0,10.0,,2.0,,,,8.0,4.0,,1.0,2.0,,,1.0,,,,,2.0,1.0,,,,,,,,,,,
12436520,home,Southampton,Joe Aribo,,,joe-aribo,J. Aribo,M,18,183,1387,M,,818073,EUR,837907200,M,7,7,False,42.0,40.0,1.0,1.0,0.0,13.0,14.0,27.0,28.0,5.0,,,,,87.0,54.0,6.6,5.0,0.0380432,0,,,2.0,,3.0,3.0,,1.0,,,1.0,1.0,,1.0,2.0,,,,2.0,1.0,,1.0,4.0,,,,,,,,,,,,,
12436520,home,Southampton,Kyle Walker-Peters,,,kyle-walker-peters,K. Walker-Peters,D,2,173,1504,M,,823085,EUR,860889600,M,2,2,False,46.0,41.0,3.0,,0.0,12.0,15.0,29.0,34.0,3.0,,,,,90.0,68.0,5.8,16.0,0.0431297,3,,3.0,,,7.0,1.0,1.0,2.0,,,,,,,2.0,3.0,0.0978,,4.0,1.0,1.0,,,,,1.0,2.0,,,,,,,,,
12436520,home,Southampton,Tyler Dibling,Tyler,Dibling,tyler-dibling,T. Dibling,M,20,178,2847,M,,1174472,EUR,1140134400,F,33,33,False,36.0,28.0,2.0,1.0,0.0,10.0,10.0,18.0,27.0,2.0,,,,,90.0,54.0,6.9,15.0,0.0316164,2,,1.0,1.0,,6.0,6.0,2.0,1.0,,,,1.0,1.0,,1.0,,0.043,,5.0,4.0,,1.0,,,,4.0,,,,,,,,,,
12436520,home,Southampton,Paul Onuachu,,,paul-onuachu,P. Onuachu,F,30,201,6601,M,,295123,EUR,770083200,F,32,32,False,12.0,7.0,1.0,,0.0,2.0,3.0,5.0,9.0,,,,,,55.0,20.0,6.7,9.0,0.00756984,1,,,4.0,6.0,7.0,8.0,,,,,,1.0,,,2.0,1.0,0.1194,,1.0,1.0,,,,,,2.0,,1.0,1.0,0.6466,,,,,,
