match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,captain,stat_aerialWon,stat_interceptionWon,player_firstName,player_lastName,stat_keyPass,stat_outfielderBlock,player_sofascoreId,stat_dispossessed,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_totalOffside,stat_goalAssist,stat_bigChanceCreated,stat_shotOffTarget,stat_goals,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_accurateCross,stat_bigChanceMissed
11453067,home,Al-Fayha,Abdulraoof Al-Deqeel,abdulraoof-al-deqeel,A. Al-Deqeel,G,1,180.0,5,M,868411,EUR,807494400.0,G,1,1,False,25.0,18.0,12.0,5.0,14.0,14.0,4.0,11.0,9.0,90.0,33.0,6.3,7.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11453067,home,Al-Fayha,Mohammed Al Baqawi,mohammed-al-baqawi,M. A. Baqawi,D,22,170.0,21,M,893199,EUR,805507200.0,D,22,22,False,39.0,35.0,1.0,1.0,21.0,23.0,14.0,18.0,1.0,90.0,62.0,6.8,7.0,0,2.0,1.0,5.0,7.0,2.0,1.0,1.0,3.0,4.0,2.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,
11453067,home,Al-Fayha,Sami Al-Khaibary,sami-al-khaibary,S. Al-Khaibary,D,4,185.0,15,M,893198,EUR,622080000.0,D,4,4,False,51.0,46.0,9.0,4.0,37.0,37.0,9.0,14.0,5.0,90.0,59.0,6.6,5.0,0,,2.0,3.0,3.0,,,,2.0,,,,2.0,1.0,True,1.0,1.0,,,,,,,,,,,,,,,,,,
11453067,home,Al-Fayha,Hussain Al-Shuweish,hussain-al-showaish,H. Al-Shuweish,D,33,185.0,17,M,818758,EUR,625881600.0,D,33,33,False,70.0,55.0,14.0,5.0,39.0,45.0,16.0,25.0,,90.0,82.0,6.7,16.0,0,,4.0,6.0,4.0,1.0,,,6.0,1.0,1.0,,,1.0,,3.0,2.0,,,,,,,,,,,,,,,,,,
11453067,home,Al-Fayha,Ghislain Konan,ghislain-konan,G. Konan,D,3,176.0,2811,M,831781,EUR,820022400.0,D,3,3,False,48.0,42.0,1.0,,22.0,23.0,20.0,28.0,3.0,90.0,70.0,7.1,11.0,0,3.0,,1.0,4.0,,4.0,3.0,3.0,1.0,1.0,1.0,,,,,1.0,Ghislain,Konan,2.0,,,,,,,,,,,,,,,
11453067,home,Al-Fayha,Abdulrahman Al-Safri,abdulrahman-al-safri,A. Al-Safri,M,8,176.0,22,M,990187,EUR,733536000.0,M,8,8,False,42.0,37.0,1.0,,20.0,22.0,17.0,20.0,4.0,64.0,50.0,6.4,10.0,0,,,4.0,1.0,,1.0,,1.0,,,4.0,,3.0,,1.0,,,,,,,,,,,,,,,,,,,
11453067,home,Al-Fayha,Rakan Kaabi,rakan-kaabi,R. Kaabi,M,6,170.0,25,M,1171233,EUR,1038787200.0,M,66,66,False,47.0,42.0,3.0,,29.0,31.0,13.0,16.0,6.0,89.0,56.0,6.6,5.0,0,,,4.0,2.0,1.0,,,2.0,1.0,1.0,,1.0,3.0,,,1.0,Rakan Kaabi,,,1.0,,,,,,,,,,,,,,
11453067,home,Al-Fayha,Gojko Cimirot,gojko-cimirot,G. Cimirot,M,59,178.0,253,M,116604,EUR,724723200.0,M,13,13,False,45.0,43.0,4.0,3.0,21.0,22.0,22.0,23.0,,79.0,50.0,6.6,4.0,0,,1.0,3.0,2.0,,1.0,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
11453067,home,Al-Fayha,Fashion Sakala,fashion-sakala,F. Sakala,F,10,178.0,8842,M,876626,EUR,858297600.0,F,17,17,False,26.0,22.0,,,9.0,9.0,13.0,18.0,4.0,90.0,45.0,6.9,10.0,2,1.0,,5.0,2.0,,4.0,2.0,2.0,,,2.0,,2.0,,,2.0,,,1.0,,fashionjr10,1.0,1.0,1.0,1.0,,,,,,,,,
11453067,home,Al-Fayha,Abdelhamid Sabiri,abdelhamid-sabiri,A. Sabiri,M,11,186.0,4174,M,807400,EUR,849139200.0,F,77,77,False,55.0,43.0,1.0,1.0,19.0,19.0,24.0,37.0,1.0,90.0,74.0,7.5,20.0,2,1.0,3.0,10.0,14.0,,5.0,2.0,,1.0,,2.0,4.0,3.0,,7.0,,,,1.0,,abdelhamidsabiri,1.0,1.0,,,1.0,1.0,1.0,,,,,,
