match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_unsuccessfulTouch,captain,stat_keyPass,stat_accurateCross,stat_goalAssist,stat_bigChanceMissed,stat_goals,player_sofascoreId,stat_blockedScoringAttempt,stat_bigChanceCreated,stat_totalOffside,stat_goodHighClaim,stat_outfielderBlock
10389819,home,Stade de Reims,Yehvann Diouf,,,yehvann-diouf,Y. Diouf,G,80,188,2968,M,845183,EUR,942710400,G,94,94,False,30.0,21.0,19.0,10.0,20.0,25.0,1.0,5.0,5.0,1.0,2.0,90.0,37.0,7.2,10.0,0.0,0.0,0.00029262,0,0.2609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10389819,home,Stade de Reims,Thomas Foket,,,thomas-foket,T. Foket,D,25,177,267,M,245615,EUR,780451200,D,32,32,False,48.0,45.0,3.0,3.0,29.0,32.0,16.0,18.0,7.0,,,90.0,70.0,7.0,9.0,0.0,0.0,0.0102622,0,,2.0,1.0,1.0,8.0,8.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,,,,,,,,,,,,,,,
10389819,home,Stade de Reims,Emmanuel Agbadou,,,emmanuel-agbadou,E. Agbadou,D,12,192,3192,M,1013842,EUR,866505600,D,24,24,False,50.0,42.0,10.0,6.0,30.0,34.0,12.0,16.0,13.0,,,90.0,63.0,7.4,11.0,0.0696,0.7284,0.00832322,2,,,2.0,2.0,3.0,5.0,,,1.0,1.0,1.0,2.0,2.0,1.0,,1.0,1.0,1.0,2.0,,,,,,,,,,,,
10389819,home,Stade de Reims,Yunis Abdelhamid,,,yunis-abdelhamid,Y. Abdelhamid,D,5,190,1888,M,178721,EUR,559785600,D,5,5,False,59.0,47.0,11.0,6.0,29.0,32.0,18.0,27.0,4.0,,,90.0,72.0,7.5,13.0,0.0,0.0,0.013112,0,,,2.0,2.0,4.0,7.0,,1.0,1.0,1.0,5.0,2.0,2.0,,2.0,1.0,,,,True,2.0,,,,,,,,,,
10389819,home,Stade de Reims,Thibault De Smet,,,thibault-de-smet,T. D. Smet,D,28,182,215,M,844744,EUR,897004800,D,25,25,False,54.0,46.0,9.0,7.0,21.0,25.0,26.0,31.0,11.0,,,90.0,82.0,7.5,13.0,0.0,0.0,0.0548254,0,,2.0,1.0,1.0,4.0,6.0,,,2.0,1.0,2.0,3.0,1.0,,3.0,2.0,,,1.0,,,1.0,,,,,,,,,
10389819,home,Stade de Reims,Marshall Munetsi,,,marshall-munetsi,M. Munetsi,M,18,187,1937,M,894733,EUR,835401600,M,15,15,False,32.0,23.0,1.0,1.0,7.0,8.0,16.0,25.0,6.0,,,64.0,47.0,7.9,14.0,0.6935,0.8985,0.0440394,2,,1.0,1.0,2.0,5.0,7.0,,,2.0,,1.0,,4.0,3.0,1.0,2.0,1.0,1.0,2.0,,1.0,,1.0,1.0,1.0,,,,,,
10389819,home,Stade de Reims,Azor Matusiwa,,,azor-matusiwa,A. Matusiwa,M,5,173,458,M,856495,EUR,893721600,M,21,21,False,46.0,37.0,4.0,1.0,23.0,23.0,14.0,23.0,8.0,,,88.0,57.0,6.8,11.0,0.0,0.0,0.0250474,0,,,1.0,1.0,4.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,,,,,,,,1.0,,,,,,,,,,
10389819,home,Stade de Reims,Junya Ito,,,junya-ito,J. Ito,M,10,176,4867,M,783278,EUR,731635200,M,39,39,False,25.0,17.0,1.0,,4.0,4.0,17.0,29.0,6.0,,,90.0,47.0,7.7,16.0,0.3209,0.4338,0.590022,2,,8.0,1.0,2.0,4.0,8.0,1.0,2.0,2.0,2.0,,,3.0,2.0,1.0,,1.0,1.0,2.0,,4.0,4.0,1.0,1.0,,ItouJky,,,,,
10389819,home,Stade de Reims,Myziane Maolida,,,maolida-myziane,M. Maolida,M,9,180,635,M,851262,EUR,918950400,M,11,11,False,39.0,28.0,1.0,1.0,6.0,7.0,22.0,32.0,7.0,,,72.0,54.0,7.2,18.0,0.1416,0.4372,0.0627089,3,,,1.0,1.0,6.0,5.0,1.0,3.0,3.0,2.0,,,2.0,1.0,,1.0,,2.0,3.0,,,,,,1.0,,1.0,,,,
10389819,home,Stade de Reims,Alexis Flips,,,flips-alexis,A. Flips,M,70,173,226,M,879672,EUR,948153600,M,70,70,False,28.0,17.0,5.0,2.0,3.0,3.0,14.0,30.0,8.0,,,72.0,57.0,8.4,24.0,0.2782,0.0413,0.250968,2,,5.0,4.0,,7.0,5.0,1.0,1.0,,,,1.0,3.0,,2.0,2.0,1.0,1.0,6.0,,3.0,,2.0,,,,,2.0,,,
