match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_goalAssist,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_keyPass,captain,stat_challengeLost,stat_dispossessed,stat_interceptionWon,stat_unsuccessfulTouch,stat_outfielderBlock,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_expectedGoals,stat_bigChanceMissed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,player_sofascoreId,stat_goals,stat_totalOffside,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper
11450025,home,Antalyaspor,Helton Leite,,,helton-leite,H. Leite,G,23,196,372,M,329081,EUR,657504000,G,1,1,False,32.0,30.0,3.0,1.0,30.0,31.0,1.0,2.0,7.0,2.0,5.0,1.0,90.0,45.0,7.5,2.0,8.885e-05,0,0.6229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11450025,home,Antalyaspor,Erdoğan Yeşilyurt,,,erdogan-yesilyurt,E. Yeşilyurt,D,17,178,77,M,142541,EUR,752544000,D,17,17,False,47.0,40.0,2.0,1.0,20.0,22.0,28.0,1.0,3.0,,,,82.0,65.0,7.3,10.0,0.112201,0,,1.0,21.0,3.0,1.0,1.0,2.0,2.0,8.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
11450025,home,Antalyaspor,Veysel Sarı,,,veysel-sari,V. Sarı,D,89,185,109,M,98276,EUR,585792000,D,89,89,False,75.0,69.0,10.0,7.0,42.0,44.0,33.0,2.0,3.0,,,,90.0,92.0,7.0,11.0,0.0552868,0,,,28.0,2.0,1.0,2.0,1.0,8.0,5.0,,,2.0,1.0,2.0,1.0,1.0,True,3.0,2.0,3.0,2.0,,,,,,,,,,,,,,
11450025,home,Antalyaspor,Ömer Toprak,,,omer-toprak,Ö. Toprak,D,,187,127,M,39015,EUR,616982400,D,21,21,False,81.0,76.0,10.0,8.0,56.0,57.0,24.0,3.0,2.0,,,,90.0,95.0,7.6,7.0,0.00532777,0,,1.0,20.0,,,,,1.0,4.0,1.0,1.0,2.0,2.0,1.0,,1.0,,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,
11450025,home,Antalyaspor,Güray Vural,,,guray-vural,G. Vural,D,77,177,69,M,43559,EUR,581990400,D,11,11,False,66.0,58.0,6.0,2.0,35.0,38.0,35.0,3.0,5.0,,,,90.0,88.0,7.1,16.0,0.200896,0,,,25.0,7.0,2.0,3.0,1.0,4.0,2.0,,,1.0,,,,3.0,,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,
11450025,home,Antalyaspor,Jakub Kałuziński,,,jakub-kaluzinski,J. Kałuziński,M,18,185,896,M,1019026,EUR,1036022400,M,18,18,False,69.0,64.0,6.0,4.0,32.0,33.0,36.0,2.0,4.0,,,,90.0,74.0,6.9,5.0,0.0280159,1,,,32.0,,,,2.0,1.0,2.0,,,,,,,,,1.0,,1.0,,,,1.0,0.0303,,,,,,,,,,
11450025,home,Antalyaspor,Sander van de Streek,,,sander-van-de-streek,S. v. d. Streek,M,22,180,186,M,220155,EUR,732931200,M,22,22,False,29.0,20.0,2.0,2.0,5.0,6.0,24.0,,5.0,,,,89.0,53.0,6.6,16.0,0.0517584,3,,,16.0,1.0,1.0,4.0,3.0,11.0,6.0,3.0,2.0,1.0,,,4.0,2.0,,1.0,1.0,,4.0,,,1.0,0.3721,1.0,2.0,,,,,,,,
11450025,home,Antalyaspor,Ramzi Safuri,,,ramzi-safuri,R. Safuri,M,8,184,208,M,186949,EUR,814233600,M,16,16,False,38.0,34.0,4.0,4.0,12.0,13.0,29.0,,2.0,,,,89.0,51.0,6.9,12.0,0.0195361,2,,,22.0,4.0,,1.0,1.0,3.0,2.0,,,,,1.0,1.0,,,,1.0,,3.0,,,,0.156,,1.0,1.0,0.0414,,,,,,
11450025,home,Antalyaspor,Dario Šarić,,,dario-saric,D. Šarić,M,88,180,555,M,848385,EUR,864950400,M,8,8,False,17.0,13.0,2.0,,4.0,6.0,11.0,1.0,5.0,,,,45.0,27.0,6.8,7.0,0.00499699,0,,,9.0,,,,,1.0,4.0,,,1.0,1.0,3.0,,,,,1.0,2.0,2.0,,,,,,,,,,,,,,
11450025,home,Antalyaspor,Sam Larsson,,,sam-larsson,S. Larsson,M,23,179,231,M,229800,EUR,734400000,M,10,10,False,45.0,36.0,,,16.0,20.0,25.0,,5.0,,,,82.0,62.0,6.4,18.0,0.0184925,2,,,20.0,,,,,7.0,2.0,4.0,2.0,,,,2.0,,,,3.0,4.0,4.0,,,1.0,0.1641,,1.0,,,,,,,,
11450025,home,Antalyaspor,Adam Buksa,,,adam-buksa,A. Buksa,F,18,191,3747,M,1138856,EUR,837129600,F,9,9,False,13.0,10.0,,,3.0,3.0,10.0,,1.0,,,,90.0,34.0,7.3,12.0,0.00441704,2,,,7.0,,,3.0,2.0,9.0,6.0,2.0,1.0,,,3.0,2.0,,,1.0,2.0,,6.0,,,,0.1445,,,2.0,0.2325,AdamBuksa,1.0,1.0,,,
11450025,home,Antalyaspor,Erdal Rakip,,,erdal-rakip,E. Rakip,M,,179,73,M,319871,EUR,824169600,M,6,6,True,16.0,12.0,1.0,1.0,5.0,6.0,10.0,1.0,3.0,,,,45.0,30.0,7.3,7.0,0.295232,1,,,7.0,,,,2.0,3.0,7.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,,,2.0,,1.0,,,1.0,0.0258,,,,,,,,,,
11450025,home,Antalyaspor,Bahadır Öztürk,,,bahadir-ozturk,B. Öztürk,D,5,185,36,M,790783,EUR,812505600,D,3,3,True,9.0,6.0,1.0,,4.0,5.0,4.0,1.0,,,,,8.0,11.0,6.6,3.0,0.00045618,0,,,2.0,,,,1.0,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
11450025,home,Antalyaspor,Zymer Bytyqi,,,zymer-bytyqi,Z. Bytyqi,M,,176,255,M,226784,EUR,842400000,M,77,77,True,3.0,3.0,,,1.0,1.0,2.0,,,,,,8.0,5.0,7.6,,0.00086954,1,,,2.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,0.0175,,,1.0,0.301,,1.0,,,,
