match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_accurateCross,stat_duelLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_aerialLost,stat_shotOffTarget,stat_outfielderBlock,stat_interceptionWon,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,captain,stat_goals,stat_totalOffside,stat_challengeLost,stat_hitWoodwork,stat_bigChanceMissed
12924418,home,Excelsior,Pascal Kuiper,Pascal Kuiper,,pascal-kuiper,P. Kuiper,G,30,194.0,39,M,1067956,EUR,1079481600,G,38,38,False,27.0,20.0,15.0,8.0,0.0,14.0,16.0,6.0,11.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,90.0,33.0,6.7,7.0,0,,,,,,,,,,,,,,,,,,,,,,,,,
12924418,home,Excelsior,Ilias Bronkhorst,Ilias,Bronkhorst,ilias-bronkhorst,I. Bronkhorst,D,2,185.0,71,M,899644,EUR,863222400,D,2,2,False,46.0,32.0,6.0,3.0,0.0,17.0,25.0,16.0,24.0,4.0,12.0,4.0,4.0,,,,,90.0,84.0,7.3,27.0,0,3.0,1.0,5.0,2.0,3.0,2.0,1.0,4.0,3.0,2.0,2.0,2.0,1.0,,,,,,,,,,,,
12924418,home,Excelsior,Seb Loeffen,,,seb-loeffen,S. Loeffen,D,18,188.0,34,M,1137259,EUR,1074384000,D,18,18,False,83.0,75.0,12.0,7.0,0.0,46.0,46.0,29.0,37.0,1.0,2.0,2.0,1.0,,,,,90.0,93.0,7.2,9.0,1,,,5.0,,,,,1.0,1.0,1.0,,,,5.0,1.0,2.0,,,,,,,,,
12924418,home,Excelsior,Serano Seymor,Serano Seymor,,serano-seymor,S. Seymor,D,34,190.0,15,M,1091021,EUR,1010102400,D,34,34,False,74.0,69.0,13.0,10.0,0.0,52.0,54.0,17.0,20.0,3.0,6.0,6.0,2.0,,,,,90.0,91.0,7.4,7.0,0,,,6.0,,,,,1.0,,1.0,2.0,1.0,,5.0,,2.0,1.0,,,,,,,,
12924418,home,Excelsior,Siem de Moes,Siem,de Moes,siem-de-moes,S. d. Moes,D,19,185.0,15,M,1516246,EUR,1076976000,D,32,32,False,39.0,36.0,8.0,6.0,0.0,24.0,25.0,12.0,14.0,2.0,5.0,1.0,6.0,,,,,90.0,57.0,6.9,7.0,0,,,3.0,2.0,,,,2.0,1.0,1.0,1.0,1.0,,,,,2.0,,,,,,,,
12924418,home,Excelsior,Derensili Sanches Fernandes,,,derensili-sanches-fernandes,D. S. Fernandes,M,30,176.0,147,M,1046142,EUR,991008000,M,30,30,False,25.0,23.0,1.0,,0.0,5.0,6.0,20.0,23.0,,10.0,,8.0,,,,,65.0,55.0,7.6,15.0,3,4.0,2.0,5.0,2.0,5.0,3.0,,4.0,3.0,6.0,3.0,,3.0,1.0,,,1.0,1.0,2.0,,,,,,
12924418,home,Excelsior,Noah Naujoks,,,noah-naujoks,N. Naujoks,M,10,183.0,202,M,1048487,EUR,1020297600,M,15,15,False,26.0,22.0,2.0,1.0,0.0,14.0,15.0,8.0,13.0,,2.0,,1.0,,,,,65.0,34.0,7.3,7.0,2,2.0,,3.0,,1.0,,,2.0,1.0,,,2.0,1.0,1.0,1.0,,,1.0,,True,1.0,1.0,,,
12924418,home,Excelsior,Joshua Eijgenraam,,,joshua-eijgenraam,J. Eijgenraam,M,20,180.0,30,M,1090204,EUR,1013990400,M,24,24,False,38.0,33.0,3.0,2.0,0.0,17.0,17.0,16.0,23.0,1.0,3.0,3.0,3.0,,,,,90.0,55.0,7.2,9.0,1,2.0,,3.0,,,,,2.0,2.0,1.0,,1.0,1.0,,1.0,1.0,3.0,,,,,,2.0,,
12924418,home,Excelsior,Valentijn Zandbergen,Valentijn,Zandbergen,valentijn-zandbergen,V. Zandbergen,F,25,177.0,18,M,1891896,EUR,1108339200,M,26,26,False,26.0,20.0,9.0,5.0,1.0,9.0,9.0,15.0,24.0,,3.0,1.0,4.0,,,,,83.0,52.0,7.7,13.0,4,7.0,4.0,3.0,,2.0,1.0,,2.0,1.0,,,1.0,5.0,1.0,2.0,,,,2.0,,,,,,
12924418,home,Excelsior,Jerolldino Bergraaf,Jerolldino,Bergraaf,jerolldino-armantrading,J. Bergraaf,F,33,190.0,99,M,1893852,EUR,1152057600,F,33,33,False,16.0,11.0,2.0,2.0,0.0,3.0,4.0,8.0,12.0,2.0,7.0,2.0,1.0,,,,,72.0,32.0,8.1,6.0,3,,,3.0,,1.0,1.0,,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,,,1.0,,,1.0,2.0,,1.0,
