match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,captain,stat_duelLost,stat_duelWon,stat_challengeLost,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_aerialLost,stat_totalContest,stat_wonContest,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_aerialWon,stat_keyPass,stat_totalCross,stat_onTargetScoringAttempt,stat_accurateCross,stat_dispossessed,stat_shotOffTarget,stat_blockedScoringAttempt,player_firstName,player_lastName,stat_totalOffside,stat_punches,stat_bigChanceCreated,stat_bigChanceMissed
11453172,home,Al-Hazem,Aymen Dahmen,dahmen-aymen,A. Dahmen,G,30,188,1160,M,1198374,EUR,854409600,G,30,30,False,32.0,19.0,18.0,5.0,16.0,18.0,3.0,14.0,1.0,10.0,1.0,1.0,4.0,90.0,43.0,7.5,14.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11453172,home,Al-Hazem,Talal Al-Absi,talal-al-absi,T. Al-Absi,D,,180,6,M,818788,EUR,730339200,D,3,3,False,42.0,31.0,10.0,5.0,19.0,23.0,12.0,19.0,1.0,4.0,,,,82.0,58.0,7.0,11.0,0,True,3.0,6.0,1.0,1.0,1.0,4.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,
11453172,home,Al-Hazem,Paulo Ricardo,paulo-ricardo,P. Ricardo,D,3,186,171,M,576008,EUR,771465600,D,2,2,False,60.0,50.0,15.0,7.0,37.0,38.0,13.0,22.0,1.0,2.0,,,,90.0,68.0,7.0,11.0,0,,2.0,3.0,,1.0,,1.0,1.0,1.0,,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
11453172,home,Al-Hazem,Bruno Viana,bruno-viana,B. Viana,D,30,187,241,M,804703,EUR,791942400,D,36,36,False,60.0,54.0,8.0,5.0,34.0,35.0,20.0,25.0,6.0,2.0,,,,90.0,71.0,7.3,6.0,0,,5.0,3.0,2.0,,2.0,1.0,1.0,,2.0,1.0,,,,,2.0,1.0,,,,,,,,,,,,
11453172,home,Al-Hazem,Ryan Al-Mousa,ryan-al-mousa,R. Al-Mousa,M,,174,6,M,817914,EUR,775008000,M,95,95,False,28.0,26.0,3.0,3.0,13.0,14.0,13.0,15.0,,4.0,,,,82.0,43.0,7.3,5.0,1,,4.0,10.0,1.0,,,5.0,3.0,4.0,2.0,,2.0,1.0,,1.0,,,1.0,1.0,,,,,,,,,,
11453172,home,Al-Hazem,Mohammed Al-Thani,mohammed-al-thain,M. Al-Thani,M,17,174,72,M,954643,EUR,855532800,M,11,11,False,16.0,11.0,2.0,,2.0,4.0,11.0,15.0,,1.0,,,,90.0,40.0,6.9,12.0,2,,10.0,8.0,1.0,,,2.0,,1.0,3.0,3.0,3.0,2.0,,3.0,3.0,,3.0,1.0,2.0,2.0,1.0,,,,,,,
11453172,home,Al-Hazem,Júnior Moreno,junior-moreno,J. Moreno,M,8,175,315,M,312026,EUR,743126400,M,93,93,False,32.0,23.0,1.0,1.0,10.0,10.0,13.0,23.0,,6.0,,,,82.0,48.0,7.2,13.0,1,,3.0,3.0,1.0,,1.0,2.0,2.0,,1.0,,1.0,1.0,,,,,1.0,1.0,,1.0,,,,,,,,
11453172,home,Al-Hazem,Tozé,toze,Tozé,M,20,165,386,M,1089231,EUR,726969600,M,20,20,False,40.0,30.0,2.0,,11.0,14.0,21.0,35.0,,4.0,,,,90.0,59.0,6.7,21.0,1,,6.0,1.0,1.0,,,,,1.0,2.0,,2.0,,,1.0,,2.0,9.0,,2.0,1.0,,1.0,,,,,,
11453172,home,Al-Hazem,Majed Mohammed,majed-mohammed,M. Mohammed,D,50,169,71,M,1385284,EUR,1007337600,M,27,27,False,24.0,20.0,3.0,2.0,8.0,8.0,12.0,17.0,4.0,2.0,,,,90.0,54.0,7.3,13.0,0,,4.0,4.0,1.0,1.0,,2.0,,,,,3.0,1.0,,5.0,1.0,,1.0,,,1.0,,,Majed Mohammed,,,,,
11453172,home,Al-Hazem,Muhammed Badamosi,muhammed-badammosi,M. Badamosi,F,15,198,404,M,919496,EUR,914716800,F,90,90,False,10.0,6.0,,,1.0,1.0,5.0,9.0,1.0,2.0,,,,90.0,26.0,6.8,12.0,1,,12.0,7.0,,,,,,4.0,3.0,7.0,1.0,,,5.0,3.0,,,,,1.0,,1.0,,,,,,
