match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,player_sofascoreId,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_shotOffTarget,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_expectedGoals,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_totalCross,stat_accurateCross,stat_challengeLost,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_goals,stat_expectedGoalsOnTarget,stat_keyPass,captain,stat_goalAssist,stat_dispossessed,stat_bigChanceCreated,stat_fouls,stat_wonContest,stat_blockedScoringAttempt,stat_totalOffside,stat_bigChanceMissed,stat_errorLeadToAGoal
11370012,home,KV Mechelen,Gaëtan Coucke,gaetan-coucke,G. Coucke,G,98,187,160,M,794989,EUR,910051200,G,1,1,False,39.0,22.0,25.0,10.0,19.0,26.0,3.0,13.0,1.0,7.0,3.0,3.0,1.0,90.0,46.0,6.5,17.0,0.00050166,0,-0.1778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11370012,home,KV Mechelen,Sandy Walsh,sandy-walsh,S. Walsh,D,14,185,7746,M,163199,EUR,795139200,D,5,5,False,45.0,38.0,5.0,2.0,33.0,36.0,5.0,9.0,2.0,2.0,,,,90.0,63.0,6.7,14.0,0.00067024,1,,,,sandywalsh,1.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,2.0,0.0856,,,,,,,,,,,,,,,,,,,,,
11370012,home,KV Mechelen,David Bates,david-bates,D. Bates,D,4,193,95,M,839675,EUR,844473600,D,27,27,False,52.0,48.0,4.0,2.0,45.0,46.0,3.0,6.0,10.0,4.0,,,,90.0,72.0,7.5,5.0,0.00137602,0,,,,,3.0,5.0,3.0,9.0,,,1.0,3.0,3.0,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,
11370012,home,KV Mechelen,Elias Cobbaut,elias-cobbaut,E. Cobbaut,D,33,188,177,M,828570,EUR,880329600,D,22,22,False,52.0,47.0,6.0,4.0,38.0,39.0,9.0,13.0,2.0,2.0,,,,90.0,60.0,6.8,6.0,0.00495063,0,,,,,,1.0,,1.0,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
11370012,home,KV Mechelen,Patrick Pflücke,patrick-pflucke,P. Pflücke,M,14,170,191,M,281283,EUR,849312000,M,77,77,False,26.0,22.0,3.0,2.0,13.0,15.0,10.0,14.0,,1.0,,,,87.0,32.0,7.3,7.0,0.0515898,2,,,,,1.0,,4.0,,,1.0,,,,0.7259,,,,3.0,1.0,3.0,1.0,1.0,1.0,0.9741,1.0,,,,,,,,,,
11370012,home,KV Mechelen,Ngal'ayel Mukau,ngalayel-mukau,N. Mukau,M,17,188,7494,M,1391541,EUR,1099440000,M,34,34,False,22.0,19.0,2.0,1.0,15.0,15.0,4.0,7.0,3.0,4.0,,,,90.0,35.0,7.0,4.0,0.00402198,0,,Ngal'ayel Mukau,,,1.0,1.0,1.0,3.0,,,,2.0,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,
11370012,home,KV Mechelen,Rob Schoofs,rob-schoofs,R. Schoofs,M,17,179,194,M,133164,EUR,764380800,M,16,16,False,62.0,53.0,9.0,5.0,31.0,32.0,22.0,30.0,2.0,13.0,,,,90.0,72.0,7.3,12.0,0.0576735,1,,,,,1.0,,5.0,3.0,,1.0,,1.0,,0.0807,,1.0,3.0,,,2.0,,,,,3.0,True,1.0,1.0,2.0,1.0,,,,,
11370012,home,KV Mechelen,Daam Foulon,daam-foulon,D. Foulon,M,5,180,205,M,826170,EUR,922147200,M,23,23,False,22.0,16.0,4.0,1.0,11.0,14.0,5.0,13.0,2.0,3.0,,,,87.0,42.0,6.8,13.0,0.0115348,1,,,,,3.0,3.0,4.0,5.0,1.0,,1.0,2.0,1.0,0.0556,,1.0,,5.0,,1.0,,,,,,,,,,,1.0,1.0,2.0,,
11370012,home,KV Mechelen,Kerim Mrabti,kerim-mrabti,K. Mrabti,F,19,175,187,M,338869,EUR,769392000,F,19,19,False,30.0,21.0,4.0,2.0,10.0,14.0,11.0,16.0,1.0,4.0,,,,89.0,40.0,8.6,10.0,0.0216861,3,,,,,2.0,3.0,4.0,5.0,1.0,,,,1.0,1.3875,,1.0,,,,1.0,3.0,,2.0,1.9477,,,,,,1.0,1.0,,,1.0,
11370012,home,KV Mechelen,Geoffry Hairemans,geoffry-hairemans,G. Hairemans,F,11,184,140,M,58917,EUR,688003200,F,7,7,False,31.0,22.0,1.0,1.0,9.0,12.0,15.0,24.0,1.0,2.0,,,,71.0,45.0,7.0,13.0,0.173715,0,,,,,3.0,3.0,7.0,4.0,,,1.0,,1.0,,1.0,,,5.0,2.0,1.0,,,,,1.0,,,1.0,,2.0,,,,,
