match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keyPass,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_dispossessed,stat_bigChanceCreated,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_totalContest,stat_wonContest,stat_outfielderBlock,captain,stat_challengeLost,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_lastManTackle,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_ownGoals,stat_totalOffside
12450889,home,Nice,Marcin Bułka,marcin-bulka,M. Bułka,G,99,198,4805,M,marcinbulka1,889590,EUR,938995200,G,1,1,False,35.0,32.0,8.0,5.0,0.0,30.0,30.0,2.0,5.0,1.0,1.0,8.0,1.0,2.0,1.0,2.0,90.0,45.0,7.2,3.0,0.00081971,1.0,0,-0.8198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12450889,home,Nice,Tom Louchet,tom-louchet,T. Louchet,M,20,176,395,M,,1127313,EUR,1052006400,D,20,20,False,60.0,53.0,6.0,3.0,0.0,33.0,34.0,21.0,28.0,1.0,6.0,3.0,,,,,90.0,87.0,7.6,12.0,0.481911,4.0,0,,,,2.0,1.0,1.0,3.0,1.0,1.0,4.0,1.0,5.0,2.0,2.0,1.0,,,,,,,,,,,,,,,
12450889,home,Nice,Moise Bombito,bombito-moise,M. Bombito,D,64,190,602,M,,1469180,EUR,954374400,D,64,64,False,82.0,78.0,6.0,3.0,0.0,57.0,59.0,21.0,23.0,,4.0,9.0,,,,,90.0,94.0,7.4,5.0,0.00744808,1.0,0,,Moise Bombito,,,,,1.0,1.0,,,1.0,3.0,3.0,,,1.0,1.0,2.0,,,,,,,,,,,,
12450889,home,Nice,Dante,dante,Dante,D,4,188,1257,M,,3577,EUR,435283200,D,4,4,False,91.0,80.0,14.0,9.0,0.0,59.0,61.0,21.0,30.0,5.0,8.0,8.0,1.0,,,,90.0,103.0,6.8,13.0,0.00883888,,0,,,,,,,5.0,1.0,,2.0,2.0,2.0,1.0,,1.0,1.0,,,True,2.0,,,,,,,,,,
12450889,home,Nice,Melvin Bard,melvin-bard,M. Bard,D,26,173,502,M,,906075,EUR,973468800,D,26,26,False,39.0,30.0,4.0,1.0,0.0,19.0,21.0,11.0,22.0,3.0,10.0,9.0,1.0,,,,90.0,73.0,8.5,16.0,0.0111421,,3,,,,4.0,,2.0,5.0,1.0,,3.0,2.0,3.0,2.0,,1.0,4.0,3.0,3.0,,,1.0,2.0,1.0,1.0,0.6553,0.9817,,,,
12450889,home,Nice,Mohamed-Ali Cho,mohamed-ali-cho,M. Cho,F,25,182,1757,M,,1063235,EUR,1074470400,M,25,25,False,43.0,32.0,,,0.0,9.0,10.0,24.0,38.0,,4.0,4.0,,,,,88.0,71.0,6.6,28.0,0.312716,1.0,2,,,,5.0,1.0,1.0,11.0,3.0,,,,,,6.0,2.0,8.0,4.0,,,1.0,,1.0,,,0.1175,0.0348,1.0,,,
12450889,home,Nice,Hicham Boudaoui,hicham-boudaoui,H. Boudaoui,M,6,176,11417,M,hicham_boudaoui,985923,EUR,938044800,M,6,6,False,39.0,32.0,3.0,3.0,0.0,18.0,20.0,14.0,19.0,1.0,3.0,7.0,,,,,90.0,49.0,6.7,11.0,0.0222801,,1,,,,,,2.0,7.0,2.0,,1.0,,2.0,2.0,,1.0,2.0,,,,1.0,,1.0,,,0.0298,0.0237,,,,
12450889,home,Nice,Pablo Rosario,pablo-rosario,P. Rosario,M,13,188,1208,M,,804472,EUR,852595200,M,8,8,False,37.0,32.0,5.0,4.0,0.0,14.0,15.0,18.0,22.0,,3.0,5.0,,,,,90.0,46.0,6.6,7.0,0.0267642,,1,,,,,,,7.0,1.0,,,2.0,2.0,,,5.0,2.0,1.0,,,1.0,1.0,,,,0.0859,,,,,
12450889,home,Nice,Jérémie Boga,jeremie-boga,J. Boga,F,13,172,4912,M,jeremieboga,367056,EUR,852249600,M,7,7,False,14.0,12.0,,,0.0,4.0,5.0,9.0,12.0,,,4.0,,,,,74.0,25.0,6.6,6.0,0.0868592,,2,,,,3.0,1.0,,1.0,1.0,,1.0,,,,1.0,,,,,,,1.0,,,,0.0735,,1.0,,,
12450889,home,Nice,Evann Guessand,evann-guessand,E. Guessand,F,29,185,5228,M,,930245,EUR,993945600,F,29,29,False,18.0,13.0,,,0.0,4.0,4.0,9.0,15.0,2.0,10.0,2.0,4.0,,,,90.0,44.0,7.2,16.0,0.543643,2.0,3,,,,1.0,,,10.0,6.0,2.0,1.0,,3.0,1.0,3.0,3.0,2.0,1.0,,,,2.0,,,,0.3949,,1.0,1.0,,
