match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalClearance,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_blockedScoringAttempt,stat_interceptionWon,stat_expectedGoals,stat_totalCross,stat_keyPass,stat_accurateCross,stat_totalContest,stat_unsuccessfulTouch,stat_penaltyWon,captain,stat_dispossessed,stat_bigChanceMissed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_expectedGoalsOnTarget,stat_penaltyMiss,stat_wonContest,stat_totalOffside,stat_penaltySave,stat_penaltyFaced,stat_penaltyConceded
11370018,home,RC Sporting Charleroi,Hervé Koffi,herve-koffi,H. Koffi,G,12,187,15803,M,HKoffi,867299,EUR,845424000,G,16,16,False,32.0,14.0,22.0,5.0,11.0,15.0,3.0,17.0,7.0,1.0,2.0,2.0,1.0,1.0,90.0,39.0,6.9,18.0,0.00036703,0,0.9863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11370018,home,RC Sporting Charleroi,Jonas Bager,jonas-bager,J. Bager,D,5,182,87,M,,541350,EUR,837648000,D,2,2,False,46.0,31.0,9.0,3.0,22.0,28.0,9.0,18.0,3.0,,,,,,90.0,60.0,7.3,15.0,0.00481728,0,,,,2.0,3.0,5.0,7.0,1.0,5.0,2.0,2.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,
11370018,home,RC Sporting Charleroi,Achraf Dari,achraf-dari,A. Dari,D,15,190,8589,M,dari_achraf,964795,EUR,925948800,D,37,37,False,49.0,30.0,19.0,9.0,22.0,34.0,8.0,15.0,7.0,,,,,,90.0,65.0,7.5,20.0,0.0145218,1,,,,2.0,6.0,3.0,10.0,,5.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0.1205,,,,,,,,,,,,,,,,,,,
11370018,home,RC Sporting Charleroi,Stelios Andreou,andreou-stelios,S. Andreou,D,5,187,339,M,,994282,EUR,1027468800,D,21,21,False,49.0,31.0,13.0,7.0,19.0,28.0,12.0,22.0,9.0,,,,,,90.0,66.0,7.5,19.0,0.0292071,0,,,,,1.0,2.0,4.0,2.0,7.0,1.0,3.0,3.0,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,
11370018,home,RC Sporting Charleroi,Jeremy Petris,jeremy-petris,J. Petris,D,29,183,120,M,,910937,EUR,885945600,M,98,98,False,25.0,13.0,5.0,1.0,7.0,13.0,8.0,17.0,4.0,,,,,,90.0,65.0,6.9,32.0,0.0740304,0,,,,,,5.0,5.0,,3.0,,4.0,3.0,1.0,1.0,,,,5.0,,2.0,4.0,1.0,1.0,,,,,,,,,,,,,
11370018,home,RC Sporting Charleroi,Marco Ilaimaharitra,marco-ilaimaharitra,M. Ilaimaharitra,M,23,178,500,M,,358198,EUR,806716800,M,26,26,False,41.0,28.0,6.0,2.0,12.0,18.0,17.0,26.0,5.0,,,,,,90.0,62.0,6.5,22.0,0.0522834,3,,,,,3.0,5.0,7.0,,1.0,,2.0,2.0,2.0,1.0,1.0,,0.8973,3.0,1.0,1.0,1.0,3.0,,True,3.0,1.0,1.0,1.0,1.0,0.9944,1.0,,,,,
11370018,home,RC Sporting Charleroi,Etienne Camara,etienne-camara,E. Camara,M,5,190,290,M,,1097542,EUR,1048982400,M,5,5,False,51.0,33.0,11.0,3.0,20.0,26.0,13.0,25.0,12.0,,,,,,90.0,69.0,6.3,21.0,0.0173001,0,,Etienne Camara,,6.0,2.0,13.0,5.0,1.0,2.0,,2.0,1.0,1.0,5.0,,1.0,,,,,2.0,,,,1.0,,,,,,,,,,,
11370018,home,RC Sporting Charleroi,Isaac Mbenza,isaac-mbenza,I. Mbenza,F,7,188,141,M,,789000,EUR,826243200,M,7,7,False,8.0,2.0,2.0,1.0,2.0,2.0,,6.0,1.0,,,,,,33.0,16.0,6.7,9.0,0.00015816,0,,,,,,,2.0,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,1.0,,,,
11370018,home,RC Sporting Charleroi,Daan Heymans,heymans-daan,D. Heymans,M,38,186,544,M,,845344,EUR,929404800,F,18,18,False,41.0,24.0,3.0,1.0,15.0,23.0,9.0,19.0,4.0,,,,,,81.0,50.0,6.4,21.0,0.0238359,0,,,,4.0,4.0,8.0,7.0,,1.0,,,,2.0,3.0,,,,1.0,,,2.0,2.0,,,,,,,,,,1.0,,,,
11370018,home,RC Sporting Charleroi,Parfait Guiagon,parfait-guiagon,P. Guiagon,M,10,169,1096,M,,1030459,EUR,982800000,F,8,8,False,27.0,20.0,2.0,1.0,8.0,9.0,12.0,18.0,6.0,,,,,,90.0,50.0,6.6,21.0,0.0855852,1,,,,6.0,2.0,12.0,6.0,,2.0,,1.0,1.0,2.0,,,,0.0209,,1.0,,3.0,5.0,,,4.0,,,1.0,,0.0386,,1.0,,,,
