match_id,side,team,player_name,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_jerseyNumber,captain,stat_goalAssist,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_onTargetScoringAttempt,stat_totalClearance,player_firstName,player_lastName,stat_shotOffTarget,stat_totalTackle,stat_wonTackle,stat_challengeLost,stat_totalOffside,stat_accurateCross,stat_dispossessed,stat_goals,stat_bigChanceMissed,player_sofascoreId,stat_punches,stat_hitWoodwork
11453069,home,Abha,Ciprian Tătărușanu,ciprian-tatarusanu,C. Tătărușanu,G,198.0,624,M,44453,EUR,508291200,G,16,16,False,33.0,27.0,12.0,6.0,26.0,28.0,1.0,5.0,8.0,1.0,1.0,1.0,90.0,39.0,7.1,6.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11453069,home,Abha,Fahad Bin Jumayah,fahad-bin-jumayah,F. B. Jumayah,D,170.0,22,M,893514,EUR,800064000,D,14,14,False,23.0,19.0,6.0,4.0,10.0,10.0,9.0,16.0,1.0,,,,64.0,44.0,7.9,11.0,1,14,True,1.0,3.0,2.0,1.0,5.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,,,,,,,,,,,,,,,,
11453069,home,Abha,Fabián Noguera,fabian-noguera,F. Noguera,D,192.0,73,M,581620,EUR,732585600,D,18,18,False,32.0,26.0,8.0,5.0,18.0,19.0,8.0,13.0,,,,,90.0,36.0,7.1,6.0,1,29,,,,2.0,2.0,2.0,3.0,,,,,,,,1.0,,,1.0,2.0,,,,,,,,,,,,,,
11453069,home,Abha,Marcel Tisserand,marcel-tisserand,M. Tisserand,D,190.0,461,M,338651,EUR,726624000,D,26,26,False,52.0,47.0,11.0,8.0,34.0,35.0,13.0,17.0,4.0,,,,90.0,67.0,7.6,7.0,1,32,,,,3.0,1.0,6.0,4.0,,,,,1.0,2.0,1.0,,3.0,,,4.0,,,1.0,3.0,2.0,,,,,,,,,
11453069,home,Abha,Ibrahim Al-Zubaidi,ibrahim-al-zubaidi,I. Al-Zubaidi,D,172.0,16,M,793916,EUR,623462400,D,15,15,False,37.0,27.0,8.0,3.0,11.0,12.0,16.0,27.0,2.0,,,,90.0,64.0,7.3,16.0,0,,,,2.0,1.0,,4.0,4.0,1.0,1.0,,,,2.0,1.0,1.0,2.0,2.0,,2.0,,,,2.0,1.0,1.0,1.0,,,,,,,
11453069,home,Abha,Meshal Al Mutairi,meshal-al-mutairi,M. A. Mutairi,M,170.0,44,M,1522212,EUR,922320000,M,77,77,False,11.0,9.0,1.0,,3.0,3.0,7.0,9.0,2.0,,,,74.0,22.0,6.8,8.0,0,10,,,1.0,,,3.0,2.0,1.0,1.0,,,,1.0,3.0,1.0,1.0,2.0,,,Meshal Al Mutairi,,,,,1.0,,1.0,1.0,,,,,
11453069,home,Abha,Ziyad Al-Sahafi,ziyad-al-sahafi,Z. Al-Sahafi,D,182.0,36,M,831259,EUR,782352000,M,30,30,False,34.0,31.0,3.0,3.0,18.0,18.0,13.0,17.0,4.0,,,,90.0,38.0,7.3,5.0,2,21,,,1.0,,,1.0,,,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,1.0,,,,
11453069,home,Abha,Mohammed Said Al-Qahtani,mohammed-said-al-qahtani,M. S. Al-Qahtani,M,176.0,8,M,1177090,EUR,1016323200,M,29,29,False,29.0,28.0,5.0,4.0,16.0,16.0,12.0,14.0,1.0,,,,64.0,36.0,6.8,3.0,0,,,,1.0,,,1.0,2.0,,,,,,,,1.0,1.0,,,1.0,,,,1.0,1.0,,,,,,,,,
11453069,home,Abha,François Kamano,francois-kamano,F. Kamano,M,182.0,1456,M,580800,EUR,830995200,M,11,11,False,15.0,11.0,3.0,2.0,5.0,5.0,6.0,10.0,2.0,,,,74.0,22.0,6.5,5.0,2,45,,,,1.0,,5.0,2.0,1.0,,,,,,,2.0,1.0,,,,,,2.0,,,2.0,,,,,,,,
11453069,home,Abha,Grzegorz Krychowiak,grzegorz-krychowiak,G. Krychowiak,M,187.0,2715,M,76227,EUR,633571200,F,5,5,False,12.0,8.0,2.0,1.0,2.0,2.0,6.0,11.0,,,,,74.0,17.0,6.1,5.0,2,4,,,1.0,,2.0,1.0,3.0,,,,,,,,1.0,1.0,,,,Grzegorz,Krychowiak,2.0,,,,,,,,2.0,,,
