match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_jerseyNumber,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_fouls,captain,stat_unsuccessfulTouch,stat_penaltyConceded,stat_challengeLost,stat_shotOffTarget,stat_totalCross,stat_accurateCross,stat_keyPass,stat_blockedScoringAttempt,stat_goals,stat_penaltyWon,player_sofascoreId,stat_goalAssist,stat_bigChanceCreated,stat_totalOffside
11360033,home,FC Rot-Weiss Koblenz,Maximilian Grote,Maximilian Grote,,maximilian-grote,M. Grote,G,191.0,1,M,1392614,EUR,1017446400.0,G,1,1,False,31.0,10.0,24.0,3.0,8.0,8.0,2.0,23.0,3.0,2.0,13.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,82.0,45.0,6.7,21.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11360033,home,FC Rot-Weiss Koblenz,Terry Asare,Terry Asare,,terry-asare,T. Asare,M,188.0,1,M,1519369,EUR,874368000.0,D,6,6,False,22.0,15.0,,,14.0,18.0,1.0,4.0,9.0,5.0,8.0,1.0,1.0,4.0,,,,,,,,90.0,52.0,6.3,12.0,1,6,2.0,1.0,7.0,3.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,
11360033,home,FC Rot-Weiss Koblenz,Alexis Weidenbach,,,alexis-weidenbach,A. Weidenbach,D,188.0,1,M,938302,EUR,843523200.0,D,18,18,False,20.0,17.0,2.0,1.0,10.0,11.0,7.0,9.0,5.0,4.0,4.0,2.0,1.0,1.0,,,,,,,,90.0,34.0,6.1,5.0,0,,1.0,2.0,3.0,1.0,,,,,2.0,1.0,1.0,True,1.0,1.0,,,,,,,,,,,,
11360033,home,FC Rot-Weiss Koblenz,Dejvi Alsela,Dejvi Alsela,,dejvi-alsela,D. Alsela,D,,2,M,1519363,EUR,1004572800.0,D,4,4,False,18.0,11.0,3.0,1.0,10.0,12.0,1.0,6.0,1.0,7.0,6.0,,,,,,,,,,,90.0,30.0,6.2,7.0,1,4,2.0,1.0,3.0,,,,,,1.0,2.0,,,,,1.0,1.0,,,,,,,,,,
11360033,home,FC Rot-Weiss Koblenz,Leon Gietzen,Leon Gietzen,,leon-gietzen,L. Gietzen,D,,1,M,1391498,EUR,937440000.0,D,17,17,False,19.0,11.0,6.0,2.0,8.0,11.0,3.0,8.0,5.0,3.0,8.0,3.0,2.0,1.0,,,,,,,,82.0,47.0,6.1,16.0,0,17,1.0,,3.0,,3.0,1.0,,,,2.0,,,2.0,,,,,,,,,,,,,
11360033,home,FC Rot-Weiss Koblenz,Jonas Ercan,Jonas Ercan,,jonas-ercan,J. Ercan,M,181.0,0,M,1519365,EUR,933206400.0,M,29,29,False,18.0,12.0,3.0,1.0,11.0,12.0,3.0,12.0,5.0,1.0,3.0,1.0,,,,,,,,,,90.0,39.0,6.3,14.0,0,,1.0,2.0,5.0,,5.0,2.0,,,,1.0,,,1.0,,1.0,,6.0,2.0,2.0,,,,,,,
11360033,home,FC Rot-Weiss Koblenz,Niklas Doll,Niklas Doll,,niklas-doll,N. Doll,F,185.0,1,M,1519373,EUR,944956800.0,M,9,9,False,5.0,4.0,,,2.0,2.0,2.0,3.0,1.0,,2.0,,,,,,,,,,,67.0,9.0,6.0,2.0,1,,2.0,1.0,3.0,,1.0,,,,,,1.0,,,,,,,,,1.0,,,,,,
11360033,home,FC Rot-Weiss Koblenz,Nihat Farajli,Nihat Farajli,,nihat-farajli,N. Farajli,M,,21,M,1436045,EUR,1048204800.0,M,8,8,False,20.0,17.0,1.0,1.0,14.0,15.0,3.0,5.0,2.0,3.0,4.0,1.0,,,,,,,,,,90.0,34.0,6.3,6.0,1,,,1.0,2.0,1.0,1.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,
11360033,home,FC Rot-Weiss Koblenz,Tyler-Jeremy Wozny,Tyler-Jeremy Wozny,,tyler-jeremy-wozny,T. Wozny,M,173.0,0,M,1501957,EUR,1084320000.0,M,19,19,False,8.0,5.0,,,4.0,5.0,1.0,3.0,2.0,,4.0,,,1.0,,,,,,,,56.0,17.0,6.2,8.0,0,,3.0,1.0,5.0,2.0,,,,,,,,,2.0,,,,,,1.0,,,,,,,
11360033,home,FC Rot-Weiss Koblenz,Leon Wilki,Leon Wilki,,leon-wilki,L. Wilki,M,,0,M,1519367,EUR,1065139200.0,M,7,7,False,15.0,10.0,3.0,1.0,5.0,7.0,6.0,9.0,2.0,3.0,4.0,1.0,,1.0,,,,,,,,90.0,33.0,6.2,12.0,0,7,3.0,1.0,5.0,,1.0,,,,,1.0,,,5.0,,1.0,,1.0,1.0,1.0,,,,,,,
