match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_possessionLostCtrl,stat_keyPass,stat_aerialLost,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_outfielderBlock,stat_fouls,player_firstName,player_sofascoreId,stat_totalCross,stat_shotOffTarget,stat_onTargetScoringAttempt,player_lastName,stat_goals,stat_goalAssist,stat_accurateCross,stat_dispossessed,stat_hitWoodwork,stat_totalOffside,stat_punches,stat_bigChanceCreated,stat_errorLeadToAGoal
11067482,home,São Paulo,Rafael,rafael,Rafael,G,23,192,4239,M,33132,EUR,614563200,G,23,23,False,16.0,16.0,2.0,2.0,15.0,15.0,1.0,1.0,6.0,1.0,2.0,3.0,90.0,25.0,6.8,0.0,0.0,0.00020419,0,0.1096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11067482,home,São Paulo,Rafinha,rafinha,Rafinha,D,13,172,1493,M,12634,EUR,494899200,D,13,13,False,89.0,83.0,16.0,13.0,38.0,40.0,45.0,49.0,7.0,,,,89.0,103.0,7.3,0.0,0.0,0.0399651,0,,True,2.0,2.0,8.0,2.0,1.0,1.0,4.0,3.0,1.0,2.0,7.0,1.0,,,,,,,,,,,,,,,,,,,,,
11067482,home,São Paulo,Alan Franco,alan-franco,A. Franco,D,28,183,2959,M,875402,EUR,844992000,D,28,28,False,69.0,64.0,4.0,2.0,43.0,45.0,21.0,24.0,4.0,,,,90.0,80.0,7.0,0.0301,0.0,0.00705786,1,,,5.0,3.0,6.0,,3.0,3.0,,,,,5.0,,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,
11067482,home,São Paulo,Lucas Beraldo,lucas-beraldo,L. Beraldo,D,4,182,17540,M,1108441,EUR,1069632000,D,35,35,False,64.0,59.0,9.0,8.0,27.0,30.0,32.0,34.0,5.0,,,,90.0,71.0,6.9,0.0,0.0,0.0200449,0,,,,1.0,2.0,,3.0,,1.0,,,1.0,5.0,,1.0,,,,,,Lucas Beraldo,lberaldo,,,,,,,,,,,,,
11067482,home,São Paulo,Caio Paulista,caio-paulista,C. Paulista,D,38,184,1649,M,931591,EUR,894844800,D,38,38,False,53.0,47.0,1.0,,15.0,18.0,32.0,36.0,5.0,,,,90.0,74.0,7.2,0.175,0.3141,0.128539,4,,,2.0,3.0,7.0,,1.0,1.0,,,1.0,1.0,10.0,2.0,1.0,6.0,4.0,,,,,,1.0,2.0,2.0,,,,,,,,,,
11067482,home,São Paulo,Gabriel Neves,gabriel-neves,G. Neves,M,8,171,741,M,875294,EUR,871257600,M,20,20,False,74.0,67.0,6.0,4.0,18.0,18.0,49.0,56.0,11.0,,,,72.0,84.0,7.1,0.0,0.0,0.0496819,0,,,,1.0,3.0,,1.0,,1.0,1.0,,,10.0,1.0,,2.0,2.0,,,1.0,,,,,,,,,,,,,,,
11067482,home,São Paulo,Pablo Maia,pablo-maia,P. Maia,M,29,178,3211,M,1120721,EUR,1010620800,M,29,29,False,89.0,83.0,7.0,4.0,34.0,35.0,49.0,54.0,8.0,,,,90.0,98.0,7.8,0.0522,0.4736,0.0254072,2,,,,3.0,2.0,1.0,2.0,,2.0,2.0,2.0,,8.0,2.0,1.0,,,,,2.0,Pablo Maia,,,,2.0,,1.0,,,,,,,,
11067482,home,São Paulo,Alisson,alisson,Alisson,M,25,174,2789,M,291723,EUR,740966400,M,7,7,False,51.0,45.0,,,9.0,10.0,40.0,55.0,4.0,,,,85.0,80.0,8.1,0.0,0.0,0.203022,0,,,1.0,7.0,10.0,,1.0,,6.0,6.0,1.0,2.0,19.0,4.0,2.0,1.0,1.0,,,3.0,,,14.0,,,,,1.0,4.0,2.0,,,,,
11067482,home,São Paulo,Luciano,luciano,Luciano,M,10,181,8486,M,282557,EUR,737683200,M,10,10,False,23.0,20.0,1.0,1.0,7.0,7.0,13.0,16.0,2.0,,,,72.0,35.0,6.5,0.1729,0.0585,0.0330888,4,,,,7.0,1.0,1.0,,,,,4.0,,10.0,,1.0,2.0,1.0,1.0,,2.0,,luciano10,,2.0,1.0,,,,,2.0,1.0,,,,
11067482,home,São Paulo,Marcos Paulo,marcos-paulo,M. Paulo,F,10,186,862,M,962027,EUR,980985600,M,32,32,False,24.0,21.0,3.0,2.0,3.0,3.0,18.0,23.0,3.0,,,,85.0,45.0,7.1,0.042,0.0,0.0288179,2,,,,4.0,8.0,,,1.0,2.0,2.0,2.0,4.0,10.0,1.0,1.0,3.0,2.0,1.0,,,,,2.0,1.0,,,,,,2.0,,1.0,,,
