match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_errorLeadToAShot,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_totalContest,stat_wonContest,stat_accurateCross,stat_shotOffTarget,stat_blockedScoringAttempt,stat_interceptionWon,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,player_firstName,player_lastName,stat_outfielderBlock,captain,stat_bigChanceCreated,stat_dispossessed,stat_hitWoodwork,stat_totalOffside,stat_goals,stat_punches,stat_ownGoals
12436609,home,Chelsea,Robert Sánchez,robert-sanchez,R. Sánchez,G,1,197,18379,M,RS1,920546,EUR,879811200,G,1,1,False,24.0,15.0,10.0,2.0,0.0,14.0,18.0,1.0,6.0,1.0,1.0,10.0,1.0,1.0,1.0,2.0,1.0,1.0,90.0,34.0,6.3,9.0,0.00028379,0,-0.6645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12436609,home,Chelsea,Trevoh Chalobah,trevoh-chalobah,T. Chalobah,D,23,190,14453,M,yungchalobah,826134,EUR,931132800,D,23,23,False,83.0,73.0,3.0,1.0,0.0,39.0,44.0,34.0,41.0,2.0,4.0,3.0,,,,,,,90.0,95.0,6.9,12.0,0.0248873,2,,2.0,4.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.4912,1.0401,,,,,,,,,,,,,,,,,,,,
12436609,home,Chelsea,Tosin Adarabioyo,tosin-adarabioyo,T. Adarabioyo,D,4,196,10523,M,tosinadarabioyo,352668,EUR,875059200,D,4,4,False,57.0,53.0,2.0,1.0,0.0,29.0,31.0,24.0,26.0,1.0,2.0,1.0,,,,,,,45.0,62.0,6.5,4.0,0.0128383,0,,,2.0,2.0,,,,3.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
12436609,home,Chelsea,Levi Colwill,levi-colwill,L. Colwill,D,6,187,17899,M,LColwill,996911,EUR,1046217600,D,6,6,False,86.0,80.0,6.0,1.0,0.0,47.0,48.0,34.0,41.0,4.0,6.0,6.0,,,,,,,90.0,101.0,7.0,9.0,0.0823687,4,,3.0,4.0,8.0,,1.0,1.0,1.0,2.0,1.0,,0.3136,0.5003,,,1.0,2.0,1.0,2.0,1.0,4.0,2.0,,,,,,,,,,,
12436609,home,Chelsea,Marc Cucurella,marc-cucurella,M. Cucurella,D,3,175,37239,M,cucurella3,794939,EUR,901065600,D,3,3,False,38.0,27.0,2.0,,0.0,9.0,12.0,18.0,26.0,2.0,5.0,1.0,,,,,,,90.0,55.0,7.1,12.0,0.189939,1,,,1.0,3.0,2.0,,,,1.0,1.0,2.0,0.0334,,,,,1.0,,1.0,,,2.0,,,1.0,,,,,,,,
12436609,home,Chelsea,Enzo Fernández,enzo-fernandez,E. Fernández,M,8,177,121227,M,Enzo8,974505,EUR,979689600,M,8,8,False,65.0,52.0,8.0,4.0,0.0,12.0,15.0,43.0,62.0,,3.0,6.0,,,,,,,90.0,90.0,7.9,23.0,0.422652,3,,12.0,1.0,3.0,2.0,1.0,2.0,,2.0,,1.0,0.2275,0.568,,,3.0,1.0,,,1.0,,5.0,,,,True,1.0,,,,,,
12436609,home,Chelsea,Moisés Caicedo,moises-caicedo,M. Caicedo,M,25,178,79319,M,MoisesCaicedo55,987650,EUR,1004659200,M,25,25,False,44.0,44.0,1.0,1.0,0.0,11.0,11.0,33.0,33.0,1.0,6.0,7.0,,,,,,,90.0,58.0,7.2,2.0,0.114017,3,,,1.0,4.0,2.0,,,1.0,3.0,1.0,2.0,0.0975,,,,,1.0,2.0,,1.0,,1.0,,,,,1.0,1.0,,,,,
12436609,home,Chelsea,Noni Madueke,noni-madueke,N. Madueke,M,20,182,40178,M,nonzinoo10,966547,EUR,1015718400,M,11,11,False,24.0,19.0,,,0.0,2.0,2.0,18.0,26.0,,5.0,,,,,,,,68.0,42.0,8.1,11.0,0.140541,4,,4.0,1.0,3.0,,,,,2.0,2.0,1.0,0.2475,,3.0,2.0,1.0,2.0,2.0,,2.0,1.0,4.0,,,,,1.0,,1.0,1.0,,,
12436609,home,Chelsea,Cole Palmer,cole-palmer,C. Palmer,M,10,185,363781,M,ColdPalmer,982780,EUR,1020643200,M,20,20,False,54.0,49.0,2.0,,1.0,7.0,8.0,43.0,51.0,,1.0,4.0,,,,,,,90.0,77.0,7.2,17.0,0.15746,6,,5.0,2.0,7.0,,,1.0,,,,,0.2691,0.2395,4.0,1.0,1.0,1.0,4.0,,2.0,,4.0,,,,,,2.0,,,,,
12436609,home,Chelsea,Pedro Neto,pedro-neto,P. Neto,M,7,172,39913,M,pedroneto_30,879349,EUR,952560000,M,7,7,False,40.0,37.0,1.0,1.0,0.0,4.0,5.0,42.0,52.0,,1.0,2.0,,,,,,,90.0,71.0,8.0,16.0,0.634295,5,,17.0,1.0,3.0,,,2.0,,1.0,,,0.1519,0.0886,1.0,,9.0,2.0,1.0,1.0,2.0,,5.0,,,,,1.0,1.0,,,,,
