match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,captain,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_penaltyWon,stat_keyPass,stat_shotOffTarget,stat_errorLeadToAShot,stat_fouls,stat_accurateCross,stat_blockedScoringAttempt,stat_outfielderBlock,stat_dispossessed,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_goals,player_sofascoreId,stat_bigChanceCreated,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_punches,stat_penaltyConceded,stat_totalOffside
12709454,home,Leicester City,Danny Ward,danny-ward,D. Ward,G,21,191.0,697,M,197428,EUR,740707200,G,1,1,False,18.0,17.0,4.0,3.0,0.0,17.0,18.0,3.0,1.0,2.0,2.0,90.0,20.0,6.9,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12709454,home,Leicester City,Ricardo Pereira,ricardo-pereira,R. Pereira,D,21,175.0,980,M,221200,EUR,749865600,D,21,21,False,85.0,77.0,4.0,3.0,0.0,19.0,23.0,2.0,,,,90.0,105.0,8.9,10.0,0,,,True,58.0,63.0,1.0,1.0,4.0,2.0,9.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,6.0,,,,,,,,,,,,,,,,,,
12709454,home,Leicester City,Wout Faes,wout-faes,W. Faes,D,25,185.0,1764,M,361696,EUR,891561600,D,3,3,False,86.0,81.0,7.0,4.0,0.0,39.0,40.0,2.0,,,,72.0,91.0,7.2,6.0,1,,,,42.0,47.0,1.0,1.0,1.0,2.0,1.0,1.0,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
12709454,home,Leicester City,Caleb Okoli,caleb-okoli,C. Okoli,D,5,191.0,939,M,967722,EUR,994982400,D,5,5,False,76.0,71.0,2.0,1.0,0.0,48.0,50.0,6.0,,,,90.0,80.0,6.9,5.0,0,,,,23.0,26.0,,,4.0,1.0,4.0,,,,4.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
12709454,home,Leicester City,Luke Thomas,luke-thomas,L. Thomas,D,33,178.0,488,M,991584,EUR,992131200,D,33,33,False,103.0,95.0,6.0,4.0,0.0,39.0,44.0,8.0,,,,90.0,129.0,8.1,11.0,1,,,,57.0,62.0,3.0,,4.0,,9.0,,,,2.0,2.0,4.0,2.0,,1.0,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,
12709454,home,Leicester City,Oliver Skipp,skipp-oliver,O. Skipp,M,22,175.0,1307,M,859901,EUR,969062400,M,22,22,False,57.0,56.0,1.0,1.0,0.0,27.0,27.0,5.0,,,,63.0,63.0,7.1,5.0,1,,,,29.0,33.0,3.0,,,2.0,,1.0,,,1.0,,,,,,,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,,
12709454,home,Leicester City,Harry Winks,harry-winks,H. Winks,M,8,178.0,1217,M,545780,EUR,823219200,M,8,8,False,122.0,116.0,5.0,4.0,1.0,37.0,38.0,3.0,,,,90.0,137.0,8.8,17.0,3,,,,79.0,93.0,9.0,,,2.0,,1.0,1.0,,,,,,1.0,,,1.0,1.0,,1.0,,1.0,,,,1.0,1.0,,,,,,,,
12709454,home,Leicester City,Wilfred Ndidi,wilfred-ndidi,W. Ndidi,M,4,186.0,9682,M,787885,EUR,850694400,M,6,6,False,31.0,27.0,1.0,,0.0,6.0,7.0,1.0,,,,72.0,45.0,7.7,10.0,4,,,,21.0,27.0,3.0,,1.0,2.0,2.0,,1.0,1.0,2.0,,,,3.0,,,2.0,2.0,,2.0,,,,,,2.0,1.0,,,,,,,,
12709454,home,Leicester City,Kasey McAteer,kasey-mcateer,K. McAteer,M,20,177.0,512,M,1065134,EUR,1006387200,F,35,35,False,39.0,32.0,1.0,1.0,0.0,7.0,7.0,2.0,,,,83.0,60.0,7.3,12.0,3,Kasey McAteer,,,25.0,35.0,3.0,1.0,1.0,6.0,8.0,3.0,3.0,1.0,,1.0,3.0,2.0,,3.0,,,1.0,,,,2.0,,,,,,,,,,,,,
12709454,home,Leicester City,Jordan Ayew,jordan-ayew,J. Ayew,F,9,182.0,13137,M,103045,EUR,684547200,F,18,18,False,31.0,26.0,1.0,1.0,1.0,5.0,5.0,2.0,,,,73.0,40.0,8.4,8.0,2,,,,21.0,27.0,1.0,,,2.0,3.0,,1.0,1.0,,,1.0,,1.0,1.0,,1.0,,,1.0,,,,1.0,,2.0,1.0,jordanayew9,1.0,,,,,,
