match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_bigChanceCreated,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_aerialLost,stat_aerialWon,stat_shotOffTarget,stat_wasFouled,stat_totalOffside,stat_expectedGoals,stat_wonContest,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,captain,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_hitWoodwork,player_firstName,player_lastName,stat_outfielderBlock,stat_errorLeadToAShot
12437637,home,Atlético Madrid,Jan Oblak,jan-oblak,J. Oblak,G,13,189,12131,M,oblakjan,69768,EUR,726364800,G,13,13,False,12.0,9.0,4.0,1.0,0.0,9.0,10.0,2.0,7.0,1.0,1.0,1.0,1.0,1.0,90.0,20.0,7.1,3.0,4.125e-05,0,0.1581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437637,home,Atlético Madrid,Nahuel Molina,nahuel-molina,N. Molina,D,16,175,13426,M,nahuelmolina_35,831799,EUR,891820800,D,16,16,False,61.0,50.0,6.0,1.0,1.0,22.0,26.0,41.0,5.0,,,,,,90.0,86.0,7.5,22.0,0.324332,0,,29.0,6.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,
12437637,home,Atlético Madrid,José María Giménez,jose-maria-gimenez,J. M. Giménez,D,2,185,5874,M,JoseMaGimenez13,325355,EUR,790560000,D,2,2,False,43.0,42.0,,,0.0,38.0,39.0,4.0,3.0,,,,,,90.0,53.0,6.8,2.0,0.00249317,0,,4.0,,,6.0,1.0,2.0,,,,1.0,3.0,,,1.0,,,4.0,1.0,,,,,,,,,,,,,,,,
12437637,home,Atlético Madrid,Clément Lenglet,clement-lenglet,C. Lenglet,D,15,186,7982,M,clement_lenglet,580550,EUR,803347200,D,15,15,False,63.0,54.0,8.0,5.0,0.0,34.0,37.0,26.0,5.0,,,,,,90.0,73.0,7.2,10.0,0.0190366,1,,20.0,,,7.0,6.0,,,,,1.0,2.0,1.0,1.0,1.0,3.0,,4.0,4.0,1.0,1.0,1.0,0.0697,,,,,,,,,,,,
12437637,home,Atlético Madrid,Javi Galán,javi-galan,J. Galán,D,20,172,2472,M,,825133,EUR,785203200,D,21,21,False,31.0,25.0,1.0,,0.0,9.0,11.0,24.0,3.0,,,,,,84.0,62.0,6.1,16.0,0.0855428,0,,18.0,4.0,2.0,12.0,5.0,1.0,3.0,5.0,,,,,,1.0,3.0,1.0,2.0,1.0,,3.0,,,1.0,,,,,,,,,,,
12437637,home,Atlético Madrid,Giuliano Simeone,giuliano-simeone,G. Simeone,M,20,178,16028,M,giulisimeone,1099352,EUR,1040169600,M,22,22,False,38.0,29.0,,,0.0,5.0,8.0,33.0,5.0,,,,,,84.0,58.0,7.5,19.0,0.11767,1,,24.0,3.0,,5.0,5.0,,,4.0,,,,1.0,1.0,5.0,1.0,1.0,2.0,,,2.0,,0.2403,2.0,1.0,1.0,0.6957,,,,,,,,
12437637,home,Atlético Madrid,Koke,koke,Koke,M,6,177,5822,M,Koke6,84539,EUR,694828800,M,6,6,False,81.0,72.0,3.0,2.0,0.0,34.0,36.0,45.0,8.0,,,,,,90.0,98.0,7.6,12.0,0.0608762,1,,38.0,,,3.0,8.0,1.0,,3.0,,2.0,1.0,5.0,4.0,2.0,,,1.0,,1.0,1.0,,0.0281,2.0,,,,True,,,,,,,
12437637,home,Atlético Madrid,Pablo Barrios,pablo-barrios,P. Barrios,M,8,181,6589,M,PBarrios,1142588,EUR,1055635200,M,8,8,False,21.0,17.0,2.0,1.0,0.0,3.0,3.0,22.0,1.0,,,,,,45.0,33.0,7.2,8.0,0.202303,3,,15.0,4.0,1.0,2.0,2.0,,1.0,,1.0,1.0,,1.0,,,1.0,1.0,,1.0,2.0,,,0.1705,,1.0,,0.2322,,,,,,,,
12437637,home,Atlético Madrid,Samuel Lino,samuel-lino,S. Lino,M,16,178,22125,M,osamuellino,874705,EUR,945907200,M,12,12,False,25.0,23.0,,,0.0,8.0,8.0,17.0,4.0,,,,,,45.0,31.0,6.8,3.0,0.0378932,1,,15.0,,,2.0,2.0,,1.0,,,,,,,,1.0,1.0,,1.0,,1.0,,0.033,,,,,,1.0,,,,,,
12437637,home,Atlético Madrid,Antoine Griezmann,antoine-griezmann,A. Griezmann,F,7,176,100258,M,AGriez,85859,EUR,669513600,F,7,7,False,30.0,18.0,3.0,3.0,0.0,4.0,5.0,29.0,3.0,,,,,,65.0,47.0,6.8,19.0,0.0749827,3,,14.0,4.0,,3.0,3.0,,1.0,2.0,,,,1.0,1.0,,,,1.0,1.0,2.0,,,0.4509,1.0,,,,,1.0,1.0,1.0,,,,
