match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_bigChanceCreated,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAGoal,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keyPass,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_aerialLost,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_outfielderBlock,stat_interceptionWon,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_accurateCross,stat_unsuccessfulTouch,player_sofascoreId,stat_shotOffTarget,captain,stat_bigChanceMissed,stat_totalOffside,stat_accurateKeeperSweeper
12437546,home,Sevilla,Ørjan Nyland,,,orjan-nyland,Ø. Nyland,G,13,192,1050,M,22209,EUR,652924800,G,13,13,False,32.0,15.0,25.0,8.0,0.0,12.0,13.0,3.0,19.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,1.0,1.0,1.0,90.0,43.0,6.0,17.0,0.028507,1.0,0,-1.2507,,,,,,,,,,,,,,,,,,,,,,,,
12437546,home,Sevilla,José Ángel Carmona,,,jose-angel-carmona,J. Á. Carmona,D,2,183,1021,M,1015240,EUR,1012262400,D,2,2,False,18.0,14.0,1.0,,0.0,9.0,9.0,5.0,13.0,2.0,5.0,5.0,1.0,,1.0,1.0,,,,,,,45.0,31.0,6.4,9.0,0.00871382,1.0,0,,4.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,
12437546,home,Sevilla,Loïc Badé,,,loic-bade,L. Badé,D,5,191,3177,M,1006489,EUR,955411200,D,22,22,False,47.0,39.0,6.0,2.0,0.0,33.0,36.0,6.0,13.0,3.0,2.0,7.0,1.0,,10.0,3.0,,,,,,,90.0,65.0,6.7,10.0,0.00678503,1.0,0,,2.0,,2.0,2.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,
12437546,home,Sevilla,Kike Salas,,,kike-salas,K. Salas,D,4,186,890,M,1097719,EUR,1019433600,D,4,4,False,45.0,33.0,8.0,2.0,0.0,24.0,27.0,9.0,18.0,4.0,5.0,9.0,2.0,,5.0,3.0,,,,,,,90.0,60.0,7.4,13.0,0.00372571,,2,,,1.0,,,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.077,0.4917,,,,,,,,
12437546,home,Sevilla,Adrià Pedrosa,,,adria-pedrosa,A. Pedrosa,D,3,176,847,M,928672,EUR,895017600,D,3,3,False,38.0,33.0,8.0,6.0,0.0,21.0,22.0,13.0,23.0,,5.0,,,,,10.0,,,,,,,90.0,68.0,6.9,18.0,0.138103,2.0,1,,7.0,,2.0,,,,,3.0,,1.0,,,,1.0,0.0291,0.08,1.0,2.0,,,,,,
12437546,home,Sevilla,Lucien Agoumé,,,lucien-agoume,L. Agoumé,M,18,185,2096,M,960006,EUR,1013212800,M,18,18,False,50.0,39.0,9.0,6.0,0.0,16.0,18.0,23.0,33.0,1.0,4.0,8.0,1.0,1.0,3.0,8.0,,,,,,,90.0,71.0,7.5,15.0,0.0839154,2.0,0,,1.0,2.0,2.0,2.0,5.0,2.0,,1.0,1.0,,,,,1.0,,,,1.0,,,,,,
12437546,home,Sevilla,Saúl Ñíguez,,,saul-niguez,S. Ñíguez,M,8,184,13421,M,116955,EUR,785376000,M,17,17,False,35.0,30.0,7.0,5.0,0.0,23.0,25.0,7.0,10.0,1.0,2.0,4.0,1.0,,2.0,5.0,,,,,,,55.0,45.0,7.1,5.0,0.00914139,,2,,,,,,3.0,2.0,,1.0,,,,,,,0.0292,,,,Saul,2.0,,,,
12437546,home,Sevilla,Suso,,,suso,Suso,M,11,176,1350,M,96370,EUR,753667200,M,10,10,False,42.0,33.0,6.0,2.0,1.0,7.0,7.0,28.0,45.0,,2.0,6.0,,1.0,,4.0,,,,,,,90.0,68.0,8.2,18.0,0.177076,4.0,3,,10.0,,1.0,1.0,1.0,,4.0,1.0,1.0,1.0,1.0,,,1.0,0.115,0.1377,2.0,1.0,,1.0,True,,,
12437546,home,Sevilla,Peque Fernández,,,peque-fernandez,P. Fernández,M,14,168,904,M,997033,EUR,1033689600,M,14,14,False,16.0,15.0,2.0,2.0,0.0,3.0,3.0,12.0,14.0,,8.0,4.0,1.0,,,2.0,,,,,,,56.0,34.0,7.2,7.0,0.0216385,,5,,1.0,3.0,3.0,2.0,2.0,1.0,,1.0,2.0,1.0,1.0,,,,0.6387,0.4605,,1.0,,3.0,,1.0,,
12437546,home,Sevilla,Dodi Lukebakio,,,dodi-lukebakio,D. Lukebakio,M,11,187,4874,M,823631,EUR,875059200,M,11,11,False,24.0,20.0,,,0.0,5.0,8.0,15.0,20.0,,3.0,3.0,,,,5.0,,,,,,,90.0,48.0,6.2,15.0,0.0400872,2.0,7,,4.0,,3.0,1.0,1.0,,1.0,1.0,,1.0,2.0,,,,0.6199,0.472,,4.0,DLukebakio,4.0,,2.0,2.0,
