match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_duelWon,stat_totalContest,stat_totalClearance,stat_ballRecovery,stat_lastManTackle,stat_totalTackle,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_challengeLost,stat_onTargetScoringAttempt,stat_goals,stat_errorLeadToAGoal,stat_fouls,stat_interceptionWon,stat_wonTackle,captain,stat_wonContest,stat_blockedScoringAttempt,stat_outfielderBlock,stat_unsuccessfulTouch,stat_dispossessed,stat_shotOffTarget,stat_hitWoodwork,stat_keyPass,player_sofascoreId,stat_totalOffside,player_firstName,player_lastName,stat_goalAssist
10388484,home,SV Werder Bremen,Jiří Pavlenka,jiri-pavlenka,J. Pavlenka,G,1,196,521,M,154040,EUR,703209600,G,1,1,False,22.0,17.0,5.0,1.0,17.0,19.0,3.0,1.0,3.0,1.0,1.0,8.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,90.0,38.0,6.6,6.0,0.0,0.0,6.76e-05,0,-0.9756,,,,,,,,,,,,,,,,,,,,,,,,,,
10388484,home,SV Werder Bremen,Amos Pieper,amos-pieper,A. Pieper,D,5,191,299,M,851254,EUR,884995200,D,5,5,False,82.0,66.0,7.0,4.0,49.0,55.0,29.0,7.0,5.0,,2.0,3.0,,,,,,,,77.0,90.0,6.5,17.0,0.1386,0.2237,0.0523611,1,,18.0,2.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
10388484,home,SV Werder Bremen,Niklas Stark,niklas-stark,N. Stark,D,4,190,247,M,229544,EUR,797817600,D,4,4,False,89.0,80.0,11.0,7.0,54.0,57.0,32.0,3.0,6.0,,9.0,5.0,,1.0,2.0,,,,,90.0,106.0,7.2,9.0,0.0,0.0,0.00635489,0,,26.0,,,3.0,3.0,,,,,,4.0,1.0,,,,,,,,,,,,,,
10388484,home,SV Werder Bremen,Marco Friedl,marco-friedl,M. Friedl,D,32,187,536,M,825771,EUR,890006400,D,32,32,False,74.0,60.0,19.0,9.0,42.0,45.0,29.0,2.0,7.0,2.0,5.0,10.0,,1.0,2.0,,,,,90.0,88.0,6.9,14.0,0.0496,0.0,0.0379186,1,,18.0,,,1.0,2.0,,,,,1.0,1.0,1.0,True,2.0,1.0,,,,,,,,,,,
10388484,home,SV Werder Bremen,Ilia Gruev,ilia-gruev,I. Gruev,M,44,185,2652,M,911679,EUR,957571200,M,28,28,False,37.0,35.0,,,18.0,19.0,20.0,2.0,6.0,1.0,3.0,1.0,,1.0,,,,,,87.0,48.0,7.0,4.0,0.0,0.0,0.0750061,0,,18.0,2.0,1.0,1.0,4.0,,,,,1.0,1.0,1.0,,1.0,,1.0,1.0,,,,,,,,,
10388484,home,SV Werder Bremen,Mitchell Weiser,mitchell-weiser,M. Weiser,M,8,176,1411,M,138150,EUR,766886400,M,8,8,False,45.0,31.0,8.0,3.0,19.0,20.0,29.0,11.0,7.0,2.0,1.0,5.0,,2.0,2.0,,,,,90.0,89.0,6.6,31.0,0.0,0.0,0.0249118,0,,12.0,4.0,,3.0,2.0,1.0,,,,3.0,3.0,1.0,,1.0,,1.0,4.0,3.0,,,,,,,,
10388484,home,SV Werder Bremen,Leonardo Bittencourt,leonardo-bittencourt,L. Bittencourt,M,10,171,295,M,111969,EUR,756259200,M,10,10,False,37.0,29.0,1.0,,14.0,17.0,26.0,10.0,4.0,2.0,1.0,6.0,,,3.0,,,,,90.0,63.0,6.5,20.0,0.1786,0.0916,0.260641,3,,16.0,6.0,1.0,2.0,,1.0,1.0,,,4.0,1.0,,,1.0,1.0,,3.0,2.0,1.0,1.0,1.0,,,,,
10388484,home,SV Werder Bremen,Niklas Schmidt,niklas-schmidt,N. Schmidt,M,31,183,151,M,795002,EUR,888710400,M,22,22,False,32.0,28.0,8.0,6.0,14.0,15.0,18.0,3.0,7.0,1.0,1.0,7.0,,2.0,2.0,,,,,77.0,44.0,6.7,8.0,0.1077,0.0,0.0718819,1,,14.0,1.0,,1.0,2.0,1.0,,,,1.0,,2.0,,1.0,1.0,,2.0,1.0,,,,,,,,
10388484,home,SV Werder Bremen,Anthony Jung,anthony-jung,A. Jung,D,5,186,138,M,103442,EUR,689126400,M,3,3,False,29.0,16.0,4.0,1.0,6.0,7.0,22.0,5.0,3.0,1.0,,2.0,,1.0,,,,,,71.0,40.0,6.1,15.0,0.0,0.0,0.00845256,0,,10.0,,,3.0,2.0,,,,,,,,,,,,,1.0,,,,,,,,
10388484,home,SV Werder Bremen,Niclas Füllkrug,niclas-fullkrug,N. Füllkrug,F,9,188,9884,M,132645,EUR,729216000,F,11,11,False,23.0,15.0,3.0,2.0,3.0,4.0,19.0,6.0,6.0,1.0,,2.0,,,3.0,,,,,90.0,32.0,7.0,10.0,0.1107,0.2069,0.254284,2,,12.0,,,5.0,3.0,,1.0,,,,,,,,,,1.0,,1.0,,2.0,niclas.fuellkrug24,1.0,,,
