match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_challengeLost,stat_ballRecovery,stat_errorLeadToAGoal,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,captain,stat_blockedScoringAttempt,stat_outfielderBlock,stat_lastManTackle,stat_totalContest,stat_wonContest,stat_totalOffside,stat_dispossessed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_goalAssist,stat_bigChanceCreated,stat_keyPass,stat_accurateCross,player_sofascoreId,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_bigChanceMissed
11399506,home,FC Utrecht,Vasilis Barkas,,,vasilis-barkas,V. Barkas,G,1,196,390,M,347726,EUR,770256000,G,1,1,False,36.0,30.0,14.0,8.0,26.0,27.0,4.0,9.0,1.0,1.0,7.0,1.0,1.0,4.0,6.0,90.0,49.0,6.5,6.0,0.0,0.0,0.00096748,0,-1.4456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11399506,home,FC Utrecht,Hidde ter Avest,,,hidde-ter-avest,H. t. Avest,D,24,182,95,M,361788,EUR,864086400,D,5,5,False,42.0,32.0,5.0,,20.0,23.0,12.0,22.0,2.0,,6.0,,,,,90.0,65.0,6.1,15.0,0.0,0.0,0.0086394,0,,3.0,1.0,1.0,5.0,4.0,2.0,2.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
11399506,home,FC Utrecht,Mike van der Hoorn,,,mike-van-der-hoorn,M. v. d. Hoorn,D,3,190,158,M,152414,EUR,719107200,D,3,3,False,64.0,55.0,10.0,6.0,43.0,45.0,12.0,19.0,4.0,1.0,5.0,,,,,90.0,78.0,6.7,9.0,0.0121,0.0,0.035957,1,,,1.0,2.0,7.0,4.0,,4.0,1.0,,1.0,2.0,True,1.0,1.0,1.0,,,,,,,,,,,,,,,
11399506,home,FC Utrecht,Modibo Sagnan,,,modibo-sagnan,M. Sagnan,D,27,187,577,M,904759,EUR,924048000,D,27,27,False,57.0,43.0,10.0,3.0,36.0,40.0,7.0,17.0,1.0,,4.0,,,,,85.0,76.0,6.5,15.0,0.0,0.0,0.00377314,0,,,,2.0,7.0,7.0,1.0,4.0,1.0,1.0,,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,
11399506,home,FC Utrecht,Souffian El Karouani,,,souffian-el-karouani,S. El Karouani,D,16,178,3591,M,991679,EUR,971913600,D,16,16,False,37.0,31.0,1.0,1.0,16.0,20.0,15.0,21.0,5.0,1.0,7.0,,,,,90.0,59.0,6.7,12.0,0.0,0.0,0.037199,0,,4.0,,2.0,9.0,2.0,1.0,4.0,4.0,1.0,3.0,3.0,,,1.0,,1.0,,1.0,,,,,,,,,,,,
11399506,home,FC Utrecht,Can Bozdoğan,,,can-bozdogan,C. Bozdoğan,M,8,175,306,M,934249,EUR,986428800,M,6,6,False,49.0,40.0,2.0,1.0,24.0,26.0,16.0,25.0,6.0,3.0,10.0,,,,,90.0,68.0,6.6,13.0,0.0242,0.0,0.0110484,1,,2.0,1.0,1.0,8.0,1.0,2.0,6.0,2.0,,,,,,,,2.0,1.0,,1.0,1.0,,,,,,,,,,
11399506,home,FC Utrecht,Ryan Flamingo,Ryan Flamingo,,ryan-flamingo,R. Flamingo,D,6,186,1614,M,1046960,EUR,1041292800,M,34,34,False,24.0,17.0,3.0,,13.0,15.0,4.0,9.0,4.0,1.0,4.0,,,,,77.0,37.0,6.8,9.0,0.4381,0.5741,0.00195528,1,,,,,2.0,,,2.0,2.0,,,1.0,,,,,,,,2.0,,1.0,1.0,,,,,,,,
11399506,home,FC Utrecht,Jens Toornstra,,,jens-toornstra,J. Toornstra,M,18,178,203,M,99960,EUR,607651200,M,18,18,False,20.0,13.0,,,6.0,9.0,7.0,12.0,8.0,4.0,4.0,,,,,77.0,28.0,6.0,11.0,0.0,0.0,0.0213556,0,,1.0,1.0,,2.0,,,2.0,1.0,2.0,,2.0,,,,,,,,1.0,,,,,,,,,,,
11399506,home,FC Utrecht,Marouan Azarkan,,,marouan-azarkan,M. Azarkan,M,17,165,221,M,987524,EUR,1007769600,F,11,11,False,17.0,11.0,,,4.0,7.0,7.0,11.0,5.0,2.0,4.0,,,,,64.0,35.0,6.6,12.0,0.0,0.0,0.00399682,0,,1.0,1.0,,5.0,,1.0,2.0,2.0,3.0,2.0,,,,,,2.0,1.0,,1.0,,,,,,,,,,,
11399506,home,FC Utrecht,Isac Lidberg,,,isac-lidberg,I. Lidberg,F,7,185,1089,M,798175,EUR,905212800,F,37,37,False,10.0,9.0,,,6.0,6.0,3.0,4.0,2.0,,3.0,,,,,64.0,21.0,6.9,6.0,0.0,0.0,0.00122122,0,,,1.0,2.0,4.0,1.0,,,,3.0,2.0,,,,,,,,,1.0,,,,1.0,1.0,1.0,,,,,
