match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,player_sofascoreId,stat_aerialWon,stat_bigChanceMissed,stat_clearanceOffLine,stat_outfielderBlock,stat_unsuccessfulTouch,stat_totalCross,stat_challengeLost,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_keyPass,stat_dispossessed,captain,stat_goalAssist,stat_bigChanceCreated,stat_totalOffside,stat_goals,stat_accurateCross,stat_goodHighClaim,stat_errorLeadToAGoal
10408566,home,Real Betis,Rui Silva,Rui,Silva,rui-silva,R. Silva,G,1,191,3299,M,253809,EUR,760579200,G,13,13,False,25.0,21.0,8.0,4.0,20.0,24.0,1.0,1.0,1.0,5.0,1.0,1.0,90.0,29.0,7.2,4.0,0.0,0.0,0.00022899,0,0.1537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408566,home,Real Betis,Aitor Ruibal,,,aitor-ruibal,A. Ruibal,D,24,176,879,M,893062,EUR,827452800,D,24,24,False,33.0,28.0,5.0,2.0,17.0,18.0,11.0,15.0,,7.0,,,79.0,54.0,7.0,8.0,0.0201,0.0,0.0204158,1,,1.0,3.0,6.0,4.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
10408566,home,Real Betis,Germán Pezzella,,,german-pezzella,G. Pezzella,D,6,187,3493,M,158241,EUR,677980800,D,16,16,False,72.0,66.0,7.0,5.0,60.0,62.0,6.0,10.0,,10.0,,,90.0,85.0,8.0,7.0,0.2007,0.0,0.00471766,1,,,2.0,5.0,,,1.0,7.0,3.0,2.0,,2.0,germanpezzella,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
10408566,home,Real Betis,Edgar González,,,edgar-gonzalez,E. González,D,12,193,375,M,914522,EUR,859852800,D,3,3,False,56.0,53.0,1.0,1.0,41.0,44.0,12.0,12.0,1.0,3.0,,,90.0,68.0,7.2,5.0,0.3469,0.0,0.00406454,1,,1.0,2.0,6.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,,2.0,1.0,,,1.0,,,,,,,,,,,,,,
10408566,home,Real Betis,Álex Moreno,,,alex-moreno,Á. Moreno,D,24,179,1206,M,294593,EUR,739497600,D,15,15,False,47.0,43.0,3.0,3.0,22.0,24.0,21.0,27.0,2.0,3.0,,,90.0,78.0,6.8,17.0,0.082,0.639,0.140544,2,,1.0,5.0,4.0,5.0,2.0,,,,,1.0,,,1.0,,,,3.0,4.0,1.0,1.0,1.0,1.0,,,,,,,,,
10408566,home,Real Betis,Guido Rodríguez,,,guido-rodriguez,G. Rodríguez,M,2,185,3908,M,609752,EUR,766108800,M,5,5,False,75.0,67.0,4.0,1.0,44.0,48.0,23.0,27.0,2.0,6.0,,,87.0,90.0,7.5,10.0,0.0,0.0,0.0778719,0,,,1.0,8.0,2.0,2.0,,1.0,1.0,1.0,2.0,,guiido_rodriguez,3.0,,,,1.0,,1.0,,,1.0,,,,,,,,,
10408566,home,Real Betis,William Carvalho,,,william-carvalho,W. Carvalho,M,41,187,1602,M,137978,EUR,702604800,M,14,14,False,125.0,106.0,12.0,7.0,54.0,64.0,52.0,61.0,,8.0,,,90.0,136.0,7.8,21.0,0.0,0.0,0.171055,0,,,4.0,8.0,2.0,2.0,,1.0,3.0,2.0,1.0,1.0,,2.0,,,,1.0,,2.0,,,,1.0,,,,,,,,
10408566,home,Real Betis,Rodri Sánchez,,,rodri-sanchez,R. Sánchez,M,10,175,565,M,1031421,EUR,958435200,M,28,28,False,43.0,39.0,,,17.0,18.0,22.0,25.0,,2.0,,,87.0,50.0,7.0,6.0,0.0288,0.0,0.0265468,1,,,1.0,2.0,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,
10408566,home,Real Betis,Nabil Fekir,,,nabil-fekir,N. Fekir,M,20,173,3513,M,337671,EUR,742953600,M,8,8,False,38.0,33.0,4.0,1.0,8.0,9.0,25.0,32.0,,1.0,,,64.0,57.0,7.3,14.0,0.1973,0.3561,0.634778,3,,,2.0,6.0,3.0,3.0,,,,,2.0,1.0,NabilFekir,1.0,,,,5.0,3.0,1.0,1.0,2.0,1.0,,True,1.0,1.0,1.0,,,,
10408566,home,Real Betis,Juanmi,,,juanmi,Juanmi,F,7,169,648,M,96369,EUR,737856000,M,7,7,False,42.0,39.0,2.0,2.0,18.0,18.0,21.0,24.0,,5.0,,,90.0,58.0,8.4,8.0,1.3152,1.9512,0.0266027,3,,1.0,7.0,8.0,7.0,4.0,,,1.0,,2.0,2.0,,1.0,1.0,,,1.0,,,3.0,,1.0,1.0,,,,3.0,2.0,,,
