match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_penaltyConceded,stat_wasFouled,stat_fouls,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltySave,stat_penaltyFaced,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_dispossessed,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_keyPass,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_interceptionWon,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_bigChanceCreated,stat_outfielderBlock,captain,stat_blockedScoringAttempt,stat_errorLeadToAShot,stat_accurateCross,stat_bigChanceMissed,stat_totalOffside,stat_challengeLost,stat_penaltyWon,stat_errorLeadToAGoal,stat_ownGoals,stat_penaltyMiss
12437031,home,Newcastle United,Nick Pope,,,nick-pope,N. Pope,G,1,198,4628,M,npope29,162653,EUR,703641600,G,22,22,False,27.0,20.0,11.0,4.0,0.0,16.0,16.0,4.0,11.0,1.0,2.0,1.0,2.0,3.0,10.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,90.0,45.0,7.7,7.0,0.00042519,0,1.0462,,,,,,,,,,,,,,,,,,,,,,,,,,,
12437031,home,Newcastle United,Kieran Trippier,,,kieran-trippier,K. Trippier,D,2,174,8369,M,ktrippier2,69256,EUR,653702400,D,2,2,False,55.0,46.0,6.0,5.0,1.0,20.0,23.0,26.0,36.0,,1.0,1.0,7.0,3.0,3.0,,2.0,,,,,,,,,,79.0,81.0,7.8,16.0,0.0542693,0,,4.0,1.0,4.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,
12437031,home,Newcastle United,Fabian Schär,,,fabian-schar,F. Schär,D,5,186,3172,M,,101882,EUR,693187200,D,5,5,False,88.0,77.0,16.0,8.0,0.0,59.0,64.0,18.0,24.0,2.0,1.0,5.0,5.0,4.0,7.0,,3.0,3.0,,,,,,,,,90.0,103.0,8.3,12.0,0.0164637,3,,,,1.0,,,2.0,1.0,1.0,1.0,2.0,1.0,2.0,0.1663,0.8395,,,,,,,,,,,,,
12437031,home,Newcastle United,Dan Burn,,,dan-burn,D. Burn,D,33,201,4473,M,,99090,EUR,705369600,D,33,33,False,84.0,72.0,6.0,2.0,0.0,57.0,60.0,15.0,24.0,,6.0,1.0,6.0,7.0,,,,1.0,,,,,,,,,90.0,92.0,7.4,12.0,0.049209,0,,,,,,,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,
12437031,home,Newcastle United,Valentino Livramento,,,valentino-livramento,V. Livramento,D,21,181,4840,M,,980634,EUR,1037059200,D,21,21,False,53.0,48.0,,,0.0,28.0,29.0,20.0,25.0,,1.0,1.0,1.0,3.0,4.0,,,,,,,,,,,,90.0,70.0,7.1,9.0,0.0168055,0,,1.0,,,,1.0,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,
12437031,home,Newcastle United,Bruno Guimarães,,,bruno-guimaraes,B. Guimarães,M,39,182,31550,M,BrunoGuimarães,866469,EUR,879638400,M,39,39,False,32.0,29.0,3.0,2.0,0.0,14.0,14.0,15.0,18.0,1.0,,3.0,3.0,1.0,1.0,,3.0,1.0,,,,,,,,,72.0,41.0,6.9,5.0,0.184226,0,,,1.0,,,1.0,1.0,,,,,,,,,1.0,,True,,,,,,,,,,
12437031,home,Newcastle United,Sandro Tonali,,,sandro-tonali,S. Tonali,M,8,181,14225,M,sandrotonali,892673,EUR,957744000,M,8,8,False,74.0,64.0,6.0,5.0,1.0,41.0,41.0,23.0,34.0,,,1.0,2.0,1.0,10.0,,1.0,1.0,,,,,,,,,90.0,83.0,7.5,11.0,0.0241801,1,,1.0,,,,,1.0,1.0,1.0,,,,1.0,0.0383,,1.0,,,1.0,,,,,,,,,
12437031,home,Newcastle United,Joelinton,,,joelinton,Joelinton,M,7,186,10098,M,joelinton34,560128,EUR,839980800,M,7,7,False,26.0,21.0,,,1.0,10.0,11.0,11.0,15.0,2.0,2.0,3.0,3.0,,2.0,,1.0,1.0,,,,,,,,,62.0,33.0,6.7,7.0,0.0641801,0,,,,,,2.0,1.0,,,,,,1.0,,,,,,,1.0,,,,,,,,
12437031,home,Newcastle United,Jacob Murphy,,,jacob-murphy,J. Murphy,F,23,176,3564,M,,372336,EUR,793584000,F,23,23,False,13.0,8.0,1.0,,1.0,4.0,4.0,6.0,13.0,,,,,,2.0,,,,,,,,,,,,62.0,22.0,8.4,8.0,0.212547,1,,4.0,,,,1.0,3.0,,,,1.0,1.0,,0.0116,0.1357,2.0,,,,,2.0,,,,,,,
12437031,home,Newcastle United,Alexander Isak,,,alexander-isak,A. Isak,F,9,193,100485,M,AlexIsak,823941,EUR,937872000,F,14,14,False,5.0,4.0,,,0.0,4.0,4.0,,2.0,2.0,1.0,2.0,1.0,,1.0,,,,,,,,,,,,72.0,13.0,6.5,3.0,6.308e-05,6,,1.0,,,,1.0,,,,2.0,3.0,1.0,,0.8984,0.6138,,,,1.0,,,3.0,1.0,,,,,
