match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_height,player_userCount,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_interceptionWon,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_jerseyNumber,player_gender,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,captain,stat_outfielderBlock,stat_accurateCross,stat_totalContest,stat_wonContest,stat_wasFouled,stat_fouls,stat_dispossessed,stat_aerialLost,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_goals,stat_keyPass,player_sofascoreId,stat_goalAssist,stat_shotOffTarget,stat_crossNotClaimed,stat_punches,stat_hitWoodwork,stat_totalOffside
10382252,home,SC Heerenveen,Xavier Mous,,,xavier-mous,X. Mous,G,188,36,352328,EUR,807494400,G,1,1,False,25.0,13.0,16.0,4.0,11.0,17.0,2.0,8.0,1.0,8.0,1.0,2.0,1.0,1.0,90.0,34.0,5.7,12.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382252,home,SC Heerenveen,Milan van Ewijk,,,milan-van-ewijk,M. v. Ewijk,D,175,699,948723,EUR,968371200,D,27,27,False,36.0,23.0,4.0,3.0,8.0,11.0,15.0,29.0,3.0,9.0,,,,,90.0,63.0,6.8,19.0,1,27,M,4.0,1.0,1.0,6.0,1.0,1.0,1.0,4.0,5.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,
10382252,home,SC Heerenveen,Jeffrey Bruma,,,jeffrey-bruma,J. Bruma,D,190,56,87223,EUR,689990400,D,25,25,False,32.0,27.0,7.0,3.0,15.0,17.0,12.0,15.0,,3.0,,,,,83.0,43.0,6.2,5.0,0,,M,,,,1.0,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,
10382252,home,SC Heerenveen,Paweł Bochniewicz,,,pawel-bochniewicz,P. Bochniewicz,D,194,794,286097,EUR,822960000,D,5,5,False,53.0,44.0,10.0,6.0,30.0,31.0,14.0,22.0,1.0,5.0,,,,,90.0,61.0,6.3,9.0,0,4,M,,2.0,2.0,3.0,2.0,,,4.0,1.0,1.0,,True,1.0,,,,,,,,,,,,,,,,,,
10382252,home,SC Heerenveen,Mats Köhlert,,,mats-kohlert,M. Köhlert,D,168,173,794998,EUR,894067200,D,7,7,False,30.0,20.0,6.0,1.0,12.0,16.0,9.0,17.0,,3.0,,,,,90.0,54.0,5.7,15.0,0,27,M,3.0,,7.0,7.0,5.0,,,,5.0,1.0,1.0,,,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,
10382252,home,SC Heerenveen,Simon Olsson,,,simon-olsson,S. Olsson,M,185,159,850851,EUR,874195200,M,19,19,False,13.0,12.0,1.0,,10.0,11.0,2.0,2.0,,2.0,,,,,37.0,20.0,5.9,4.0,0,10,M,,,5.0,2.0,1.0,,,,1.0,,1.0,,,,1.0,,1.0,2.0,1.0,,,,,,,,,,,,
10382252,home,SC Heerenveen,Rami Al Hajj,,,rami-al-hajj,R. Al Hajj,M,180,219,978289,EUR,1000684800,M,22,22,False,17.0,16.0,2.0,2.0,10.0,10.0,6.0,7.0,,1.0,,,,,37.0,25.0,6.3,3.0,0,22,M,,,1.0,4.0,,,,,1.0,,1.0,,,,1.0,1.0,2.0,,1.0,,,,,,,,,,,,
10382252,home,SC Heerenveen,Anas Tahiri,,,anas-tahiri,A. Tahiri,M,179,260,544156,EUR,800496000,M,26,26,False,33.0,32.0,1.0,1.0,23.0,23.0,9.0,12.0,2.0,6.0,,,,,64.0,45.0,6.5,4.0,0,19,M,2.0,,4.0,1.0,3.0,,,2.0,1.0,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,
10382252,home,SC Heerenveen,Ché Nunnely,Ché,Nunnely,che-nunnely,C. Nunnely,M,170,190,825841,EUR,918086400,F,24,24,False,3.0,3.0,,,,,3.0,3.0,,2.0,,,,,37.0,4.0,6.4,1.0,0,11,M,,,4.0,,1.0,,,,,,,,,,,,,2.0,,1.0,,,,,,,,,,,
10382252,home,SC Heerenveen,Pelle van Amersfoort,,,pelle-van-amersfoort,P. v. Amersfoort,F,193,129,318585,EUR,828316800,F,11,11,False,22.0,14.0,1.0,,5.0,6.0,9.0,16.0,,2.0,,,,,90.0,33.0,7.4,11.0,2,9,M,,3.0,7.0,8.0,1.0,,1.0,,4.0,3.0,1.0,,,,,,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,,,,
10382252,home,SC Heerenveen,Osame Sahraoui,,,osame-sahraoui,O. Sahraoui,M,170,7357,965357,EUR,992217600,F,20,20,False,32.0,23.0,,,8.0,10.0,16.0,24.0,,6.0,,,,,90.0,55.0,7.1,21.0,1,11,M,2.0,,5.0,6.0,,,1.0,,,,6.0,,,1.0,7.0,4.0,2.0,1.0,1.0,,,,,2.0,osamesahraoui,1.0,,,,,
10382252,home,SC Heerenveen,Alex Timossi Andersson,,,alex-timossi-andersson,A. T. Andersson,D,170,90,876303,EUR,979862400,F,8,8,True,11.0,8.0,,,2.0,3.0,7.0,11.0,1.0,3.0,,,,,53.0,20.0,6.9,8.0,0,21,M,3.0,1.0,4.0,2.0,1.0,,,,1.0,,3.0,,,1.0,,,,2.0,,1.0,1.0,,,1.0,,,,,,,
10382252,home,SC Heerenveen,Thom Haye,,,thom-haye,T. Haye,M,187,10984,149666,EUR,792288000,M,33,33,True,36.0,24.0,4.0,,4.0,6.0,22.0,34.0,1.0,8.0,,,,,53.0,44.0,7.2,14.0,0,33,M,4.0,1.0,,2.0,,,,,1.0,1.0,,,,2.0,,,,,,,1.0,,,1.0,thomhaye,1.0,,,,,
10382252,home,SC Heerenveen,Sydney van Hooijdonk,Sydney,van Hooijdonk,sydney-van-hooijdonk,S. v. Hooijdonk,F,190,703,943595,EUR,949795200,F,17,17,True,12.0,8.0,,,2.0,4.0,6.0,8.0,,1.0,,,,,53.0,22.0,6.7,7.0,2,20,M,,1.0,6.0,3.0,1.0,1.0,1.0,1.0,,,2.0,,,,1.0,,2.0,1.0,,3.0,,,1.0,,,,1.0,,,,
10382252,home,SC Heerenveen,Tibor Halilović,,,tibor-halilovic,T. Halilović,M,176,395,843167,EUR,795484800,M,10,10,True,19.0,15.0,2.0,1.0,8.0,9.0,7.0,10.0,1.0,2.0,,,,,26.0,23.0,6.9,4.0,0,7,M,,,1.0,2.0,,,,,2.0,,,,,,,,,1.0,,,,,,1.0,,,,,,,
10382252,home,SC Heerenveen,Syb van Ottele,,,syb-van-ottele,S. v. Ottele,D,185,91,961686,EUR,1012608000,D,6,6,True,11.0,5.0,5.0,2.0,2.0,3.0,3.0,9.0,1.0,1.0,,,,,15.0,14.0,6.6,7.0,0,6,M,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382252,home,SC Heerenveen,Bernt Klaverboer,Bernt Klaverboer,,klaverboer-bernt,B. Klaverboer,G,190,124,1195719,EUR,1127692800,G,16,16,True,,,,,,,,,,,,,,,,,,,0,22,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382252,home,SC Heerenveen,Jan Bekkema,,,jan-bekkema,J. Bekkema,G,186,29,843764,EUR,829008000,G,23,23,True,,,,,,,,,,,,,,,,,,,0,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382252,home,SC Heerenveen,Hussein Ali,,,hussein-ali,H. Ali,D,180,1946,962056,EUR,1014940800,D,15,15,True,,,,,,,,,,,,,,,,,,,0,15,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382252,home,SC Heerenveen,Joost van Aken,,,joost-van-aken,J. v. Aken,D,194,26,339335,EUR,768787200,D,3,3,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382252,home,SC Heerenveen,Rami Kaib,,,rami-kaib,R. Kaib,M,178,374,834724,EUR,863049600,D,13,13,True,,,,,,,,,,,,,,,,,,,0,24,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382252,home,SC Heerenveen,Antoine Colassin,,,antoine-colassin,A. Colassin,F,188,181,909965,EUR,983145600,F,29,29,True,,,,,,,,,,,,,,,,,,,0,25,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382252,away,AFC Ajax,Gerónimo Rulli,,,geronimo-rulli,G. Rulli,G,189,13348,128383,EUR,706320000,G,12,12,False,35.0,28.0,9.0,2.0,27.0,32.0,1.0,3.0,,12.0,2.0,2.0,,,90.0,49.0,6.8,8.0,0,1,M,,,,,,,,1.0,,,1.0,,,,,,,,,,1.0,,,1.0,gerorulli,,,1.0,1.0,,
