match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_penaltyConceded,stat_fouls,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_challengeLost,stat_dispossessed,stat_unsuccessfulTouch,stat_wasFouled,stat_aerialLost,stat_interceptionWon,stat_totalTackle,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_wonTackle,stat_accurateCross,stat_onTargetScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_shotOffTarget,stat_goals,stat_totalOffside,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_penaltyWon
12512887,home,Estoril Praia,Daniel Figueira,,,daniel-figueira,D. Figueira,G,99,189,80,M,862060,EUR,900892800,G,99,99,False,True,18.0,13.0,8.0,3.0,0.0,12.0,12.0,1.0,6.0,1.0,1.0,1.0,2.0,10.0,1.0,1.0,2.0,1.0,3.0,2.0,90.0,31.0,6.1,5.0,0.00024099,0,-1.7667,,,,,,,,,,,,,,,,,,,,,,,
12512887,home,Estoril Praia,Wagner Pina,,,wagner-pina,W. Pina,M,20,180,484,M,1513625,EUR,1036281600,D,20,20,False,,24.0,19.0,5.0,2.0,0.0,10.0,13.0,9.0,12.0,,4.0,2.0,5.0,5.0,,,,,,,90.0,45.0,5.7,13.0,0.00389692,0,,1.0,2.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,
12512887,home,Estoril Praia,Pedro Álvaro,,,pedro-alvaro,P. Álvaro,D,,186,247,M,869330,EUR,951955200,D,23,23,False,,48.0,43.0,6.0,2.0,0.0,35.0,36.0,8.0,12.0,2.0,3.0,3.0,8.0,,,2.0,,,,,90.0,63.0,6.2,6.0,0.00503381,0,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
12512887,home,Estoril Praia,Eliaquim Mangala,,,eliaquim-mangala,E. Mangala,D,,188,392,M,42892,EUR,666403200,D,5,5,False,,45.0,38.0,6.0,1.0,0.0,28.0,31.0,10.0,15.0,1.0,6.0,3.0,7.0,2.0,,2.0,,,,,90.0,66.0,6.4,13.0,0.00456301,0,,1.0,,1.0,2.0,,2.0,3.0,1.0,2.0,1.0,2.0,1.0,,,,,,,,,,,
12512887,home,Estoril Praia,Pedro Amaral,,,amaral-pedro,P. Amaral,D,24,178,86,M,834247,EUR,872467200,D,24,24,False,,29.0,22.0,5.0,2.0,0.0,13.0,16.0,11.0,16.0,1.0,5.0,3.0,2.0,3.0,,1.0,,,,,90.0,55.0,6.3,17.0,0.0660027,1,,3.0,,2.0,,1.0,1.0,1.0,,2.0,1.0,,,2.0,1.0,0.007,0.019,1.0,,,,,,
12512887,home,Estoril Praia,Jandro Orellana,,,jandro-orellana,J. Orellana,M,6,178,224,M,877920,EUR,965606400,M,6,6,False,,16.0,15.0,1.0,1.0,0.0,9.0,10.0,6.0,6.0,,5.0,1.0,,,,2.0,,,,,60.0,22.0,6.4,3.0,0.00459674,0,,,,2.0,,1.0,1.0,1.0,,,,,,,,,,2.0,,,,,,
12512887,home,Estoril Praia,Vinicius Zanocelo,,,vinicius-zanocelo,Vinicius Zanocelo,M,25,184,577,M,973841,EUR,980812800,M,7,7,False,,38.0,36.0,2.0,2.0,0.0,16.0,16.0,20.0,22.0,,5.0,3.0,,5.0,,1.0,,,,,90.0,46.0,6.6,3.0,0.073705,0,,,2.0,1.0,,2.0,1.0,2.0,,1.0,1.0,1.0,,,,,,,,,,,,
12512887,home,Estoril Praia,Michel Costa,,,michel-costa,Michel,M,10,165,40,M,1015938,EUR,1008806400,M,8,8,False,,33.0,28.0,3.0,1.0,0.0,18.0,20.0,10.0,14.0,,,5.0,,7.0,,,,,,,90.0,40.0,6.5,6.0,0.0120135,0,,1.0,,,,4.0,,,,1.0,1.0,,,,,,,,,,,,,
12512887,home,Estoril Praia,Rafik Guitane,,,rafik-guitane,R. Guitane,F,99,170,2125,M,826210,EUR,927676800,F,10,10,False,,14.0,7.0,1.0,,0.0,2.0,3.0,5.0,11.0,2.0,2.0,6.0,,2.0,,,,,,,77.0,25.0,6.7,10.0,0.00718767,1,,,,1.0,1.0,2.0,,,,3.0,2.0,,,,,0.0243,,,1.0,,,,,
12512887,home,Estoril Praia,Alejandro Marqués,,,alejandro-marques,A. Marqués,F,9,189,759,M,929894,EUR,965347200,F,9,9,False,,14.0,9.0,,,0.0,7.0,8.0,2.0,6.0,1.0,9.0,5.0,,1.0,,1.0,,,,,77.0,26.0,7.0,11.0,0.0024067,1,,,,5.0,1.0,3.0,3.0,1.0,,1.0,1.0,,,,1.0,0.1037,0.3997,,,1.0,,,,
