match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,captain,stat_shotOffTarget,stat_clearanceOffLine,stat_totalOffside,stat_interceptionWon,stat_dispossessed,stat_keyPass,stat_onTargetScoringAttempt,player_firstName,stat_blockedScoringAttempt,player_lastName,stat_goals,player_sofascoreId,stat_bigChanceCreated,stat_hitWoodwork,stat_bigChanceMissed
11067329,home,Bahia,Marcos Felipe,marcos-felipe,M. Felipe,G,1,189,1142,M,358524,EUR,829353600,G,22,22,False,39.0,25.0,20.0,6.0,20.0,24.0,5.0,15.0,1.0,1.0,2.0,5.0,1.0,2.0,2.0,1.0,90.0,46.0,7.4,14.0,0.0,0.0,0.00033429,0,0.2378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11067329,home,Bahia,Cicinho,cicinho,Cicinho,D,2,168,196,M,243271,EUR,599097600,D,40,40,False,33.0,25.0,1.0,,8.0,11.0,18.0,27.0,1.0,8.0,3.0,3.0,,,,,90.0,66.0,7.2,18.0,0.0,0.0,0.0292794,0,,5.0,1.0,1.0,8.0,2.0,3.0,1.0,1.0,4.0,4.0,3.0,2.0,3.0,,,,,,,,,,,,,,,,
11067329,home,Bahia,Kanu,kanu,Kanu,D,4,186,926,M,871705,EUR,857692800,D,4,4,False,35.0,33.0,1.0,1.0,27.0,29.0,6.0,6.0,1.0,4.0,1.0,3.0,,,,,90.0,41.0,7.4,2.0,0.0318,0.0,0.00210374,1,,,,,2.0,1.0,,,1.0,,,,3.0,1.0,True,1.0,1.0,1.0,,,,,,,,,,,,
11067329,home,Bahia,Vitor Hugo,vitor-hugo,V. Hugo,D,14,187,899,M,794838,EUR,674697600,D,31,31,False,37.0,34.0,2.0,1.0,25.0,26.0,9.0,11.0,1.0,1.0,,3.0,,,,,73.0,41.0,6.8,4.0,0.0778,0.0,0.00415414,1,,,,,1.0,,,,,,,,,1.0,,1.0,,,2.0,,,,,,,,,,,
11067329,home,Bahia,Jhoanner Chávez,jhoanner-chavez,Jhoanner Chávez,M,13,182,1075,M,1002458,EUR,1019606400,D,6,6,False,35.0,30.0,2.0,1.0,17.0,19.0,14.0,18.0,,2.0,3.0,4.0,,,,,90.0,59.0,7.0,11.0,0.048,0.0,0.107997,1,,2.0,1.0,,6.0,,,,,2.0,1.0,2.0,,4.0,,1.0,,,1.0,2.0,2.0,,,,,,,,,
11067329,home,Bahia,Nicolás Acevedo,nicolas-acevedo,N. Acevedo,M,26,173,1112,M,959620,EUR,924048000,M,26,26,False,58.0,44.0,10.0,6.0,22.0,25.0,22.0,33.0,,9.0,,8.0,,,,,90.0,82.0,6.9,22.0,0.0204,0.3659,0.113718,1,,,,2.0,10.0,4.0,1.0,,,6.0,5.0,4.0,3.0,1.0,,,,,,2.0,1.0,1.0,,,,,,,,
11067329,home,Bahia,Rezende,rezende,Rezende,D,5,186,736,M,868030,EUR,789004800,M,5,5,False,20.0,15.0,,,4.0,4.0,11.0,17.0,4.0,9.0,6.0,8.0,,,,,90.0,49.0,7.2,11.0,0.0,0.0,0.00711129,0,,1.0,,1.0,5.0,3.0,1.0,1.0,,4.0,3.0,4.0,,1.0,,,,,4.0,,,,,,,,,,,
11067329,home,Bahia,Kayky,kayky,Kayky,M,37,175,2624,M,1106151,EUR,1055203200,M,37,37,False,20.0,19.0,,,1.0,2.0,18.0,19.0,,3.0,1.0,2.0,,,,,82.0,33.0,6.4,5.0,0.0951,0.0,0.0278605,1,,1.0,,2.0,6.0,2.0,2.0,1.0,,2.0,1.0,2.0,,1.0,,,,,,,,,Kayky,1.0,,,,,,
11067329,home,Bahia,Cauly,cauly,Cauly,M,8,175,2903,M,255873,EUR,811123200,M,8,8,False,50.0,41.0,2.0,2.0,8.0,8.0,35.0,45.0,,8.0,,5.0,,,,,90.0,74.0,7.0,19.0,0.0843,0.0,0.118227,1,,3.0,2.0,,8.0,1.0,9.0,5.0,,2.0,2.0,1.0,1.0,2.0,,1.0,,1.0,,1.0,,,,,,,,,,
11067329,home,Bahia,Thaciano,thaciano,Thaciano,M,16,182,1796,M,872039,EUR,800236800,M,16,16,False,29.0,26.0,2.0,2.0,6.0,7.0,20.0,24.0,1.0,5.0,,4.0,,,,,90.0,50.0,7.3,10.0,0.7542,0.7477,0.0343419,2,,2.0,,,4.0,1.0,2.0,,,2.0,1.0,1.0,2.0,,,,,1.0,,1.0,1.0,1.0,,1.0,,1.0,,,,
